Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University ,School
Treshon Broughton,CB,Tustin,CA,6'0'',180,79,Washington State,,7,NR,NR,2015,Washington State,,,,
Darrien Molton,CB,Temecula,CA,5'10'',161,77,Washington State,,55,,,2015,Washington State,,,,
Davis Perrott,OT,Phoenix,AZ,6'5'',275,77,Washington State,,77,,,2015,Washington State,,,,
Eddie Rudinski,OLB,Westlake Village,CA,6'2'',206,76,Washington State,,,,,2015,Washington State,,,,
James Williams,RB,Burbank,CA,5'10'',178,76,Washington State,,113,173,97,2015,Washington State,,,,
Kameron Powell,S,Upland,CA,5'11'',178,75,Washington State,,,,,2015,Washington State,,,,
Joseph Price,OT,Redlands,CA,6'5'',285,75,Washington State,,117,,,2015,Washington State,,,,
Kyle Sweet,WR,Rancho Santa Margarita,CA,6'0'',185,75,Washington State,,163,,,2015,Washington State,,,,
Hunter Mattox,DE,Chatsworth,CA,6'3'',255,74,Washington State,,111,,,2015,Washington State,,,,
Tyler Hilinski,QB,Upland,CA,6'4'',187,74,Washington State,,53,,,2015,Washington State,,,,
Jeremiah Mitchell,DE,Lake Elsinore,CA,6'4'',260,73,Washington State,,17,,,2015,Washington State,,,,
Matt Abramo,K,Petaluma,CA,6'1'',165,73,Washington State,,24,,,2015,Washington State,,,,
Cedric Bigge-Duren,OG,Oceanside,CA,6'7'',320,72,Washington State,,,,,2015,Washington State,,,,
Amosa Sakaria,OG,Pago Pago,AS,6'3'',280,71,Washington State,,151,,,2015,Washington State,,,,
Noah Myers,OG,Walnut Creek,CA,6'5'',321,71,Washington State,,177,,,2015,Washington State,,,,
Logan Tago,OLB,Pago Pago,AS,6'3'',220,NR,Washington State,,NR,NR,NR,2015,Washington State,,,,
Sean Harper,S,Hartwell,GA,6'1'',172,NR,Washington State,,,,,2015,Washington State,,,,
Nnamdi Oguayo,DE,Beltsville,MD,6'4'',210,NR,Washington State,,,,,2015,Washington State,,,,
Chris Dimry,WR,Mission Viejo,CA,6'5'',210,NR,Washington State,,,,,2015,Washington State,,,,
Kirkland Parker,CB,Brenham,TX,6'0'',180,NR,Washington State,,NR,NR,NR,2015,Washington State,,,,
Kyrin Priester,WR,Snellville,GA,6'1'',185,TR,Washington State,,,,,2015,Washington State,,,,
Isaiah Johnson,WR,Palm Beach Gardens,FL,6'3'',204,,80.0,,76,,,2016,Washington State,198,68,Washington State,
Chima Onyeukwu,OLB,Pittsburg,CA,6'3'',220,,79.0,,4,,,2016,Washington State,,,Washington State,
Grant Porter,WR,Upland,CA,6'0'',175,,78.0,,112,,,2016,Washington State,,,Washington State,
Romello Harris,RB,Tulare,CA,5'10'',180,,77.0,,106,,,2016,Washington State, None,74,Washington State,
Lyric Bartley,DE,Salt Lake City,UT,6'3'',240,,75.0,,94,,,2016,Washington State,132,12,Washington State,
Jalen Thompson,CB,Downey,CA,5'10'',166,,75.0,,57,,,2016,Washington State,139,92,Washington State,
Josiah Westbrook,WR,Bellingham,WA,6'0'',180,,75.0,,156,,,2016,Washington State,140,11,Washington State,
Renard Bell,WR,Los Angeles,CA,5'11'',160,,75.0,,158,,,2016,Washington State,150,98,Washington State,
Frederick Mauigoa,OG,Pago Pago,AS,6'4'',293,,75.0,,,,,2016,Washington State, None, None,Washington State,
Stephen Houston,WR,Oxnard,CA,6'2'',195,,75.0,,161,,,2016,Washington State,152,100,Washington State,
Garrett McBroom,DE,Miami,OK,6'3'',260,,74.0,,17,,,2016,Washington State, NR, NR,Washington State,
D'Jimon Jones,QB-DT,Federal Way,WA,6'0'',170,,74.0,,170,,,2016,Washington State,,,Washington State,
Dezmon Patmon,WR,San Diego,CA,6'4'',202,,73.0,,10,,,2016,Washington State, NR, NR,Washington State,
Robert Taylor,S,San Francisco,CA,5'11'',180,,73.0,,130,,,2016,Washington State,,,Washington State,
Daniel Bender,DE,El Cajon,CA,6'3'',225,,73.0,,95,,,2016,Washington State,,,Washington State,
Keenen King,OT,Las Vegas,NV,6'4'',297,,73.0,,40,,,2016,Washington State,,,Washington State,
Justus Rogers,QB-DT,Bellevue,WA,6'2'',215,,73.0,,,,,2016,Washington State, None, None,Washington State,
Jihad Woods,OLB,La Mesa,CA,5'10'',215,,73.0,,26,,,2016,Washington State,216,139,Washington State,
Mason Vinyard,TE-H,La Mesa,CA,6'5'',209,,72.0,,105,,,2016,Washington State,,,Washington State,
Isaiah Love,CB,West Covina,CA,6'1'',165,,71.0,,113,,,2016,Washington State,,,Washington State,
Christian Haangana,OT,Milpitas,CA,6'5'',400,,71.0,,120,,,2016,Washington State,235,148,Washington State,
Liam Ryan,OT,La Verne,CA,6'5'',270,,70.0,,120,,,2016,Washington State,,,Washington State,
Marcus Strong,ATH,Rialto,CA,5'10'',159,,70.0,,133,,,2016,Washington State,253,24,Washington State,
Josh Watson,OT,Everett,WA,6'4'',270,,68.0,,130,,,2016,Washington State,261,164,Washington State,
Skyler Thomas,CB,Perris,CA,5'11'',170,,68.0,,122,,,2016,Washington State,,,Washington State,
Derek Moore,OLB,Los Angeles,CA,6'2'',211,,68.0,,,,,2016,Washington State,,,Washington State,
Nilsson Gaisoa,OT,Kailua,HI,6'5'',275,,,,NR,,,2016,Washington State,,,Washington State,
Anthony Gordon,QB-PP,,,6'3'',185,,,,,,,2016,Washington State,,,Washington State,
Suli Tamaivena,OLB,Kirkland,WA,6'1'',225,,,,,,,2016,Washington State,,,Washington State,
Connor Neville,QB,Wilsonville,OR,6'2'',187,81,,,9,,,2017,Washington State,44,3,Washington State ,
Anthony White Jr,WR,Miami,FL,6'1'',177,80,,,58,,,2017,Washington State,175,59,Washington State ,
Preston Hendry,DE,Rancho Santa Margarita,CA,6'4'',235,79,,,,,,2017,Washington State,,,Washington State ,
Dontae Powell,OG,Richland,WA,6'5'',314,79,,,30,,,2017,Washington State,,,Washington State ,
Josh Talbott,S,Long Beach,CA,5'11'',178,79,,,29,,,2017,Washington State,71,42,Washington State ,
Robert Valencia,OT,San Francisco,CA,6'6'',290,79,,,,,,2017,Washington State,,,Washington State ,
Abraham Lucas,OT,Everett,WA,6'7'',256,78,,,52,,,2017,Washington State,91,8,Washington State ,
Jamire Calvin,WR,Los Angeles,CA,5'10'',149,78,,,,,,2017,Washington State,106,60,Washington State ,
Davontavean Martin,WR,Houma,LA,6'2'',164,78,,,118,,,2017,Washington State,332,32,Washington State ,
Easop Winston,WR,San Francisco,CA,5'11'',180,77,,,12,,,2017,Washington State,,,Washington State ,
Dominick Silvels,WR,San Diego,CA,6'2'',193,77,,,134,,,2017,Washington State,115,69,Washington State ,
