Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School,School  
Austin Fontaine,DT,Hyattsville,MD,6'4'',318,4,82.0,Maryland,14,24,6,2018,Maryland,,,,,
Ken Montgomery,CB,Tampa,FL,6'2'',155,4,81.0,Maryland,31,120,54,2018,Maryland,,,,,
Tyler DeSue,QB,Virginia Beach,VA,6'1'',207,4,80.0,Maryland,13,37,4,2018,Maryland,,,,,
Darryl Jones,WR,Virginia Beach,VA,6'2'',180,4,80.0,Maryland,68,42,5,2018,Maryland,,,,,
Chigoziem Okonkwo,TE,Powder Springs,GA,6'3'',224,4,79.0,Maryland,8,,,2018,Maryland,,,,,
T.J. Bradley,OT,Scranton,PA,6'7'',290,4,79.0,Maryland,8,NR,NR,2018,Maryland,,,,,
Jalen Alexander,DT,Chesapeake,VA,6'4'',288,4,79.0,Maryland,46,,,2018,Maryland,,,,,
Dontay Demus Jr.,WR,Washington,DC,6'3'',197,4,79.0,Maryland,110,,,2018,Maryland,,,,,
Evan Gregory,OG,Hyattsville,MD,6'4'',286,4,79.0,Maryland,30,67,10,2018,Maryland,,,,,
Tyler Baylor,OLB,Olney,MD,6'3'',217,3,78.0,Maryland,35,84,13,2018,Maryland,,,,,
Jeshaun Jones,WR,Fort Myers,FL,6'2'',173,3,78.0,Maryland,146,330,127,2018,Maryland,,,,,
Spencer Anderson,OT,Forestville,MD,6'5'',268,3,77.0,Maryland,70,,,2018,Maryland,,,,,
Durell Nchami,OLB,Burtonsville,MD,6'3'',217,3,76.0,Maryland,63,111,18,2018,Maryland,,,,,
Brian Cobbs,WR,Alexandria,VA,6'2'',200,3,76.0,Maryland,174,,,2018,Maryland,,,,,
Raymond Boone,ATH,Greenbelt,MD,5'11'',199,3,76.0,Maryland,116,83,19,2018,Maryland,,,,,
Vincent Flythe,CB,Washington,DC,5'11'',170,3,76.0,Maryland,88,,,2018,Maryland,,,,,
Joseph Petrino,K,Richmond Hill,GA,5'11'',165,3,75.0,Maryland,20,,,2018,Maryland,,,,,
Nihym Anderson,OLB,Vineland,NJ,6'1'',231,3,75.0,Maryland,76,134,27,2018,Maryland,,,,,
Fa'Najae Gotay,ATH,North Fort Myers,FL,6'0'',200,3,73.0,Maryland,95,162,31,2018,Maryland,,,,,
Jordan Mosley,S,Havertown,PA,6'0'',190,3,73.0,Maryland,106,,,2018,Maryland,,,,,
Chance Campbell,OLB,Baltimore,MD,6'2'',215,3,72.0,Maryland,,,,2018,Maryland,,,,,
Byron Cowart,DE,Seffner,FL,6'4'',270,TR,,Maryland,,,,2018,Maryland,,,,,
Rico Walker,DE,Hickory,NC,6'4'',230,82,Maryland  ,,20,,,2023,Maryland,,84,4,,
Neeo Avery,DE,Olney,MD,6'5'',235,82,Maryland  ,,29,,,2023,Maryland,,17,5,,
Dylan Gooden,DE,Columbia,MD,6'5'',205,82,Maryland  ,,31,,,2023,Maryland,,18,6,,
Michael Harris,ILB,Altamonte Springs,FL,6'1'',190,81,Maryland  ,,8,,,2023,Maryland,,,,,
