Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,School,Reg_rank,State_rank
Jonah Rodriguez,OT,San Diego,CA,6'4'',270,,,163,,,2023,San Diego State,76.0,,,
Baylin Brooks,WR,Los Angeles,CA,6'1'',195,,,110,,,2023,San Diego State,76.0,,,
Jordan Napier,ATH,Fontana,CA,6'1'',200,,,78,,,2023,San Diego State,76.0,,193,118
Ryan Silver,OG,San Mateo,CA,6'3'',300,,,204,,,2023,San Diego State,75.0,,,
Marcus Ratcliffe,OLB,San Diego,CA,6'2'',190,,,149,,,2023,San Diego State,75.0,,,
Caleb Otlewski,DE,Melissa,TX,6'3'',225,,,161,,,2023,San Diego State,75.0,,,
Sinn Brennan,DE,Los Alamitos,CA,6'4'',235,,,141,,,2023,San Diego State,74.0,,262,154
Jelani McLaughlin,S,Redlands,CA,6'0'',180,,,116,,,2023,San Diego State,73.0,,286,167
Chris Fewell,OLB,San Diego,CA,6'2'',195,,,,,,2023,San Diego State,69.0,,,
Tyson Berry,WR,Tyler,TX,5'7'',165,,,,,,2023,San Diego State,,,,
Briley Barron,OG,Texarkana,TX,6'4'',310,,,NR,,,2023,San Diego State,,,,
Sam Dunnell,ATH,San Juan Capistrano,CA,6'3'',200,,,NR,,,2023,San Diego State,,,NR,NR
Tupu Alualo,DT,JC,Honolulu,HI,6'1'',,,,,,2023,San Diego State,285.0,,,
Talib Salahuddin,DE,JC,Philadelphia,PA,6'5'',,,,,,2023,San Diego State,235.0,,,
Kyle Stanback,OT,JC,Newbury Park,CA,6'7'',,,,,,2023,San Diego State,265.0,,,
Gabriel Plascencia,K,JC,Oakland,CA,6'0'',,,,,,2023,San Diego State,210.0,,,
Raphael Williams,WR,TR,Fort Lauderdale,FL,5'10'',,,,,,2023,San Diego State,165.0,,,
J.D. Coffey,S,TR,Kennedale,TX,6'1'',,,,,,2023,San Diego State,185.0,,,
Jason Mitchell,S,Bellflower,CA,6'3'',185,,San Diego State,45,74,42,2024,San Diego State,79,,,
Danny O'Neil,QB-PP,Indianapolis,IN,6'1'',195,,San Diego State,111,,,2024,San Diego State,78,,,
Heath McRee,WR,Austin,TX,6'0'',175,,San Diego State,,88,67,2024,San Diego State,77,,,
Isaiah Buxton,CB,Chula Vista,CA,6'0'',160,,San Diego State,75,130,72,2024,San Diego State,77,,,
Anthony McMillan,RB,Chula Vista,CA,6'1'',230,,San Diego State,97,,,2024,San Diego State,77,,,
Cincere Rhaney,ATH,Gardena,CA,5'9'',220,,San Diego State,165,274,209,2024,San Diego State,76,,,
Will Cianfrini,WR,Galveston,TX,6'3'',185,,San Diego State,180,200,11,2024,San Diego State,75,,,
Ben Scolari,WR,Reno,NV,6'1'',180,,San Diego State,131,,,2024,San Diego State,75,,,
Danny Niu Jr.,ATH,San Mateo,CA,5'11'',180,,San Diego State,99.0,,,2024,San Diego State,75,,,
Kodi Cornelius,DT,Petaluma,CA,6'1'',295,,San Diego State,37,214,17,2024,San Diego State,74,,,
Arthur Ban,TE-Y,Vancouver,WA,6'5'',210,,San Diego State,161,244,130,2024,San Diego State,74,,,
Prince Williams,CB,Westlake Village,CA,6'1'',175,,San Diego State,166,,,2024,San Diego State,74,,,
Tayten Beyer,CB,Corona,CA,5'10'',170,,San Diego State,170,,,2024,San Diego State,74,,,
Ryan Gaea,DE,Stockton,CA,6'3'',220,,San Diego State,171,268,41,2024,San Diego State,73,,,
Ryan Wolfer,OT,Peoria,AZ,6'5'',250,,San Diego State,178,281,19,2024,San Diego State,73,,,
Kai Holec,OT,Seattle,WA,6'8'',300,,San Diego State,8, None, None,2024,San Diego State,73,,,
Saipale Fuimaono,OG,American Samoa,AS,6'3'',300,,San Diego State,5,,,2024,San Diego State,69,,,
Gabe Garretson,TE-Y,Chico,CA,6'4'',245,,San Diego State,, None, None,2024,San Diego State,69,,,
Tyler McMahan,,Modesto,CA,6'6'',295,,San Diego State,,,,2024,San Diego State,--,,,
Anthony Duffy,QB-PP,Murrieta,CA,6'2'',217,,San Diego State,, None, None,2024,San Diego State,--,,,
Williams Nimmo Jr.,S,Corona,CA,6'1'',200,,San Diego State,,,,2024,San Diego State,--,,,
Zach Morris,S,Flower Mound,TX,6'0'',190,,San Diego State,, None, None,2024,San Diego State,--,,,
Nate Bennett,WR,Simi Valley,CA,6'3'',195,,San Diego State,,,,2024,San Diego State,--,,,
Brayden Bryant,OG,Ardmore,OK,6'2'',305,,San Diego State,, None, None,2024,San Diego State,--,,,
Marlem Louis,DE,Venice,FL,6'3'',250,,San Diego State,,,,2024,San Diego State,--,,,
Bryce Phillips Jr.,CB,Long Beach,CA,6'1'',195,,San Diego State,,,,2024,San Diego State,--,,,
Ja'Shaun Poke,WR,Hampton,GA,5'10'',175,,San Diego State,,,,2024,San Diego State,--,,,
Nate Williams,OT,Utica,OH,6'6'',300,,San Diego State,,,,2024,San Diego State,--,,,
Jude Wolfe,TE-H,Laguna Hills,CA,6'5'',240,,San Diego State,,,,2024,San Diego State,--,,,
Owen Chambliss,OLB,Corona,CA,6'3'',230,,San Diego State,,,,2024,San Diego State,--,,,
