Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,School
Ryan Anderson,OLB,Daphne,AL,6'3'',250.0,5,80,Alabama,7,44,5,2012,Alabama,,,,
Korren Kirven,DT,Lynchburg,VA,6'3'',270.0,5,80,Alabama,8,,,2012,Alabama,,,,
Reggie Ragland,ILB,Madison,AL,6'3'',245.0,5,80,Alabama,2,49,6,2012,Alabama,,,,
Tyler Hayes,OLB,Thomasville,AL,6'2'',220.0,5,80,Alabama,, None, None,2012,Alabama,,,,
Alphonse Taylor,DT,Mobile,AL,6'5'',334.0,5,80,Alabama,15,70,9,2012,Alabama,,,,
Denzel Devall,DE,Bastrop,LA,6'2'',235.0,5,80,Alabama,22,98,7,2012,Alabama,,,,
Kenyan Drake,RB,Powder Springs,GA,6'1'',195.0,5,80,Alabama,14,105,20,2012,Alabama,,,,
Kurt Freitag,TE,Buford,GA,6'3'',245.0,4,79,Alabama,13,124,25,2012,Alabama,,,,
Dakota Ball,DT,Lindale,GA,6'2'',290.0,4,79,Alabama,27,,,2012,Alabama,,,,
Dalvin Tomlinson,DT,McDonough,GA,6'2'',265.0,4,78,Alabama,42,230,56,2012,Alabama,,,,
Alec Morris,QB,Allen,TX,6'3'',240.0,4,78,Alabama,46,,,2012,Alabama,,,,
Adam Griffith,K,Calhoun,GA,5'11'',175.0,4,78,Alabama,7,303,69,2012,Alabama,,,,
Darren Lake,DT,York,AL,6'3'',330.0,4,78,Alabama,, None, None,2012,Alabama,,,,
Brandon Hill,OT,Memphis,TN,6'6'',355.0,4,77,Alabama,77,327,19,2012,Alabama,,,,
Caleb Gulledge,OG,Prattville,AL,6'5'',276.0,4,76,Alabama,423,,,2012,Alabama,,,,
Deion Belue,CB (JC),Tuscumbia,AL,6'0'',185.0,NR,Alabama,,, None, None,2012,Alabama,,,,
Travell Dixon,CB (JC),Thatcher,AZ,6'2'',200.0,NR,Alabama,,, None, None,2012,Alabama,,,,
Ben Davis,ILB,Gordo,AL,6'4'',237.0,,87,Alabama,1,15,1,2016,Alabama,,,,
Jonah Williams,OT,Folsom,CA,6'5'',280.0,,87,Alabama,3,5,3,2016,Alabama,,,,
B.J. Emmons,RB,Morganton,NC,5'11'',220.0,,86,Alabama,1,20,2,2016,Alabama,,,,
Mack Wilson,OLB,Montgomery,AL,6'2'',236.0,,86,Alabama,5,,,2016,Alabama,,,,
Nigel Knott,CB,Madison,MS,5'11'',174.0,,86,Alabama,36,,,2016,Alabama,,,,
Shyheim Carter,CB,Kentwood,LA,6'0'',177.0,,86,Alabama,40,,,2016,Alabama,,,,
Terrell Hall,DE,Washington,DC,6'6'',254.0,,85,Alabama,6,,,2016,Alabama,,,,
Chris Owens,OG,Arlington,TX,6'3'',312.0,,84,Alabama,3,13,13,2016,Alabama,,,,
Charles Baldwin,OT,Windsor,CT,6'5'',300.0,,83,Alabama,1, None, None,2016,Alabama,,,,
Trevon Diggs,ATH,Gaithersburg,MD,6'2'',182.0,,83,Alabama,,,,2016,Alabama,,,,
Deonte Brown,OG,Decatur,AL,6'3'',340.0,,83,Alabama,6,,,2016,Alabama,,,,
Kendell Jones,DT,Killeen,TX,6'5'',361.0,,83,Alabama,15,,,2016,Alabama,,,,
Scott Lashley,OT,West Point,MS,6'6'',305.0,,83,Alabama,15,67,5,2016,Alabama,,,,
Raekwon Davis,DT,Meridian,MS,6'8'',318.0,,82,Alabama,18,,,2016,Alabama,,,,
Jared Mayden,CB,Sachse,TX,6'1'',198.0,,82,Alabama,17,37,34,2016,Alabama,,,,
Quinnen Williams,DE,Birmingham,AL,6'4'',260.0,,81,Alabama,31,113,7,2016,Alabama,,,,
Christian Bell,DE,Birmingham,AL,6'4'',225.0,,81,Alabama,,,,2016,Alabama,,,,
Aaron Robinson,ATH,Deerfield Beach,FL,6'1'',175.0,,80,Alabama,18,136,48,2016,Alabama,,,,
Irvin Smith,TE,New Orleans,LA,6'4'',230.0,,80,Alabama,6,,,2016,Alabama,,,,
Jalen Hurts,QB,Channelview,TX,6'2'',208.0,,80,Alabama,13,68,61,2016,Alabama,,,,
