Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank, State_rank  ,School,University 
Jalon Peoples,CB,Cedar Hill,TX,6'0'',175,Texas Tech,,51,99,74,2022,Texas Tech,79.0,,,,,
Sheridan Wilson,OC,Argyle,TX,6'4'',275,Texas Tech,,4,,,2022,Texas Tech,79.0,,,,,
Ty Kana,ILB,Katy,TX,6'1'',200,Texas Tech,,15,114,88,2022,Texas Tech,79.0,,,,,
Erik Gray,OG,Amarillo,TX,6'3'',280,Texas Tech,,18,,,2022,Texas Tech,79.0,,,,,
Trevon McAlpine,DT,Saraland,AL,6'3'',280,Texas Tech,,48,,,2022,Texas Tech,78.0,,,,,
Bryson Donnell,RB,Tyler,TX,5'11'',180,Texas Tech,,59,,,2022,Texas Tech,78.0,,,,,
Tavares Elston,OLB,Gulf Shores,AL,6'0'',210,Texas Tech,,80,471,45,2022,Texas Tech,76.0,,,,,
Hut Graham,ATH,Gunter,TX,6'0'',175,Texas Tech,,107,,,2022,Texas Tech,76.0,,,,,
Harvey Dyson,DT,Cedar Hill,TX,6'3'',260,Texas Tech,,102,273,198,2022,Texas Tech,75.0,,,,,
Ben Roberts,ILB,Fort Worth,TX,6'2'',195,Texas Tech,,42,274,199,2022,Texas Tech,75.0,,,,,
Syncere Massey,DT,Cedar Hill,TX,6'5'',285,Texas Tech,,107,279,204,2022,Texas Tech,74.0,,,,,
Seth Martin,OG,Everman,TX,6'3'',285,Texas Tech,,80,,,2022,Texas Tech,74.0,,,,,
Coy Eakin,WR,Stephenville,TX,6'1'',185,Texas Tech,,205,,,2022,Texas Tech,74.0,,,,,
Kaden Weatherby,OT,Aurora,CO,6'6'',270,Texas Tech,,201,,,2022,Texas Tech,71.0,,,,,
Tyler Owens,S,Plano,TX,6'1'',205,Texas Tech,,,,,2022,Texas Tech,,,,,,
