Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank
Avarius Sparrow,RB,Orlando,FL,5'10'',185,73.0,,,108,723,246,2020,West Virginia,,,
Daryl Porter Jr.,CB,Plantation,FL,5'10'',160,72.0,,,158,847,288,2020,West Virginia,,,
Keion Wakefield,WR,Louisville,KY,5'10'',175,,,,, None, None,2020,West Virginia,,,
Wyatt Milum,OT,Huntington,WV,6'6'',270,4,84,West Virginia,12,16,1,2021,West Virginia,,,
Kaden Prather,WR,Germantown,MD,6'3'',200,4,82,West Virginia,43,31,13,2021,West Virginia,,,
Jaylen Anderson,RB,Perry,OH,5'11'',210,4,79,West Virginia,26,43,13,2021,West Virginia,,,
Justin Johnson,RB,Edwardsville,IL,5'11'',190,4,78,West Virginia,41,,,2021,West Virginia,,,
Will Crowder,QB-Gardendale,AL,6'2'',185,4,77,West Virginia,,35,312,28,2021,West Virginia,,,
Victor Wikstrom,TE-Y,Kinna,Sweden,6'3'',230,4,77,West Virginia,23,1,1,2021,West Virginia,,,
Ja'Corey Hammett,OLB,Miami,FL,6'3'',205,4,77,West Virginia,83,,,2021,West Virginia,,,
Hammond Russell,DE,Dublin,OH,6'3'',235,4,77,West Virginia,84,337,73,2021,West Virginia,,,
Brayden Dudley,DE,Hoschton,GA,6'3'',250,4,77,West Virginia,76,104,25,2021,West Virginia,,,
Tomas Rimac,OT,Brunswick,OH,6'6'',280,4,76,West Virginia,143,,,2021,West Virginia,,,
Davis Mallinger,WR,Viera,FL,6'1'',175,4,76,West Virginia,66,113,22,2021,West Virginia,,,
Saint McLeod,S,Philadelphia,PA,5'11'',195,4,76,West Virginia,72,,,2021,West Virginia,,,
Aubrey Burks,SN,Auburndale,FL,6'0'',180,4,76,West Virginia,177,151,44,2021,West Virginia,,,
Andrew Wilson-Lamp,WR,Massillon,OH,6'2'',165,4,75,West Virginia,142,9,4,2021,West Virginia,,,
Edward Vesterinen,DE,Helsinki, Finland,6'4'',240,4,74,West Virginia,34,,,2021,West Virginia,,,
Treylan Davis,TE-H,Jackson,OH,6'5'',215,4,73,West Virginia,,,,2021,West Virginia,,,
Doug Nester,OG, Huntington,WV,6'7'',327,4,TR,West Virginia,,,,2021,West Virginia,,,
CB,Plantation,FL,6'0'',170.0,83.0,,American Heritage High School,,,,,2022,West Virginia,,,
QB-PP,Chandler,AZ,6'2'',210.0,82.0,,Hamilton High School,,,,,2022,West Virginia,,,
OLB,Miami,FL,6'1'',210.0,81.0,,Gulliver Prep High School,,,,,2022,West Virginia,,,
WR,Saraland,AL,6'3'',175.0,80.0,,Saraland High School,,,,,2022,West Virginia,,,
CB,Baltimore,MD,6'1'',170.0,79.0,,St. Frances Academy,,,,,2022,West Virginia,,,
ATH,Harper Woods,MI,6'0'',180.0,78.0,,Harper Woods High School,,,,,2022,West Virginia,,,
S,Loganville,GA,6'0'',180.0,78.0,,Grayson High School,,,,,2022,West Virginia,,,
OLB,Winston-Salem,NC,6'1'',220.0,78.0,,East Mississippi Community College,,,,,2022,West Virginia,,,
TE-Y,Huntington,WV,6'5'',245.0,78.0,,Spring Valley High School,,,,,2022,West Virginia,,,
OG,Leo,IN,6'4'',280.0,78.0,,Leo Junior Senior High School,,,,,2022,West Virginia,,,
OG,Cleveland Heights,OH,6'5'',345.0,77.0,,Cleveland Heights High School,,,,,2022,West Virginia,,,
DE,Clearwater,FL,6'4'',210.0,77.0,,Clearwater Academy,,,,,2022,West Virginia,,,
OT,Brookline,MA,6'6'',300.0,77.0,,Dexter School,,,,,2022,West Virginia,,,
DE,Suwanee,GA,6'3'',240.0,76.0,,Collins Hill High School,,,,,2022,West Virginia,,,
