Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,Location,HT,WT
Nathaniel Terry,WR,Homestead,FL,6'5'',200,,,Florida Atlantic,,,,2014,Florida Atlantic,,,,,,
Daniel Parr,QB,Palm Beach Gardens,FL,6'3'',190,,77,Florida Atlantic,40,,,2015,Florida Atlantic,,406,136,,,
Shelton Lewis,CB,Orlando,FL,5'11'',166,,76,Florida Atlantic,63,,,2015,Florida Atlantic,,,,,,
Tarrick Thomas,OG,Tallahassee,FL,6'4'',264,,76,Florida Atlantic,460,,,2015,Florida Atlantic,,,159,,,
Jalen Young,S,Loxahatchee,FL,5'10'',171,,76,Florida Atlantic,,,,2015,Florida Atlantic,,,,,,
Gerald Robinson,CB,Hialeah,FL,5'10'',175,,75,Florida Atlantic,508,,,2015,Florida Atlantic,,,,,,
Jaye Miner,OLB,Wesley Chapel,FL,6'3'',191,,75,Florida Atlantic,97,,,2015,Florida Atlantic,,,,,,
Rodrick Archer,S,Plantation,FL,6'0'',184,,74,Florida Atlantic,,,,2015,Florida Atlantic,,,,,,
Jack Breshears,OG,Batavia,IL,6'4'',285,,73,Florida Atlantic,111,,,2015,Florida Atlantic,,,,,,
Kal-El Williams,ILB,Largo,FL,6'0'',244,,73,Florida Atlantic,52,,,2015,Florida Atlantic,,653,234,,,
Kerrith Whyte,RB,Loxahatchee,FL,5'10'',179,,73,Florida Atlantic,151,,,2015,Florida Atlantic,,,,,,
Richard Williams,OG,Miramar,FL,6'2'',270,,72,Florida Atlantic,130,,,2015,Florida Atlantic,,,,,,
Tavaris Harrison,WR,Miami,FL,6'3'',166,,72,Florida Atlantic,,,,2015,Florida Atlantic,,,,,,
Ocie Rose,S,Miami,FL,6'1'',172,,71,Florida Atlantic,137,,,2015,Florida Atlantic,,749,,,,
Richie Kittles,S,Fort Lauderdale,FL,5'10'',172,,71,Florida Atlantic,143,,,2015,Florida Atlantic,,760,276,,,
Ladante Harris,WR,Sebring,FL,5'10'',164,,70,Florida Atlantic,213,,,2015,Florida Atlantic,,,,,,
Azeez Al-Shaair,OLB,Tampa,FL,6'2'',205,,69,Florida Atlantic,145,,,2015,Florida Atlantic,,815,294,,,
Kemar Downer,ATH,Wellington,FL,5'10'',175,,68,Florida Atlantic,175,,,2015,Florida Atlantic,,825,297,,,
Herbert Miller,S,Miramar,FL,6'1'',172,,66,Florida Atlantic,163,,,2015,Florida Atlantic,,,,,,
J'Quan Napier,ATH,Riviera Beach,FL,6'1'',162,,66,Florida Atlantic,,,,2015,Florida Atlantic,,,,,,
Steven Leggett,DT,Belle Glade,FL,6'3'',260,,Florida Atlantic,,NR,,,2015,Florida Atlantic,,NR,NR,,,
James Brunson,WR,Fort Myers,FL,5'11'',165,,Florida Atlantic,,,,,2015,Florida Atlantic,,,,,,
Jacob Douglas,ILB,Jacksonville,FL,5'9'',209,,Florida Atlantic,,,,,2015,Florida Atlantic,,,,,,
Bryan Beck,OT,Franklin,WI,6'5'',265,,Florida Atlantic,,,,,2015,Florida Atlantic,,,,,,
Raphael Leonard,WR,Starkville,MS,6'0'',190,,Florida Atlantic,,,,,2015,Florida Atlantic,,,,,,
Khantrell Burden,ILB,Miramar,FL,6'1'',220,,Florida Atlantic,,NR,,,2015,Florida Atlantic,,,,,,
Trey Rodriguez,RB,Daytona Beach,FL,5'10'',185,,Florida Atlantic,,,,,2015,Florida Atlantic,,,,,,
Chandler Dexter,TE,Iuka,MS,6'5'',250,,Florida Atlantic,,,,,2015,Florida Atlantic,,,,,,
Steven Frank,QB,Osweego,IL,6'4'',231,77.0,Florida Atlantic,,33,,,2016,Florida Atlantic,,73,13,,,
Kevin McCrary,DT,Daytona Beach,FL,6'0'',271,74.0,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
Devin Singletary,RB,Plantation,FL,5'8'',191,74.0,Florida Atlantic,,506,,,2016,Florida Atlantic,,,,,,
