Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Nolan Edmonds,RB,Alpharetta,GA,5'11'',206,,75.0,,66,,,2018,Minnesota,,,Minnesota
Rashod Bateman,WR,Tifton,GA,6'2'',180,,75.0,,189,511,113,2018,Minnesota,,,Minnesota
Bryce Williams,RB,Sarasota,FL,5'11'',190,,75.0,,68,,,2018,Minnesota,,,Minnesota
Jack York,OT,Waxahachie,TX,6'5'',270,,75.0,,102,215,172,2018,Minnesota,,,Minnesota
Benjamin Sapp III,CB,Eden Prairie,MN,5'11'',160,,75.0,,104,,,2018,Minnesota,,,Minnesota
Mariano Sori-Marin,OLB,New Lenox,IL,6'3'',223,,74.0,,80,132,28,2018,Minnesota,,,Minnesota
Braelen Oliver,OLB,Douglasville,GA,6'0'',210,,74.0,,84,,,2018,Minnesota,,,Minnesota
Thomas Rush,ATH,Marysville,OH,6'3'',209,,73.0,,106,,,2018,Minnesota,,,Minnesota
C.J. Smith,CB,Neptune Beach,FL,6'0'',175,,73.0,,126,,,2018,Minnesota,,,Minnesota
Nathan Boe,OC,Lakeville,MN,6'3'',260,,72.0,,13,161,7,2018,Minnesota,,,Minnesota
Joshua Aune,ATH,Saint Paul,MN,6'1'',201,,72.0,,174,119,8,2018,Minnesota,,,Minnesota
Ahmad McCullough,OLB,Baltimore,MD,6'2'',210,,,,, None, None,2018,Minnesota,,,Minnesota
Daniel Jackson,WR,Shawnee Mission,KS,5'11'',178,82,Minnesota,,36,,,2020,Minnesota,48,2,
Ky Thomas,RB,Topeka,KS,5'10'',185,79,Minnesota,,34,,,2020,Minnesota,83,3,
Jonathan Mann,WR,Rosemount,MN,6'3'',190,78,Minnesota,,87,,,2020,Minnesota,45,4,
Itayvion Brown,OLB,Saint Louis,MO,6'3'',210,78,Minnesota,,41,,,2020,Minnesota,,,
Jaqwondis Burns,OLB,Bradenton,FL,6'2'',195,78,Minnesota,,49,,,2020,Minnesota,,,
Jalen Glaze,S,Tallahassee,FL,6'0'',180,77,Minnesota,,37,,,2020,Minnesota,295,96,
Jah Joyner,DE,Danbury,CT,6'4'',225,77,Minnesota,,62,,,2020,Minnesota,,,
Jalen Logan-Redding,DE,Columbia,MO,6'4'',240,77,Minnesota,,72,,,2020,Minnesota,143,13,
Michael Dixon,S,Statesboro,GA,6'1'',185,76,Minnesota,,45,,,2020,Minnesota,,,
Lucas Finnessy,OLB,Sussex,WI,6'3'',210,76,Minnesota,,73,,,2020,Minnesota,,,
Martes Lewis,OT,Merrillville,IN,6'7'',320,75,Minnesota,,102,,,2020,Minnesota,,,
Gage Keys,DE,Hilliard,OH,6'5'',240,75,Minnesota,,100,,,2020,Minnesota,,,
Abner Dubar,CB,Anna,TX,6'1'',166,75,Minnesota,,201,,,2020,Minnesota,,,
Ali Saad,OG,Dearborn,MI,6'4'',255,75,Minnesota,,77,,,2020,Minnesota,125,29,
Dylan McGill,ATH,Mesquite,TX,6'2'',195,74,Minnesota,,98,,,2020,Minnesota,,,
Aireontae Ersery,OT,Kansas City,MO,6'5'',275,74,Minnesota,,126,,,2020,Minnesota,,,
Douglas Emilien,WR,Plantation,FL,6'0'',175,74,Minnesota,,217,,,2020,Minnesota,,,
Miles Fleming,ATH,Columbus,OH,6'0'',175,74,Minnesota,,108,,,2020,Minnesota,,,
Danny Striggow,DE,Long Lake,MN,6'4'',220,74,Minnesota,,152,,,2020,Minnesota,,,
Victor Pless,CB,Kennesaw,GA,5'9'',160,74,Minnesota,,116,,,2020,Minnesota,,,
Mark Crawford,K,Perth,AUS,6'3'',225,74,Minnesota,,29,,,2020,Minnesota,,,
Austin Henderson,TE-H,Nashville,TN,6'5'',210,73,Minnesota,,33,,,2020,Minnesota,,,
Tyrell Lawrence,OT,Clearwater,FL,6'7'',345,73,Minnesota,,141,,,2020,Minnesota,705,241,
