Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Jack Kurzu,OT,Saint Louis,MO,6'4'',305,,76.0,Oklahoma State,15,210,162,2013,Oklahoma State,,,
Ben Grogan,K,Arlington,TX,6'1'',177,,75.0,Oklahoma State,, None, None,2013,Oklahoma State,,,
Jaxon Salinas,OG,Irving,TX,6'3'',291,,75.0,Oklahoma State,, None, None,2013,Oklahoma State,,,
Jordan Sterns,S,Cibolo,TX,6'0'',195,,74.0,Oklahoma State,14,,,2013,Oklahoma State,,,
Brandon Garrett,OT,Athens,TX,6'6'',280,,74.0,Oklahoma State,, None, None,2013,Oklahoma State,,,
Tre Flowers,S,Converse,TX,6'3'',180,,74.0,Oklahoma State,,,,2013,Oklahoma State,,,
Ofa Hautau,DT,Salt Lake City,UT,6'2'',295,,72.0,Oklahoma State,112,289,228,2013,Oklahoma State,,,
Vili Leveni,DE,Hurst,TX,6'3'',220,,71.0,Oklahoma State,, None, None,2013,Oklahoma State,,,
Taylor Lewis,S,DeSoto,TX,6'0'',174,,71.0,Oklahoma State,,,,2013,Oklahoma State,,,
Deric Robertson,S,Killeen,TX,6'1'',195,,71.0,Oklahoma State,,,,2013,Oklahoma State,,,
Dawson Bassett,ATH,Tuttle,OK,6'3'',215,,,Oklahoma State,,,,2013,Oklahoma State,,,
Mason Rudolph,QB,Rock Hill,SC,6'4'',212.0,,83,Oklahoma State,8,,,2014,Oklahoma State,83,5,
Devon Thomas,RB,Broken Arrow,OK,5'11'',211.0,,82,Oklahoma State,15,,,2014,Oklahoma State,30,4,
Gyasi Akem,OLB,Broken Arrow,OK,6'1'',210.0,,82,Oklahoma State,15,,,2014,Oklahoma State,31,5,
Tyreek Hill,ATH (JC),Pearson,GA,5'8'',190.0,,82,Oklahoma State,4,,,2014,Oklahoma State,,,
Jordan Brailford,DE,Tulsa,OK,6'3'',220.0,,81,Oklahoma State,27,,,2014,Oklahoma State,48,8,
Josh Mabin,ILB,Spring,TX,6'1'',215.0,,81,Oklahoma State,,,,2014,Oklahoma State,,,
Chris Hardeman,CB,Houston,TX,5'8'',190.0,,81,Oklahoma State,24,,,2014,Oklahoma State,,,
Trey Carter,DE,Dallas,TX,6'4'',255.0,,80,Oklahoma State,35,,,2014,Oklahoma State,,,
Keenen Brown,WR,Houston,TX,6'3'',205.0,,79,Oklahoma State,65,,,2014,Oklahoma State,,,
Dylan Harding,S,Jenks,OK,6'2'',192.0,,78,Oklahoma State,36,,,2014,Oklahoma State,117,,
Sione Palelei,RB,Gonzales,LA,5'10'',202.0,,78,Oklahoma State,60,,,2014,Oklahoma State,,,
D'Nerius Antoine,S (JC),New Iberia,LA,6'1'',210.0,,78,Oklahoma State,50,,,2014,Oklahoma State,,,
Kirk Tucker,S,Tucker,GA,6'1'',185.0,,77,Oklahoma State,6.0,,,2014,Oklahoma State,,,
Jeremiah Ledbetter,DT (JC),Gainesville,GA,6'3'',260.0,,76,Oklahoma State,86,,,2014,Oklahoma State,187,139,
Trey Roberts,ATH,Houston,TX,6'1'',190.0,,76,Oklahoma State,43,,,2014,Oklahoma State,,,
Juwan Offray,CB,New Orleans,LA,6'0'',163.0,,76,Oklahoma State,POSITION,,,2014,Oklahoma State,199,148,
Ramon Richards,ATH,San Antonio,TX,6'0'',180.0,,76,Oklahoma State,89,,,2014,Oklahoma State,,,
Cole Walterscheid,DE,Muenster,TX,6'6'',210.0,,75,Oklahoma State,114,,,2014,Oklahoma State,213,162,
