Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School,University 
Eric Bentley,DE,LQ,Akron,OH,6'2'',NR,Akron,,,,2018,Akron,244,,,,
Reggie Corner Jr.,S,LQ,Canton,OH,5'9'',NR,Akron,NR,,,2018,Akron,200,,,,
Treon Sibley,WR,Akron,OH,6'0'',187,Akron,,,,,2018,Akron,NR,,,,
Landon Forman,OT,JC,Kingfisher,OK,6'4'',NR,Akron,,,,2018,Akron,280,,,,
Bryce Petersen,OG,JC,McKinleyville,CA,6'3'',NR,Akron,,,,2018,Akron,300,,,,
Corey Thomas Jr.,ATH,Pittsburgh,PA,6'4'',204.0,Akron,,,,,2019,Akron,75.0, None, None,,
Peter Hayes-Patrick,ATH,Orlando,FL,5'10'',187.0,Akron,,117,,,2019,Akron,75.0,531,177,,
Kyle Romenick,K,Fort Mill,SC,6'1'',195.0,Akron,,16,,,2019,Akron,75.0,,,,
Adetutu Daranijo,S,Fort Lauderdale,FL,5'10'',189.0,Akron,,,,,2019,Akron,73.0, None, None,,
Chris Hill Jr.,Coral Springs,FL,,,,Akron,,NR,,,2019,Akron,,,,,
Daniel Lavelle,DE,Forsyth,GA,6'2'',240.0,Akron,,,,,2019,Akron,, None, None,,
Michael Mathison,WR,Covington,GA,5'9'',157.0,Akron,,NR,,,2019,Akron,, NR, NR,,
Zach Gibson,QB,Johns Creek,GA,6'3'',209.0,Akron,,,,,2019,Akron,,,,,
Caleb Herring,OT,Lakewood,OH,6'6'',325.0,Akron,,,,,2019,Akron,,,,,
Jarred Uran,OLB,Cincinnati,OH,6'1'',190.0,Akron,,,,,2019,Akron,,,,,
Quevan Lawson,DE,Ashburn,GA,6'4'',225.0,Akron,,,,,2019,Akron,,,,,
Jalen Bell,DT,Belleville,MI,5'11'',275.0,Akron,,,,,2019,Akron,, None, None,,
Keyshawn Swanson,CB,Pensacola,FL,5'11'',175.0,Akron,,,,,2019,Akron,, NR, NR,,
Xavior Gray,OT,Massillon,OH,6'8'',300.0,Akron,,NR,,,2019,Akron,, NR, NR,,
Kevin Walls,WR,Westlake,OH,6'6'',215.0,Akron,,,,,2019,Akron,,,,,
Tyson McDonald,CB,Corona,CA,6'2'',195.0,Akron,,,,,2019,Akron,,,,,
Owen Murphy,OT,Cleveland,OH,6'6'',270.0,Akron,,,,,2019,Akron,, None, None,,
A.J. Watts,CB,Columbus,GA,6'1'',208.0,Akron,,,,,2019,Akron,, None, None,,
