Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,Location,Grades,School
Luke Ancrum,DE, Sebring,FL, 6'5'',230,3,71,Florida,,,,2015,Florida,,,,,,
Justin Watkins,ATH,Clermont,FL,6'0'',173,,87,Florida,3,17,8,2018,Florida,,,,,,
Jacob Copeland,WR,Pensacola,FL,6'0'',192,,86,Florida,5,22,11,2018,Florida,,,,,,
Amari Burney,ATH,Clearwater,FL,6'2'',217,,85,Florida,65,36,19,2018,Florida,,,,,,
Richard Gouraige,OT,Tampa,FL,6'5'',271,,85,Florida,6,42,21,2018,Florida,,,,,,
Dameon Pierce,RB,Bainbridge,GA,5'11'',210,,84,Florida,8,58,18,2018,Florida,,,,,,
Kyle Pitts,TE-H,Warminster,PA,6'6'',239,,83,Florida,2,,,2018,Florida,,,,,,
Andrew Chatfield,DE,Plantation,FL,6'2'',221,,83,Florida,17,76,32,2018,Florida,,,,,,
Trey Dean,S,Hampton,GA,6'3'',184,,81,Florida,18,,,2018,Florida,,,,,,
Chris Bleich,OT,Plymouth,PA,6'6'',313,,80,Florida,19,38,10,2018,Florida,,,,,,
Johnathan Huggins,S,Daytona Beach,FL,6'1'',194,,80,Florida,22,160,64,2018,Florida,,,,,,
Iverson Clement,ATH,Mount Holly,NJ,5'11'',199,,80,Florida,, None, None,2018,Florida,,,,,,
Randy Russell,S,Miami,FL,5'11'',172,,79,Florida,28,,,2018,Florida,,,,,,
David Reese,OLB,Fort Pierce,FL,6'2'',213,,79,Florida,28,,,2018,Florida,,,,,,
Noah Banks,OTPensacola,FL,Iowa Western Community College,6'6'',305,,79,Florida,9, NR, NR,2018,Florida,,,,,,
Dante Lang,DE,Boca Raton,FL,6'5'',222,,78,Florida,63,285,105,2018,Florida,,,,,,
Evan McPherson,K,Fort Payne,AL,5'11'',165,,77,Florida,2,374,25,2018,Florida,,,,,,
Kaiir Elam,CB,,FL,6'1'',182,85,,,4,,,2019,Florida,32,7,,North Palm Beach,The Benjamin School,Florida
Keon Zipperer,TE-H,,FL,6'3'',242,85,,,1,,,2019,Florida,,,,Lakeland,Lakeland High School,Florida
Arjei Henderson,WR,,TX,6'1'',183,84,,,13,,,2019,Florida,,,,Richmond,Travis High School,Florida
Chris Steele,CB,,CA,6'2'',182,84,,,11,,,2019,Florida,16,13,,Bellflower,St. John Bosco High School,Florida
Deyavie Hammond,OL,,FL,6'4'',345,84,,,3,,,2019,Florida,,,,Lakeland,Lakeland High School,Florida
Lloyd Summerall,DE,,FL,6'5'',210,83,,,17,,,2019,Florida,,,,Lakeland,Lakeland High School,Florida
Khris Bogle,OLB,,FL,6'4'',207,83,,,155th,,,2019,Florida,,,,Fort Lauderdale,Cardinal Gibbons High School,Florida
Michael Tarquin,OT,,FL,6'5'',290,83,,,17,,,2019,Florida,,,,Citra,North Marion High School,Florida
Mohamoud Diabate,OLB,,AL,6'4'',218,83,,,16,,,2019,Florida,,,,Auburn,Auburn High School,Florida
Jalon Jones,QB-DT,,VA,6'4'',203,82,,,11,,,2019,Florida,22,6,,Richmond,Henrico High School,Florida
Tyron Hopper,OLB,,GA,6'2'',206,82,,,18,,,2019,Florida,104,26,,Roswell,Roswell High School,Florida
Jaelin Humphries,DT,,GA,6'3'',303,82,,,17,,,2019,Florida,,,,Lawrenceville,Mountain View High School,Florida
Will Harrod,OT,,MD,6'5'',312,81,,,,,,2019,Florida,,,,Fort Washington,National Christian Academy,Florida
Dionte Marks,WR,,FL,6'1'',180,80,,,44,,,2019,Florida,,,,DeLand,DeLand High School,Florida
Nayquan Wright,RB,,FL,5'8'',188,80,,,22,,,2019,Florida,,,,Miami,Carol City High School,Florida
Diwun Black,OLB,,FL,6'4'',219,80,,,26,,,2019,Florida,164,50,,Kissimmee,Kissimmee-Osceola High School,Florida
Ethan White,OG,,FL,6'4'',315,80,,,16,,,2019,Florida,,,,Clearwater,Superior Collegiate High School,Florida
Jaydon Hill,CB,,AL,6'0'',172,80,,,35,,,2019,Florida,202,16,,Madison,Bob Jones High School,Florida
Trent Whittemore,ATH,,FL,6'2'',185,80,,,40,,,2019,Florida,205,63,,Gainesville,Buchholz High School,Florida
Jesiah Pierre,OLB,,FL,6'2'',225,80,,,33,,,2019,Florida,,,,Mount Dora,Mount Dora High School,Florida
Ja'Markis Weston,ATH,,FL,6'3'',200,79,,,10,,,2019,Florida,,,,Clewiston,Clewiston High School,Florida
Kingsley Eguakun,OC,,FL,6'3'',293,79,,,50,,,2019,Florida,,,,Jacksonville,Atlantic Coast High School,Florida
Chester Kimbrough,CB,,LA,5'11'',168,78,,,31,,,2019,Florida,,,,New Orleans,Warren Easton High School,Florida
Riley Simonds,OG,,GA,6'4'',324,78,,,65,,,2019,Florida,312,100,,Buford,Buford High School,Florida
Wardrick Wilson,OT,,FL,6'5'',311,78,,,,,,2019,Florida,,,,Doral,Doral Academy,Florida
Jason Marshall,CB,Miami,FL,6'2'',180,86.0,Florida,,1,,,2021,Florida,19,10,,,,
Carlos Del Rio,QB,Loganville,GA,6'2'',200,86.0,Florida,,12,,,2021,Florida,26,8,,,,
Corey Collier,S,Miami,FL,6'0'',175,84.0,Florida,,3,,,2021,Florida,,,,,,
Jeremiah Williams,DE,Birmingham,AL,6'4'',220,84.0,Florida,,12,,,2021,Florida,,,,,,
Tyreak Sapp,DE,Fort Lauderdale,FL,6'3'',260,84.0,Florida,,14,,,2021,Florida,48,18,,,,
Yousef Mugharbil,OG,Murphy,NC,6'5'',300,84.0,Florida,,4,,,2021,Florida,,,,,,
Chief Borders,ATH,Powder Springs,GA,6'3'',230,84.0,Florida,,9,,,2021,Florida,,,,,,
Daejon Reynolds,WR,Loganville,GA,6'2'',190,83.0,Florida,,36,,,2021,Florida,,,,,,
Gage Wilcox,TE,Tampa,FL,6'4'',230,82.0,Florida,,2,,,2021,Florida,106,38,,,,
Marcus Burke,WR,Jacksonville,FL,6'3'',180,81.0,Florida,,48,,,2021,Florida,,,,,,
Nick Elksnis,TE,Jacksonville,FL,6'6'',220,81.0,Florida,,3,,,2021,Florida,119,42,,,,
Jalen Kitna,QB,Burleson,TX,6'4'',185,80.0,Florida,,24,,,2021,Florida,64,53,,,,
Donovan McMillon,S,McMurray,PA,6'2'',195,80.0,Florida,,20,,,2021,Florida,,,,,,
Desmond Watson,DT,Seffner,FL,6'5'',315,80.0,Florida,,26,,,2021,Florida,,,,,,
Justus Boone,DE,Sumter,SC,6'5'',250,80.0,Florida,,,,,2021,Florida,,,,,,
Chris Thomas Jr.,DT,Fort Myers,FL,6'5'',280,80.0,Florida,,29,,,2021,Florida,178,65,,,,
Dakota Mitchell,S,Winter Park,FL,5'11'',175,78.0,Florida,,38,,,2021,Florida,,,,,,
Diwun Black,OLB,Kissimmee,FL,6'4'',225,78.0,Florida,,2.0,,,2021,Florida, None, None,,,,
Jake Slaughter,OC,Ocala,FL,6'4'',300,77.0,Florida,,10,,,2021,Florida,,,,,,
Austin Barber,OG,Jacksonville,FL,6'6'',315,76.0,Florida,,49,,,2021,Florida,,,,,,
Jordan Young,CB,Tampa,FL,6'0'',185,76.0,Florida,,,,,2021,Florida,,,,,,
Rocco Underwood,LS,Lake Mary,FL,6'4'',220,69.0,Florida,,3,,,2021,Florida,958,307,,,,
Demarkcus Bowman,RB,Lakeland,FL,5'10'',190,,Florida,,,,,2021,Florida,,,,,,
Jace Christmann,K,Houston,TX,6'0'',195,,Florida,,,,,2021,Florida,,,,,,
Daquan Newkirk,DT,Windermere,FL,6'3'',280,,Florida,,,,,2021,Florida,,,,,,
Antonio Shelton,DT,Westerville,OH,6'2'',280,,Florida,,,,,2021,Florida,,,,,,
Dylan Meeks,DE,Orlando,FL,6'2'',240,,Florida,,,,,2021,Florida,,,,,,
Kamari Wilson,S,Bradenton,FL,6'1'',205,,90.0,Florida,1,10,4,2022,Florida,,,,,,
Shemar James,ATH,Mobile,AL,6'3'',200,,83.0,Florida,11,,,2022,Florida,,,,,,
Chris McClellan,DT,Owasso,OK,6'3'',290,,82.0,Florida,15,42,4,2022,Florida,,,,,,
Trevor Etienne,RB,Jennings,LA,5'9'',200,,82.0,Florida,16,,,2022,Florida,,,,,,
Tony Livingston,OT,Tampa,FL,6'6'',240,,82.0,Florida,20,95,28,2022,Florida,,,,,,
Arlis Boardingham,TE-H,Van Nuys,CA,6'5'',220,,80.0,Florida,9,54,28,2022,Florida,,,,,,
Caleb Douglas,WR,Missouri City,TX,6'2'',185,,80.0,Florida,54,79,58,2022,Florida,,,,,,
Jamari Lyons,DT,Viera,FL,6'3'',285,,80.0,Florida,36,187,61,2022,Florida,,,,,,
Miguel Mitchell,S,Oxford,AL,6'0'',205,,79.0,Florida,,,,2022,Florida,,,,,,
Jalen Farmer,OG,Covington,GA,6'5'',325,,79.0,Florida,17,229,53,2022,Florida,,,,,,
Jack Pyburn,DE,Jacksonville,FL,6'3'',265,,78.0,Florida,50,286,94,2022,Florida,,,,,,
