Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Star,School, Reg_rank, State_rank, State_rank 
Mason Richman,DE,Stilwell,KS,6'6'',250,76,Iowa,,76,,,2020,Iowa,,,153,9,
Isaiah Bruce,DE,Lena,IL,6'1'',240,76,Iowa,,77,,,2020,Iowa,,,,,
Reggie Bracy,CB,Mobile,AL,6'0'',175,76,Iowa,,61,,,2020,Iowa,,,368,35,
Yahya Black,DE,Marshall,MN,6'5'',230,76,Iowa,,82,,,2020,Iowa,,,88,6,
Gavin Williams,RB,West Des Moines,IA,6'0'',195,76,Iowa,,60,,,2020,Iowa,,,90,6,
Luke Lachey,TE-H,Columbus,OH,6'5'',215,76,Iowa,,,,,2020,Iowa,,,91,27,
Quavon Matthews,WR,Largo,FL,5'11'',170,75,Iowa,,172,,,2020,Iowa,,,,,
Ethan Hurkett,ILB,Cedar Rapids,IA,6'3'',225,75,Iowa,,33,,,2020,Iowa,,,134,8,
A.J. Lawson,WR,Decatur,IL,6'2'',180,74,Iowa,,218,,,2020,Iowa,,,145,25,
Lukas Van Ness,DE,Barrington,IL,6'5'',240,74,Iowa,,144,,,2020,Iowa,,,,,
Diante Vines,WR,Watertown,CT,5'11'',190,73,Iowa,,269,,,2020,Iowa,,,,,
Brenden Deasfernandes,CB,Belleville,MI,6'0'',165,72,Iowa,,161,,,2020,Iowa,,,,,
Jay Higgins,ILB,Indianapolis,IN,6'2'',215,72,Iowa,,52,,,2020,Iowa,,,,,
Coy Cronk,OT,,Lafayette,IN,6'5'',320,Iowa,,,,,2020,Iowa,,,,,
David Davidkov,OT,Winnetka,IL,6'5'',290,82.0,Iowa,,22,,,2021,Iowa,,,20,2,
Justice Sullivan,OLB,Eden Prairie,MN,6'1'',215,81.0,Iowa,,27,,,2021,Iowa,,,25,2,
Connor Colby,OG,Cedar Rapids,IA,6'5'',270,80.0,Iowa,,15,,,2021,Iowa,,,29,4,
Gennings Dunker,OG,Lena,IL,6'4'',265,80.0,Iowa,,20,,,2021,Iowa,,,36,5,
Arland Bruce IV,ATH,Olathe,KS,5'10'',185,79.0,Iowa,,36,,,2021,Iowa,,,,,
Michael Myslinski,OC,Jacksonville,FL,6'2'',285,79.0,Iowa,,8,,,2021,Iowa,,,198,73,
Jeremiah Pittman,DT,Arlington Heights,IL,6'2'',255,78.0,Iowa,,38,,,2021,Iowa,,,,,
Keagan Johnson,ATH,Bellevue,NE,6'1'',180,78.0,Iowa,,41,,,2021,Iowa,,,,,
Jeffrey Bowie,DE,West Branch,IA,6'5'',245,78.0,Iowa,,,,,2021,Iowa,,, None, None,
Griffin Liddle,DT,Bettendorf,IA,6'3'',270,77.0,Iowa,,50,,,2021,Iowa,,,,,
Beau Stephens,OT,Blue Springs,MO,6'6'',320,77.0,Iowa,,70,,,2021,Iowa,,,176,9,
Jaden Harrell,ILB,Urbandale,IA,6'2'',215,77.0,Iowa,,26,,,2021,Iowa,,,95,8,
Zach Twedt,TE-H,Story City,IA,6'3'',205,76.0,Iowa,,14,,,2021,Iowa,,,102,10,
Max Llewellyn,DE,Urbandale,IA,6'5'',230,76.0,Iowa,,102,,,2021,Iowa,,,115,11,
