Name,Pos,City,State,Height,Weight,Stars,Grade,University  ,Pos_rank, Reg_rank, State_rank,Year,Team,University,Reg_rank,State_rank,School,University 
Kyle Markway,TE-Y,Kirkwood,MO,6'4'',220,Not Rated,77,,17,,,2015,South Carolina,St. John Vianney High School,156,10,,
Blake Camper,OT,Virginia Beach,VA,6'7'',270,Not Rated,77,,90,,,2015,South Carolina,Frank Cox High School,111,31,,
Devante Covington,DE,Rockingham,NC,6'3'',230,Not Rated,76,,10,,,2015,South Carolina,Georgia Military College,NR,,,
Jalen Henry,OLB,Foley,AL,6'0'',220,Not Rated,76,,78,,,2015,South Carolina,Foley High School,,,,
Connor Redmond,TE-Y,Lawrenceville,GA,6'3'',220,Not Rated,76,,21,,,2015,South Carolina,Archer High School,461,106,,
Ernest Hawkins,ILB,Baltimore,MD,6'1'',225,Not Rated,76,,3,,,2015,South Carolina,Hartnell Community College,NR,NR,,
Jerad Washington,WR,Jacksonville,FL,5'8'',160,Not Rated,75,,149,,,2015,South Carolina,First Coast High School,492,171,,
Joseph Charlton,K,Columbia,SC,6'5'',200,Not Rated,75,,15,,,2015,South Carolina,A. C. Flora High School,,,,
Rashad Fenton,CB,Miami,FL,6'0'',171,Not Rated,73,,629,,,2015,South Carolina,Carol City High School,,,,
Cory Helms,OG,Alpharetta,GA,6'3'',299,Not Rated,72,,,,,2015,South Carolina,Wake Forest University,,,,
Jake Bentley,QB-PP,Opelika,AL,6'4'',219,86,South Carolina,,, None, None,2016,South Carolina,,,,,
Brandon McIlwain,QB-DT,Newtown,PA,6'1'',204,83,South Carolina,,4,,,2016,South Carolina,,,,,
JaMarcus King,CB,Eight Mile,AL,6'2'',180,82,South Carolina,,10th, NR, NR,2016,South Carolina,,,,,
Keir Thomas,DE,Miami,FL,6'1'',255,82,South Carolina,,,,,2016,South Carolina,,,,,
Stephon Taylor,DT,New Orleans,LA,6'5'',280,81,South Carolina,,23,,,2016,South Carolina,,,,,
Bryan Edwards,WR,Conway,SC,6'3'',209,81,South Carolina,,43,,,2016,South Carolina,,,,,
Javon Kinlaw,OT,Goose Creek,SC,6'6'',280,80,South Carolina,,29,177,6,2016,South Carolina,,,,,
Kobe Smith,DT,Lawrenceville,GA,6'3'',315,79,South Carolina,,40,226,43,2016,South Carolina,,,,,
Randrecous Davis,WR,Atlanta,GA,5'11'',178,79,South Carolina,,44,,,2016,South Carolina,,,,,
Darius Whitfield,OC,Mobile,AL,6'3'',270,79,South Carolina,,6,,,2016,South Carolina,,,,,
Korey Banks,WR,Tyrone,GA,6'0'',165,79,South Carolina,,, None, None,2016,South Carolina,,,,,
C.J. Freeman,RB,Greensboro,NC,5'11'',200,78,South Carolina,,53,,,2016,South Carolina,,,,,
Aaron Thompson,DT,Fort Lauderdale,FL,6'3'',252,78,South Carolina,,49,312,108,2016,South Carolina,,,,,
Akeem Cooperwood,OT,Knoxville,TN,6'7'',330,78,South Carolina,,12,,,2016,South Carolina,,,,,
Diondre Champaigne,WR,North Charleston,SC,6'3'',180,77,South Carolina,,127,352,14,2016,South Carolina,,,,,
Chris Smith,CB,Rock Hill,SC,5'11'',170,77,South Carolina,,46,367,16,2016,South Carolina,,,,,
Rico Dowdle,RB,Asheville,NC,5'11'',205,76,South Carolina,,385, None,39,2016,South Carolina,,,,,
Evan Hinson,TE-H,Deltona,FL,6'4'',215,76,South Carolina,,19,388,131,2016,South Carolina,,,,,
Chavis Dawkins,WR,Duncan,SC,6'2'',195,76,South Carolina,,143,,,2016,South Carolina,,,,,
Kiel Pollard,WR,Moultrie,GA,6'1'',225,76,South Carolina,,148,412,84,2016,South Carolina,,,,,
Sadarius Hutcherson,DE,Huntingdon,TN,6'5'',245,74,South Carolina,,105,,,2016,South Carolina,,,,,
Griffin Gentry,DT,Birmingham,AL,6'1'',248,74,South Carolina,,464,71,34,2016,South Carolina,,,,,
T.J. Brunson,ILB,Columbia,SC,6'0'',220,74,South Carolina,,40,,,2016,South Carolina,,,,,
Dennis Wonnum,DE,Stone Mountain,GA,6'3'',218,73,South Carolina,,121,521,113,2016,South Carolina,,,,,
Pete Leota,OG,Asheville,NC,6'4'',290,73,South Carolina,,78,548,52,2016,South Carolina,,,,,
Robert Tucker,ILB,Atlanta,GA,6'3'',234,72,South Carolina,,48,,,2016,South Carolina,,,,,
Will Putnam,OT,Harrisburg,NC,6'5'',270,68,South Carolina,,132,692,64,2016,South Carolina,,,,,
Jamyest Williams,CB,Loganville,GA,5'9'',173,86.0,South Carolina,,3,20,4,2017,South Carolina,,,,,
Shi Smith,WR,Union,SC,6'0'',175,83.0,South Carolina,,16,53,1,2017,South Carolina,,,,,
Keisean Nixon,CB,Compton,CA,6'0'',200,83.0,South Carolina,,10th, NR, NR,2017,South Carolina,,,,,
Javon Kinlaw,DT,Goose Creek,SC,6'5'',300,81.0,South Carolina,,17,,,2017,South Carolina,,,,,
Aaron Sterling,DT,Tucker,GA,6'1'',259,81.0,South Carolina,,15,,,2017,South Carolina,,,,,
Dennis Daley,OT,Columbia,SC,6'5'',290,81.0,South Carolina,,20th,,,2017,South Carolina,,,,,
M.J. Webb,DT,Madison,GA,6'3'',271,81.0,South Carolina,,16,102,28,2017,South Carolina,,,,,
OrTre Smith,WR,Mount Pleasant,SC,6'4'',217,81.0,South Carolina,,36,,,2017,South Carolina,,,,,
Will Register,TE-Y,Chapin,SC,6'4'',240,81.0,South Carolina,,6,,,2017,South Carolina,,,,,
Brad Johnson,DE,Pendleton,SC,6'2'',230,79.0,South Carolina,,38,,,2017,South Carolina,,,,,
Kaleb Chalmers,CB,Greenwood,SC,5'11'',185,79.0,South Carolina,,10, NR, NR,2017,South Carolina,,,,,
Jaylin Dickerson,ATH,Southern Pines,NC,6'1'',180,79.0,South Carolina,,42,236,12,2017,South Carolina,,,,,
Chad Terrell,WR,Dallas,GA,6'2'',205,79.0,South Carolina,,87,239,58,2017,South Carolina,,,,,
Jay Urich,QB-PP,Piedmont,SC,6'5'',190,78.0,South Carolina,,26,299,10,2017,South Carolina,,,,,
Tyreek Johnson,DE,Sumter,SC,6'3'',245,78.0,South Carolina,,64,307,12,2017,South Carolina,,,,,
Summie Carlay,OT,Laurens,SC,6'4'',275,78.0,South Carolina,,59,,,2017,South Carolina,,,,,
Jordan Rhodes,OT,Fairburn,GA,6'5'',300,77.0,South Carolina,,60,,,2017,South Carolina,,,,,
Davonne Bowen,DE,Piedmont,SC,6'1'',215,77.0,South Carolina,,66,339,14,2017,South Carolina,,,,,
Sherrod Greene,ILB,Rocky Mount,NC,6'1'',219,77.0,South Carolina,,24,,,2017,South Carolina,,,,,
Eldridge Thompson,OLB,Memphis,TN,6'1'',220,77.0,South Carolina,,7,,,2017,South Carolina,,,,,
Eric Douglas II,OT,Charlotte,NC,6'4'',285,76.0,South Carolina,,78,,,2017,South Carolina,,,,,
Damani Staley,OLB,Columbia,SC,6'1'',200,74.0,South Carolina,,505,,,2017,South Carolina,,,,,
Zay Brown,S,Athens,GA,5'11'',184,74.0,South Carolina,,, None, None,2017,South Carolina,,,,,
Tavyn Jackson,CB,Tallahassee,FL,5'10'',167,73.0,South Carolina,,548,,,2017,South Carolina,,,,,
Jordon Carty,OT,Hollywood,FL,6'6'',265,,South Carolina,,, None, None,2017,South Carolina,,,,,
Zacch Pickens,DE,Anderson,SC,6'4'',265,,86,,4,12,1,2019,South Carolina,South Carolina,,,,
Jaquaze Sorrells,DT,Winter Park,FL,6'3'',286,,86,,3,,,2019,South Carolina,South Carolina,,,,
Ryan Hilinski,QB-PPO,Orange,CA,6'4'',222,,84,,4,,,2019,South Carolina,South Carolina,,,,
Jahkeem Green,DT (JC),Sumter,SC,6'3'',305,,82,,1,,,2019,South Carolina,South Carolina,,,,
Joseph Anderson,DE,Murfreesboro,TN,6'4'',260,,81,,26,,,2019,South Carolina,South Carolina,,,,
Shilo Sanders,CB,Cedar Hill,TX,6'0'',178,,80,,24,48,37,2019,South Carolina,South Carolina,,,,
Devontae Davis,DE (JC),Aiken,SC,6'4'',250,,80,,6,,,2019,South Carolina,South Carolina,,,,
Cameron Smith,CB,Blythewood,SC,6'1'',171,,80,,25,147,3,2019,South Carolina,South Carolina,,,,
Jakai Moore,OG,Nokesville,VA,6'5'',290,,80,,12,33,10,2019,South Carolina,South Carolina,,,,
Vincent Murphy,OC,Fort Lauderdale,FL,6'3'',260,,80,,6,179,55,2019,South Carolina,South Carolina,,,,
Rodricus Fitten,DE,Atlanta,GA,6'3'',221,,80,,42,180,45,2019,South Carolina,South Carolina,,,,
Traevon Kenion,TE-H,Monroe,NC,6'3'',215,,80,,5,183,13,2019,South Carolina,South Carolina,,,,
