Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team, Pos, City, State, Height, Weight, Stars, Grade, University,University, Reg_rank, State_rank,University ,Stars
Julian Carter, WR, Scottsdale, AZ, 6'2'',185, Boise State,,18,,,2016,Boise State,,,,,,,,,,,,, 70
Cedrick Wilson Jr., WR (JC), Memphis, TN, 6'2'',170, Boise State,,,,,2016,Boise State,,,,,,,,,,,,, 70
Ali'i Niumatalolo, ILB, Annapolis, MD, 6'2'',230, Boise State,,,,,2016,Boise State,,,,,,,,,,,,, 68
Robert Lewis, CB, Los Angeles, CA, 5'10'',160, Boise State,,,,,2016,Boise State,,,,,,,,,,,,, 68
Emmanuel Fesili, DT, Long Beach, CA, 6'2'',309, Boise State,,NR,NR,NR,2016,Boise State,,,,,,,,,,,,, None
Donte Harrington, OG, San Clemente, CA, 6'2'',281, Boise State,,,,,2016,Boise State,,,,,,,,,,,,, None
Kayode Rufai, DE, Lake Oswego, OR, 6'4'',239, Boise State,,NR,NR,NR,2016,Boise State,,,,,,,,,,,,, None
Austin Dixon, OT, Tempe, AZ, 6'7'',265, Boise State,,NR,,,2016,Boise State,,,,,,,,,,,,, None
Jordan Happle, S, Portland, OR, 6'2'',190, Boise State,,,,,2016,Boise State,,,,,,,,,,,,, None
Jalen Walker, S, Lawndale, CA, 5'11'',175, Boise State,,,,,2016,Boise State,,,,,,,,,,,,, None
Danielson Auelua, DT (JC), Highland, UT, 6'2'',290, Boise State,,,,,2016,Boise State,,,,,,,,,,,,, None
Will Adams, OT (TR), Tyrone, GA, 6'7'',303, Boise State,,,,,2016,Boise State,,,,,,,,,,,,, None
Khalil Shakir,WR,Murrieta,CA,6'0'',178,Boise State,,,,,2018,Boise State,,,,,,,,,, None, None,,80
Cameron Thomas,WR,Austin,TX,6'3'',210,Boise State,,96,,,2018,Boise State,,,,,,,,,,,,,79
John Hightower,WR,MS,6'2'',175,79,,,8,,,2018,Boise State,,,,,,,,,,,,,Boise State
Tyneil Hopper,TE,Roswell,GA,6'3'',227,Boise State,,11,,,2018,Boise State,,,,,,,,,,,,,79
Brandon Hawkins,OLB,Georgetown,TX,6'3'',195,Boise State,,50,,,2018,Boise State,,,,,,,,,,145,115,,77
Chris Mitchell,CB,Mission Viejo,CA,6'0'',189,Boise State,,66,,,2018,Boise State,,,,,,,,,,,,,77
Tyric LeBeauf,S,Long Beach,CA,6'3'',170,Boise State,,,,,2018,Boise State,,,,,,,,,, None, None,,76
Jaylon Henderson,QB,Kingwood,TX,6'1'',185,Boise State,,8,,,2018,Boise State,,,,,,,,,,,,,76
Demitri Washington,DE,Solana Beach,CA,6'4'',235,Boise State,,109,,,2018,Boise State,,,,,,,,,,186,117,,75
Scale Igiehon,DT,Del Valle,TX,6'2'',327,Boise State,,96,,,2018,Boise State,,,,,,,,,,223,180,,74
Riley Smith,QB,Jacksonville,FL,6'3'',192,Boise State,,52,,,2018,Boise State,,,,,,,,,,,,,74
D.J. Schramm,ILB,Fresno,CA,6'1'',215,Boise State,,,,,2018,Boise State,,,,,,,,,, None, None,,74
Garrett Curran,OT,El Cajon,CA,6'5'',265,Boise State,,116,,,2018,Boise State,,,,,,,,,,204,130,,74
Andrew Van Buren,RB,West Hills,CA,6'1'',217,Boise State,,149,,,2018,Boise State,,,,,,,,,,227,96,,73
Phillip Mills,S,Menifee,CA,6'2'',210,Boise State,,102,,,2018,Boise State,,,,,,,,,,,,,72
Kukea Emmsley,DE,Kapolei,HI,6'4'',222,Boise State,,145,,,2018,Boise State,,,,,,,,,,,,,72
Billy Bowens,WR,Redlands,CA,6'0'',175,Boise State,,,,,2018,Boise State,,,,,,,,,,,,,NR
Danny Smith,RB,Oxnard,CA,5'10'',205,Boise State,,NR,,,2018,Boise State,,,,,,,,,, NR, NR,,NR
Scott Matlock,DE,Homedale,ID,6'3'',260,Boise State,,,,,2018,Boise State,,,,,,,,,, None, None,,NR
