Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,University  
Frank Ragnow,OT,Chanhassen,MN,6'5'',296,80.0,,22,44,3,2014,Arkansas,,,,Arkansas,
Jovan Pruitt,OT,Dallas,TX,6'6'',295,78.0,,40,108,78,2014,Arkansas,,,,Arkansas,
Armon Watts,DT,Saint Louis,MO,6'4'',275,78.0,,, None, None,2014,Arkansas,,,,Arkansas,
Sebastian Tretola,OT (JC),San Bernardino,CA,6'5'',315,78.0,,11, None, None,2014,Arkansas,,,,Arkansas,
Cole Hedlund,K,Argyle,TX,5'10'',170,78.0,,7,,,2014,Arkansas,,,,Arkansas,
Khalia Hackett,S,Douglasville,GA,6'2'',205,77.0,,52,330,65,2014,Arkansas,,,,Arkansas,
Kendrick Edwards,WR,Miami,FL,6'5'',185,77.0,,106,333,117,2014,Arkansas,,,,Arkansas,
Joshua Liddell,RB,Pine Bluff,AR,6'0'',195,77.0,,353,82,4,2014,Arkansas,,,,Arkansas,
Henre' Toliver,CB,Metairie,LA,6'0'',180,77.0,,49,,,2014,Arkansas,,,,Arkansas,
Christopher Murphy,CB,Marietta,GA,5'10'',177,75.0,,108,,,2014,Arkansas,,,,Arkansas,
Jake Hall,DE,Springdale,AR,6'5'',239,75.0,,130,,,2014,Arkansas,,,,Arkansas,
Juan Day,RB,North Little Rock,AR,6'2'',209,74.0,,31,,,2014,Arkansas,,,,Arkansas,
Jack Kraus,TE-Y,Bentonville,AR,6'5'',230,74.0,,19,,,2014,Arkansas,,,,Arkansas,
Cody Hollister,WR (JC),Bend,OR,6'3'',205,74.0,,7,,,2014,Arkansas,,,,Arkansas,
Dwayne Eugene,S,Metairie,LA,6'0'',218,74.0,,130,,,2014,Arkansas,,,,Arkansas,
Cornelius Floyd,ATH,Miami,FL,5'11'',160,74.0,,129,589,207,2014,Arkansas,,,,Arkansas,
Anthony Brown,DE,Miami,FL,6'3'',230,73.0,,112,,,2014,Arkansas,,,,Arkansas,
Randy Ramsey,S,Fort Lauderdale,FL,6'3'',205,73.0,,123,649,53,2014,Arkansas,,,,Arkansas,
Santos Ramirez,S,Shreveport,LA,6'1'',170,73.0,,214,698,58,2014,Arkansas,,,,Arkansas,
Jared Cornelius,WR,Shreveport,LA,6'1'',190,72.0,,NR,,,2014,Arkansas,,,,Arkansas,
Josh Williams,ILB (JC),Fort Lauderdale,FL,6'1'',235,,,,,,2014,Arkansas,,,,Arkansas,
Hjalte Froholdt,DT,Bradenton,FL,6'4'',285,83,,98,50,19,2015,Arkansas,3,,,,Arkansas  
McTelvin Agim,DE,Hope,AR,6'3'',268,89.0,Arkansas,3,7,1,2016,Arkansas,,,,,
Devwah Whaley,RB,Beaumont,TX,6'0'',195,85.0,Arkansas,6,11,11,2016,Arkansas,,,,,
Briston Guidry,DT,Metairie,LA,6'2'',285,82.0,Arkansas,16,,,2016,Arkansas,,,,,
T.J. Hammonds,WR,Little Rock,AR,5'11'',189,82.0,Arkansas,35,,,2016,Arkansas,,,,,
Jake Heinrich,OG,Urbandale,IA,6'4'',283,80.0,Arkansas,20,32,2,2016,Arkansas,,,,,
Austin Capps,DT,Star City,AR,6'4'',305,80.0,Arkansas,32,,,2016,Arkansas,,,,,
Jordan Jones,WR,Smackover,AR,6'1'',175,80.0,Arkansas,5,161,5,2016,Arkansas,,,,,
Cole Kelley,QB-PP,Lafayette,LA,6'7'',246,80.0,Arkansas,16,180,28,2016,Arkansas,,,,,
Jonathan Marshall,DE,Shepherd,TX,6'3'',256,79.0,Arkansas,57,92,77,2016,Arkansas,,,,,
Kofi Boateng,WR,Arlington,TX,6'1'',177,78.0,Arkansas,98,,85,2016,Arkansas,,,,,
Giovanni LaFrance,OLB,New Orleans,LA,6'1'',239,78.0,Arkansas,32,298,36,2016,Arkansas,,,,,
Alexy Jean-Baptiste,OLB,Coconut Creek,FL,6'1'',198,78.0,Arkansas,35,318,109,2016,Arkansas,,,,,
Deon Edwards,S,Minneola,FL,6'0'',194,77.0,Arkansas,50,334,113,2016,Arkansas,,,,,
Terrance Malone,OG,Batesville,MS,6'3'',310,76.0,Arkansas,5,,,2016,Arkansas,,,,,
De'Jon Harris,ILB,Marrero,LA,6'0'',238,76.0,Arkansas,64,480,104,2016,Arkansas,,,,,
Dee Walker,OLB,Moultrie,GA,6'2'',210,74.0,Arkansas,3,221,15,2016,Arkansas,,,,,
Hayden Johnson,FB,Columbia,MO,6'3'',255,73.0,Arkansas,34,,,2016,Arkansas,,,,,
Grayson Gunter,TE-Y,Madison,MS,6'6'',230,73.0,Arkansas,, None, None,2016,Arkansas,,,,,
Dylan Hays,DT,Little Rock,AR,6'3'',279,,Arkansas,NR,,,2016,Arkansas,,,,,
Micahh Smith,S,Marshall,TX,5'11'',195,,Arkansas,,,,2016,Arkansas,,,,,
Paul Ramirez-Diaz,OT,Rialto,CA,6'5'',290,,Arkansas,,,,2016,Arkansas,,,,,
Dorian Gerald,DE,Florence,SC,6'3'',250,83,,4th, NR, NR,2018,Arkansas,,,,,Arkansas  
Connor Noland,QB-PP,Greenwood,AR,6'2'',195,81,,14,,,2018,Arkansas,,,,,Arkansas  
Myles Mason,S,Trussville,AL,6'2'',196,80,,21,150,10,2018,Arkansas,,,,,Arkansas  
Bumper Pool,ILB,Allen,TX,6'3'',213,79,,17,95,75,2018,Arkansas,,,,,Arkansas  
Michael Woods,WR,Magnolia,TX,6'1'',188,79,,105, None,105,2018,Arkansas,,,,,Arkansas  
Courtre Alexander,DE,Owasso,OK,6'4'',235,78,,58,118,11,2018,Arkansas,,,,,Arkansas  
