Name,Pos,City,State,Height,Weight,Stars,Grade,University  ,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University,School
Sidney Hammond,DE, Kennesaw, GA, 6'2'',260, None, None,,,,,2015,Western Kentucky,,, Western Kentucky,
Jontavius Morris,DT, Birmingham, AL, 6'1'',290, None, None,,,,,2015,Western Kentucky, None, None, Western Kentucky,
T.J. McCollum,S, Birmingham, AL, 6'2'',195, None, None,,,,,2015,Western Kentucky,,, Western Kentucky,
Jeremy Darvin,DT,Nashville,TN,6'1'',288,73,Western Kentucky,,,,,2016,Western Kentucky,541,27,,
Adam Raschilla,OT,Northport,AL,6'6'',307,70,Western Kentucky,,124,,,2016,Western Kentucky,667,52,,
Devon Key,S,Lexington,KY,6'1'',187,68,Western Kentucky,,694,,,2016,Western Kentucky,130,13,,
Anthony Robinson,ATH,Frankfort,KY,6'2'',225,68,Western Kentucky,,133,,,2016,Western Kentucky,697,14,,
Quinton Baker,RB,Ashland,KY,5'9'',191,68,Western Kentucky,,128,,,2016,Western Kentucky,,,,
Dee Cain,ATH,Princeton,KY,6'1'',215,68,Western Kentucky,,139,,,2016,Western Kentucky,715,16,,
Jahcour Pearson,WR,Coral Springs,FL,5'8'',165,68,Western Kentucky,,227,,,2016,Western Kentucky,,,,
Steven Duncan,QB,Charleston,SC,6'5'',233,67,Western Kentucky,,,,,2016,Western Kentucky,724,34,,
Kyle Fourtenbary,TE,Opelika,AL,6'4'',225,67,Western Kentucky,,28,,,2016,Western Kentucky,726,56,,
Chris Cotto,WR,Hallandale Beach,FL,5'11'',186,67,Western Kentucky,,,,,2016,Western Kentucky, None, None,,
Jalen Madden,,Tuscaloosa,AL,6'2'',317,NR,Western Kentucky,,,,,2016,Western Kentucky,,,,
Tyler Witt,OG,Joliet,IL,6'3'',270,NR,Western Kentucky,,,,,2016,Western Kentucky, None, None,,
Roger Cray,CB,Lake City,FL,5'9'',152,NR,Western Kentucky,,,,,2016,Western Kentucky,,,,
Drew O'Bryan,ILB,Ashland,KY,6'3'',231,NR,Western Kentucky,,,,,2016,Western Kentucky, None, None,,
Josh Anderson,ILB,Ruskin,FL,6'1'',255,NR,Western Kentucky,,,,,2016,Western Kentucky,,,,
Jordan Meredith,OG,Bowling Green,KY,6'2'',280,NR,Western Kentucky,,,,,2016,Western Kentucky, None, None,,
Seth Joest,OG,Versailles,KY,6'3'',275,NR,Western Kentucky,,,,,2016,Western Kentucky, None, None,,
Lamarius Kinslow,ATH,Louisville,KY,6'1'',220,NR,Western Kentucky,,,,,2016,Western Kentucky, None, None,,
John Hines,DE,Montgomery,AL,6'4'',210,NR,Western Kentucky,,NR,,,2016,Western Kentucky,,,,
Gaej Walker,RB,Gibsonton,FL,5'11'',180,NR,Western Kentucky,,NR,,,2016,Western Kentucky,,,,
Xavier Lane,WR,Montgomery,AL,6'3'',195,NR,Western Kentucky,,,,,2016,Western Kentucky, None, None,,
Tyler Ferguson,QB,Bakersfield,CA,6'4'',220,TR,Western Kentucky,,,,,2016,Western Kentucky, None, None,,
Nick Dawson-Brents,DE,Miami,FL,6'3'',260,NR,Western Kentucky,,,,,2016,Western Kentucky,,,,
