Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University,Stars, Reg_rank, State_rank
Qayvier Johnson,DE,Hamden,CT,Hamden Hall Country Day School,6'3'',75,Northwestern,131,,,2024,Northwestern,,225,,
Callen Campbell,DE,Sault Saint Marie,MI,Sault Area High School,6'4'',75,Northwestern,134,,,2024,Northwestern,,240,,
Tito Williams,S,Cleveland,TN,Bradley Central High School,6'1'',74,Northwestern,145,,,2024,Northwestern,,185,679,47
Sean Martin,CB,Cleveland,OH,Saint Ignatius High School,6'0'',74,Northwestern,147,,,2024,Northwestern,,180,,
Terrion Hicks,CB,Lexington,KY,Frederick Douglass High School,5'11'',74,Northwestern,147,,,2024,Northwestern,,170,700,12
Hayden Eligon II,WR,Los Alamitos,CA,Los Alamitos High School,6'4'',74,Northwestern,199,,,2024,Northwestern,,190,232,122
Carson Grove,ATH,Arlington Heights,IL,John Hersey High School,5'10'',74,Northwestern,155,,,2024,Northwestern,,175,218,42
Idrys Cotton,OG,Canton,MI,Plymouth High School,6'4'',74,Northwestern,116,,,2024,Northwestern,,285,224,30
Matthew Smith,OLB,Durham,NC,Hillside High School,6'2'',73,Northwestern,114,,,2024,Northwestern,,200,751,56
Ezomo Oratokhai,OT,Austin,TX,Lake Travis High School,6'4'',73,Northwestern,170.0,,,2024,Northwestern,,290, 363, 279
Troy Regovich,DT,Lakewood,OH,Saint Edward High School,6'5'',71,Northwestern,139,,,2024,Northwestern,,265,256,88
Dennis Rahouski,DE,Eden Prairie,MN,Eden Prairie High,6'5'',70,Northwestern,194,,,2024,Northwestern,,255,258,14
Matt Keeler,OT,Chicago,IL,Texas Tech University,6'6'',,Northwestern,,,,2024,Northwestern,,305, None, None
Mike Wright,QB-DT,Fayetteville,GA,Mississippi State University,6'4'',,Northwestern,,,,2024,Northwestern,,195,,
