Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,University 
"Tony James,WR,Arlington,TX,5'10"",153,78,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Darrion Flowers,WR,Arlington,TX,5'9"",160,78,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Tre'Vontae Hights,ATH,Yoakum,TX,6'3"",175,77,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Jozie Milton,OC,Clinton,LA,6'2"",290,77,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Jarrison Stewart,WR,Mesquite,TX,5'11"",177,77,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Cordel Iwuagwu,OG,Houston,TX,6'3"",285,77,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Jeff Gladney,ATH,New Boston,TX,5'10"",160,77,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Mike Freeze,OLB,Graham,TX,6'2"",215,76,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Julius Lewis,ATH,Mansfield,TX,5'11"",164,76,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Arico Evans,ATH,Dallas,TX,6'1"",190,76,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Niko Small,S,Arlington,TX,5'10"",183,75,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Semaj Thomas,ILB,Fort Worth,TX,6'0"",231,75,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Joseph Broadnax,DT,Dallas,TX,6'0"",303,75,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Jonathon Song,K,Fort Worth,TX,5'9"",160,74,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Sam Awolope,OT,Missouri City,TX,6'5"",250,73,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Tipa Galeai,DE,Euless,TX,6'6"",206,73,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Alec Dunham,OLB,Coldspring,TX,6'0"",210,72,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
Justin Rogers,QB, Bossier City, LA, 6'4'',198, 5, 85, TCU,4,32,3,2018,Texas Christian,,,,
Atanza Vongor, S, Grand Prairie, TX, 6'2 '',204, 4, 83, TCU,12,,,2018,Texas Christian,,,,
Fabian Franklin, RB, Hattiesburg, MS, 5'11'',200, 4, 83, TCU,11,85,3,2018,Texas Christian,,,,
Anthony McKinney, OT, Rockford, IL, 6'7'',330, 4, 82, TCU,1,,,2018,Texas Christian,,,,
Tevailance Hunt, WR, Texarkana, TX, 6'1'',185, 4, 81, TCU,44,,,2018,Texas Christian,,,,
Esteban Avila, OG, Grand Prairie, TX, 6'4'',300, 4, 80, TCU,17,57,44,2018,Texas Christian,,,,
Bryson Jackson, WR, Houston, TX, 5'11'',174, 4, 80, TCU,, None, None,2018,Texas Christian,,,,
Pro Wells, TE, Saint Petersburg, FL, 6'5'',230, 4, 79, TCU,2,,,2018,Texas Christian,,,,
ArDarius Washington, CB, Shreveport, LA, 5'10'',175, 4, 79, TCU,48,247,17,2018,Texas Christian,,,,
John Lanz, OG, Denton, TX, 6'3'',286, 4, 78, TCU,34,,,2018,Texas Christian,,,,
Ochaun Mathis, DE, Manor, TX, 6'4'',220, 4, 78, TCU,64,,,2018,Texas Christian,,,,
John Stephens, WR, Logansport, LA, 6'4'',197, 4, 78, TCU,130,298,20,2018,Texas Christian,,,,
Jacoby Simpson, ILB, Houston, TX, 6'1'',225, 4, 78, TCU,22,,,2018,Texas Christian,,,,
Chase Van Wagoner, WR, Allen, TX, 6'1'',176, 4, 77, TCU,159,158,124,2018,Texas Christian,,,,
Ian Burnette, OG, Wimberley, TX, 6'4'',310, 4, 77, TCU,50,,,2018,Texas Christian,,,,
Ben Wilson, ILB, Sumner, WA, 6'2'',210, 4, 77, TCU,23,130,9,2018,Texas Christian,,,,
Trevon Moehrig-Woodard, CB, Smithson Valley, TX, 6'2'',190, 4, 77, TCU,68,,,2018,Texas Christian,,,,
Kris Dike, OT, Van, TX, 6'5'',283, 4, 76, TCU,88,,,2018,Texas Christian,,,,
Taye Barber, ATH, Cypress, TX, 5'10'',183, 4, 76, TCU,77,,,2018,Texas Christian,,,,
Derius Davis, CB, Saint Francisville, LA, 5'9'',145, 3, 75, TCU,94,499,45,2018,Texas Christian,,,,
Izaih Filikitonga, DE, Euless, TX, 6'2'',237, 3, 75, TCU,113,218,175,2018,Texas Christian,,,,
Hidari Ceasar, ATH, Richwood, LA, 5'11'',175, 3, 73, TCU,113,662,58,2018,Texas Christian,,,,
Emari Demercado, RB, Carson, CA, 5'9'',200, NR, TCU,,,,,2018,Texas Christian,,,,
Max Duggan,QB-DT,Council Bluffs,IA,6'2'',189,80,,,,,,2019,Texas Christian,,31,3,
Dylan Jordan,ATH,Pittsburg,KS,6'3'',205,80,,,38,,,2019,Texas Christian,,,,
Daimarqua Foster,RB,Witchita Falls,TX,5'10'',190,80,,,29,,,2019,Texas Christian,,,,
Karter Johnson,DT,Pickerington,OH,6'2'',300,80,,,28,,,2019,Texas Christian,,37,11,
Colt Ellison,DE,Aledo,TX,6'3'',235,80,,,53,,,2019,Texas Christian,,,,
Keeyon Stewart,CB,Houston,TX,5'11'',160,79,,,40,,,2019,Texas Christian,,74,53,
Andrew Coker,OT,Taylor,TX,6'7'',307,79,,,,,,2019,Texas Christian,,,,
Donavann Collins,CB,Cedar Hill,TX,5'11'',174,79,,,43,,,2019,Texas Christian,,,,
