Name,Pos,City,State,Height,Weight,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team, Pos, City, State, Height, Weight, Stars, Grade, University,Stars,University  ,University,Location,School, Reg_rank, State_rank
Zane Durant,DT,Orlando,FL,6'1'',255,Penn State,,21,,,2022,Penn State,,,,,,,,,81,,,,,113,34
Ken Talley,DE,Philadelphia,PA,6'2'',220,Penn State,,27,,,2022,Penn State,,,,,,,,,80,,,,,31,9
Beau Pribula,QB,York,PA,6'1'',195,Penn State,,8,,,2022,Penn State,,,,,,,,,80,,,,,32,10
Tyler Johnson,WR,Martinsville,VA,6'0'',165,Penn State,,50,,,2022,Penn State,,,,,,,,,80,,,,,38,12
J.B. Nelson,OT,Pittsburgh,PA,6'5'',310,Penn State,,1.0,,,2022,Penn State,,,,,,,,,80,,,,, None, None
Cam Miller,CB,Jacksonville,FL,6'0'',190,Penn State,,38,,,2022,Penn State,,,,,,,,,80,,,,,,
Tyrece Mills,S,Philadelphia,PA,6'0'',205,Penn State,,1,,,2022,Penn State,,,,,,,,,80,,,,,,
Abdul Carter,OLB,Wyndmoor,PA,6'3'',220,Penn State,,36,,,2022,Penn State,,,,,,,,,80,,,,,,
Omari Evans,ATH,Killeen,TX,6'0'',170,Penn State,,37,,,2022,Penn State,,,,,,,,,80,,,,,,
Kevin Winston,S,Hyattsville,MD,5'11'',175,Penn State,,34,,,2022,Penn State,,,,,,,,,79,,,,,51,15
Vega Ioane,OG,Graham,WA,6'4'',280,Penn State,,19,,,2022,Penn State,,,,,,,,,79,,,,,81,9
Kaleb Artis,DT,New York,NY,6'4'',290,Penn State,,61,,,2022,Penn State,,,,,,,,,78,,,,,,
Keon Wylie,DE,Philadelphia,PA,6'3'',220,Penn State,,64,,,2022,Penn State,,,,,,,,,78,,,,,,
Maleek McNeil,OT,Easthampton,MA,6'7'',335,Penn State,,97,,,2022,Penn State,,,,,,,,,76,,,,,126,10
Alex Bacchetta,K,Atlanta,GA,6'3'',200,Penn State,,4,,,2022,Penn State,,,,,,,,,75,,,,,536,127
Mitchell Tinsley,WR,Lee's Summit,MO,6'0'',185,Penn State,,,,,2022,Penn State,,,,,,,,,TR,,,,,,
Elliot Washington,S,Venice,FL,6'0'',190,86,,4,27,13,2023,Penn State,,,,,,,,,4.0,,Penn State,,,,
J'ven Williams,OG,Wyomissing,PA,6'4'',285,86,,4,,,2023,Penn State,,,,,,,,,3.0,,Penn State,,,,
Alex Birchmeier,OG,Ashburn,VA,6'5'',280,85,,8,,,2023,Penn State,,,,,,,,,4.0,,Penn State,,,,
King Mack,S,Fort Lauderdale,FL,5'11'',180,84,,13,,,2023,Penn State,,,,,,,,,8.0,,Penn State,,,,
Tony Rojas,OLB,Fairfax,VA,6'2'',205,84,,,,,2023,Penn State,,,,,,,,,13.0,,Penn State,,,,
Andrew Rappleyea,TE,Milton,MA,6'4'',215,82,,13,,,2023,Penn State,,,,,,,,,7.0,,Penn State,,,,
