Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,School, Reg_rank, State_rank, Pos, City, State, Height, Weight, Stars, Grade, University
Vic Wharton III,ATH,Nashville,TN,6'0'',170,,81,Tennessee,33,,,2014,Tennessee,,,,,,,,,,,
Treyvon Paulk,RB,Alpharetta,GA,5'8'',195,,81,Tennessee,8,,,2014,Tennessee,,,,,,,,,,,
Daniel Helm,TE,Chatham,IL,6'5'',221,,81,Tennessee,6,,,2014,Tennessee,, None,26,,,,,,,,
Dontavius Blair,OT,Anniston,AL,6'7'',307,,80,Tennessee,,,,2014,Tennessee,,,,,,,,,,,
Chris Weatherd,OLB,Carrollton,TX,6'4'',225,,80,Tennessee,,,,2014,Tennessee,,,,,,,,,,,
Charles Mosley,DT,Brighton,TN,6'5'',353,,79,Tennessee,,,,2014,Tennessee,, None, None,,,,,,,,
Jashon Robertson,DT,Nashville,TN,6'3'',280,,79,Tennessee,46,,,2014,Tennessee,,,,,,,,,,,
Joe Henderson,DE,Shaker Heights,OH,6'3'',228,,78,Tennessee,41,,,2014,Tennessee,,,,,,,,,,,
Owen Williams,DT,Macon,GA,6'2'',285,,78,Tennessee,15,,,2014,Tennessee,,,,,,,,,,,
Ethan Wolf,TE,Minster,OH,6'6'',232,,78,Tennessee,1,,,2014,Tennessee,,,,,,,,,,,
Aaron Medley,K,Lewisburg,TN,6'2'',165,,78,Tennessee,,,,2014,Tennessee,, None, None,,,,,,,,
Rashaan Gaulden,S,Nashville,TN,6'1'',173,,77,Tennessee,35,,,2014,Tennessee,,355,31,,,,,,,,
Emmanuel Moseley,CB,Greensboro,NC,5'11'',170,,77,Tennessee,129,,,2014,Tennessee,,,,,,,,,,,
Neiko Creamer,WR,Elkton,MD,6'3'',205,,76,Tennessee,11,,,2014,Tennessee,,125,31,,,,,,,,
Coleman Thomas,OC,Max Meadows,VA,6'5'',295,,76,Tennessee,,,,2014,Tennessee,, None, None,,,,,,,,
Dimarya Mixon,DE,Mesquite,TX,6'4'',263,,75,Tennessee,117,,,2014,Tennessee,,,,,,,,,,,
Elliot Berry,OLB,Fairburn,GA,6'0'',193,,74,Tennessee,124,,,2014,Tennessee,,174,29,,,,,,,,
Jerome Dews,OLB,Oxon Hill,MD,6'3'',197,,74,Tennessee,,,,2014,Tennessee,,,,,,,,,,,
Ray Raulerson,OT,Tampa,FL,6'5'',271,,74,Tennessee,50,,,2014,Tennessee,,624,221,,,,,,,,
Jakob Johnson,ILB,Jacksonville,FL,6'4'',240,,73,Tennessee,,,,2014,Tennessee,,,,,,,,,,,
Bryson Durden,CB,McDonough,GA,5'11'',175,,NR,Tennessee,,,,2014,Tennessee,,,,,,,,,,,
Colton Jumper,ILB,Chattanooga,TN,6'2'',220,,NR,Tennessee,,,,2014,Tennessee,,,,,,,,,,,
Chris Beck,RB,Austell,GA,6'0'',200,,NR,Tennessee,,,,2014,Tennessee,,,,,,,,,,,
Kahlil McKenzie,DT,Concord,CA,6'4'',341,5,88,Tennessee,5,5,4,2015,Tennessee,,,,,,,,,,,
Preston Williams,WR,Lovejoy,GA,6'4'',192,5,87,Tennessee,5,,,2015,Tennessee,,,,,,,,,,,
Shy Tuttle,DT,Lexington,NC,6'3'',310,7,87,Tennessee,39,19,1,2015,Tennessee,,,,,,,,,,,
Drew Richmond,OT,Memphis,TN,6'5'',323,5,85,Tennessee,5,31,1,2015,Tennessee,,,,,,,,,,,
Kyle Phillips,DE,Nashville,TN,6'3'',260,9,84,Tennessee,9,,,2015,Tennessee,,,,,,,,,,,
Micah Abernathy,CB,Norcross,GA,6'1'',181,7,84,Tennessee,7,42,12,2015,Tennessee,,,,,,,,,,,
Jack Jones,OT,Murfreesboro,TN,6'4'',271,10,83,Tennessee,10,55,3,2015,Tennessee,,,,,,,,,,,
Andrew Butcher,DE,Alpharetta,GA,6'3'',249,10,83,Tennessee,113,,,2015,Tennessee,,,,,,,,,,,
Alvin Kamara,RB,Norcross,GA,5'10'',200,2,83,Tennessee,2,,,2015,Tennessee,,,,,,,,,,,
Jauan Jennings,ATH,Murfreesboro,TN,6'3'',186,18,82,Tennessee,18,,,2015,Tennessee,,,,,,,,,,,
Quart'e Sapp,OLB,Milton,GA,6'2'',203,11,81,Tennessee,6,,,2015,Tennessee,,,,,,,,,,,
Sheriron Jones,QB-DT,Moreno Valley,CA,6'3'',188,6,81,Tennessee,7,14,1,2015,Tennessee,,,,,,,,,,,
Darrin Kirkland Jr.,ILB,Indianapolis,IN,6'2'',228,7,81,Tennessee,29,140,,2015,Tennessee,,,,,,,,,,,
Venzell Boulware,OT,Fairburn,GA,6'4'',293,29,81,Tennessee,4,,27,2015,Tennessee,,,,,,,,,,,
Justin Martin,CB,JC,6'2'',195,4,80,Tennessee,,14,,,2015,Tennessee,,,,,,,,,,,
Quinten Dormady,QB-PP,Boerne,TX,6'4'',210,14,80,Tennessee,35,36,11,2015,Tennessee,,,,,,,,,,,
Darrell Taylor,ATH,Hopewell,VA,6'4'',220,35,80,Tennessee,43,41,15,2015,Tennessee,,,,,,,,,,,
Chance Hall,OT,Roanoke,VA,6'4'',292,43,80,Tennessee,36,,,2015,Tennessee,,,,,,,,,,,
