Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University  , Pos, City, State, Height, Weight, Grade, University,Grade 
Matt Morin,,,,,,,,,1.0, None, None,2015,Arizona,,,, TE, Temecula, CA, 6'2'',245.0,74.0, Arizona,
Shun Brown,,,,,,,,,, None, None,2015,Arizona,,,, CB, Shreveport, LA, 5'9'',165.0,73.0, Arizona,
Darrell Clark,,,,,,,,,177,634,66,2015,Arizona,,,, WR, New Orleans, LA, 5'11'',165.0,73.0, Arizona,
Demetrius Flannigan-Fowles,,,,,,,,,115,,,2015,Arizona,,,, S, Tucson, AZ, 6'3'',179.0,73.0, Arizona,
Sharif Williams,,,,,,,,,, None, None,2015,Arizona,,,, DT, Fresno, CA, 6'2'',298.0,72.0, Arizona,
Nathan Eldrige,,,,,,,,,141,,,2015,Arizona,,,, OG, Anthem, AZ, 6'4'',265.0,72.0, Arizona,
Keenan Walker,OT,Scottsdale,AZ,6'6'',290,83.0,,Arizona,,,,2016,Arizona,,,,,,,,,,,
Michael Eletise,OG,Honolulu,HI,6'3'',313,82.0,,Arizona,9,,,2016,Arizona,,,,,,,,,,,
Khalil Tate,QB-DT,Gardena,CA,6'0'',209,80.0,,Arizona,10,,,2016,Arizona,45,37,,,,,,,,,
Kahi Neves,ILB,South Jordan,UT,6'4'',233,80.0,,Arizona,14,,,2016,Arizona,,,,,,,,,,,
Russell Halimon,RB,Acworth,GA,5'10'',184,80.0,,Arizona,32,,,2016,Arizona,207,41,,,,,,,,,
Josh Allen,DE,Hawthorne,CA,6'4'',255,79.0,,Arizona,6,,,2016,Arizona,,,,,,,,,,,
Chacho Ulloa,S,Corona,CA,5'11'',186,78.0,,Arizona,47,,,2016,Arizona,90,66,,,,,,,,,
Antonio Parks,ATH,Reserve,LA,5'8'',175,77.0,,Arizona,,,,2016,Arizona,,,,,,,,,,,
Gavin Robertson,S,Auburn,WA,6'1'',195,77.0,,Arizona,52,,,2016,Arizona,101,7,,,,,,,,,
