Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank,School,State_rank  
Payton Carter,WR,New Brockton,AL,6'3'',185.0,1.0,NR,,,,,2015,Troy,Troy,,,,
Justin Lucas,ILB,Aberdeen,MS,6'0'',230.0,1.0,NR,,,,,2015,Troy,Troy,,,,
Jalen Rountree,CB,Coffeyville,KS,5'11'',180.0,1.0,NR,,NR,,,2015,Troy,Troy,,,,
William Lloyd,OLB,Rosedale,MS,6'1'',220.0,1.0,NR,,,,,2015,Troy,Troy, None, None,,
LaMarcus Farmer,CB,Pensacola,FL,6'0'',185.0,1.0,TR,,,,,2015,Troy,Troy, None, None,,
Khalil McClain,WR,Valdosta,GA,6'3'',210,,78.0,,6,,,2019,Troy,Troy,,,,
Jaden Kent,ATH,Oneonta,AL,6'3'',198,,78.0,,78.0,,,2019,Troy,Troy,,,,
Reddy Steward,CB,Decatur,AL,5'10'',165,,77.0,,84,,,2019,Troy,Troy,,,,
Javon Solomon,DE,Tallahassee,FL,6'2'',220,,76.0,,133,,,2019,Troy,Troy,,,,
Ahdarrious Gee,ILB,Cordele,GA,6'0'',195,,76.0,,27,,,2019,Troy,Troy,,,,
Christian Murphy,ATH,Pensacola,FL,5'10'',180,,75.0,,128,,,2019,Troy,Troy,,,,
Jamontez Woods,RB,Gadsden,AL,5'11'',205,,74.0,,94,590,49,2019,Troy,Troy,,,,
Dell Pettus,CB,Harvest,AL,5'10'',174,,73.0,,134,,,2019,Troy,Troy,,,,
Devon Reaves,DE,Conyers,GA,6'3'',249,,73.0,,189,683,146,2019,Troy,Troy,,,,
Desmond Barkley,DT,Stockbridge,GA,6'1'',353,,73.0,,105,,,2019,Troy,Troy,,,,
Jaylen Childs,OG,Anniston,AL,6'4'',275,,73.0,,93,,,2019,Troy,Troy,,,,
Jack Martin,K,Dothan,AL,5'11'',180,,72.0,,50,,,2019,Troy,Troy,,,,
Reggie Todd,WR,Eight Mile,AL,6'5'',200,,72.0,,188,731,62,2019,Troy,Troy,,,,
Ricky Samuel,DT,Brewton,AL,6'2'',280,,72.0,,112,754,65,2019,Troy,Troy,,,,
Tre Ross,WR,Tuscaloosa,AL,6'1'',210,,72.0,,192,,,2019,Troy,Troy,,,,
Gavin Screws,QB-PP,Baldwin,FL,6'0'',190,,70.0,,,,,2019,Troy,Troy,,,,
Jacob Free,QB-PP,Brantley,AL,6'5'',220,,70.0,,7,NR,NR,2019,Troy,Troy,,,,
Kannon Biggs,OG,Athens,AL,6'4'',259,,70.0,,115,,,2019,Troy,Troy,,,,
Tyler Burnsed,OG,Glen Saint Mary,FL,6'2'',298,,69.0,,117,,,2019,Troy,Troy,,,,
Donovan Curry,WR,Mount Airy,GA,5'11'',165,,69.0,,206,816,172,2019,Troy,Troy,,,,
Terry Byers,OLB,Panama City Beach,FL,6'1'',205,,,,NR,NR,NR,2019,Troy,Troy,,,,
Kaylon Geiger,WR,Fort Worth,TX,5'10'',170,,,,NR,,,2019,Troy,Troy,,,,
Kobe Perry,S,Dodge City,KS,6'0'',180,,,,,,,2019,Troy,Troy,,,,
Kimani Vidal,RB,Marietta,GA,5'10'',200,,79,,38,,,2020,Troy,,232,52,Troy,
Kyle Toole,QB-PP,Leesburg,GA,6'2'',200,,76,,36,,,2020,Troy,,,,Troy,
Keyonteze Johnson,WR,Pinson,AL,5'10'',145,,76,,153,,,2020,Troy,,,,Troy,
Darrell Starling,ATH,Pelham,GA,6'2'',190,,75,,88,,,2020,Troy,,509,115,Troy,
Josh Brown,CB,Valdosta,GA,5'11'',165,,74,,111,,,2020,Troy,,627,137,Troy,
Cam Williams,DE,Loganville,GA,6'6'',230,,74,,163,,,2020,Troy,,676,151,Troy,
Gage Saint,OG,Town Creek,AL,6'4'',290,,73,,123,,,2020,Troy,,749,61,Troy,
Deyunkrea Lewis,WR,Montgomery,AL,6'3'',205,,73,,270,,,2020,Troy,,795,64,Troy,
Luis Medina,DT,Summerville,GA,6'1'',297,,73,,108,,,2020,Troy,,796,173,Troy,
Logan Self,OC,Trussville,AL,6'2'',265,,72,,20,,,2020,Troy,,,,Troy,
Chase Little,OT,Montgomery,AL,6'6'',310,,72,,177,,,2020,Troy,,907,74,Troy,
Quincey Miller,DE,Mableton,GA,6'4'',220,,71,,226,,,2020,Troy,,974,211,Troy,
Theodore Jackson,DT,Millbrook,AL,6'2'',295,,70,,147,,,2020,Troy,,1006,85,Troy,
Derrick Graham,OG,Minneola,FL,6'3'',270,,70,,190,,,2020,Troy,,,,Troy,
Jabre Barber,WR,Dothan,AL,5'10'',175,,69,,347,,,2020,Troy,,1075,90,Troy,
Keyshawn Swanson,CB,TR,Akron,OH,5'11'',,180,,,,,2020,Troy,,,,Troy,
Jayden McDonald,OLB,TR,Suwanee,GA,6'1'',,215,,,,,2020,Troy,, None, None,Troy,
