Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University  ,School
Micah Bowens,QB,Las Vegas,NV,6'0'',195,,,Oklahoma,,,,2021,Oklahoma, None, None,,
Wanya Morris,OT,Loganville,GA,6'6'',315,,,Oklahoma,,,,2021,Oklahoma, None, None,,
Robert Congel,OG,Englewood,CO,6'3'',310,,,Oklahoma,,,,2021,Oklahoma,,,,
Jackson Arnold,QB-DT,Denton,TX,6'1'',195,3,93,Oklahoma,1,,,2023,Oklahoma,1,1,,
Peyton Bowen,S,Denton,TX,6'0'',195,3,90,Oklahoma,2,,,2023,Oklahoma,4,4,,
Adepoju Adebawore,D,North Kansas City,MO,6'5'',230,3,90,Oklahoma,2,,,2023,Oklahoma,5,1,,
Jaquaize Pettaway,WR,Houston,TX,5'11'',180,3,86,Oklahoma,7,,,2023,Oklahoma,,,,
Jacobe Johnson,ATH,Mustang,OK,6'3'',185,3,86,Oklahoma,2,,,2023,Oklahoma,11,1,,
Cayden Green,OG,Lee's Summit,MO,6'5'',310,3,86,Oklahoma,2,,,2023,Oklahoma,14,2,,
Makari Vickers,CB,Quincy,FL,6'1'',190,3,85,Oklahoma,9,,,2023,Oklahoma,40,18,,
Samuel Omosigho,OLB,Crandall,TX,6'1'',210,3,84,Oklahoma,,,,2023,Oklahoma, None, None,,
Lewis Carter,OLB,Tampa,FL,6'0'',200,3,84,Oklahoma,11,,,2023,Oklahoma,61,29,,
Derrick LeBlanc,DT,Seminole,FL,6'5'',270,3,84,Oklahoma,10,,,2023,Oklahoma,62,30,,
Daylan Smothers,RB,Charlotte,NC,6'0'',185,3,82,Oklahoma,12,,,2023,Oklahoma,119,9,,
Keyon Brown,WR,Tallahassee,FL,6'3'',190,3,82,Oklahoma,26,,,2023,Oklahoma,,,,
Jasiah Wagoner,CB,Spanaway,WA,5'11'',170,3,81,Oklahoma,32,,,2023,Oklahoma,29,2,,
Daeh McCullough,S,South Bend,IN,6'2'',200,3,80,Oklahoma,,,,2023,Oklahoma,22,3,,
Ashton Sanders,DT,Los Angeles,CA,6'2'',315,3,79,Oklahoma,27,,,2023,Oklahoma,68,38,,
Phil Picciotti,ILB,Bradenton,FL,6'3'',225,3,79,Oklahoma,19,,,2023,Oklahoma,,,,
Kade McIntyre,ATH,Fremont,NE,6'3'',205,3,79,Oklahoma,45,,,2023,Oklahoma,109,3,,
Joshua Bates,OC,Durango,CO,6'3'',280,3,79,Oklahoma,4,,,2023,Oklahoma,110,3,,
Heath Ozaeta,OT,Snoqualmie,WA,6'6'',295,3,79,Oklahoma,53,,,2023,Oklahoma,,,,
Erik McCarty,ATH,McAlester,OK,6'2'',185,3,78,Oklahoma,47,,,2023,Oklahoma,116,8,,
Kalib Hicks,RB,Denton,TX,6'0'',200,3,78,Oklahoma,44,,,2023,Oklahoma,121,88,,
Logan Howland,OT,Princeton,NJ,6'7'',275,3,78,Oklahoma,60,,,2023,Oklahoma,,,,
