Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Kenny Logan,WR,Saint Augustine,FL,6'0'',180,80.0,Kansas,,50,171,54,2019,Kansas,,,
Steven Parker,DE,Dallas,TX,6'3'',215,79.0,Kansas,,64,83,61,2019,Kansas,,,
Torry Locklin,QB-DT,Rockdale,TX,6'2'',195,79.0,Kansas,,,,,2019,Kansas,,,
Gavin Potter,OLB,Broken Arrow,OK,6'1'',205,79.0,Kansas,,38,90,7,2019,Kansas,,,
Malcolm Lee,DE,Bellevue,NE,6'4'',260,78.0,Kansas,,46th, NR, NR,2019,Kansas,,,
Amauri Pesek-Hickson,ATH,Overland Park,KS,6'3'',205,78.0,Kansas,,6,124,6,2019,Kansas,,,
Caleb Sampson,DT,Covington,LA,6'3'',270,77.0,Kansas,,6, None, None,2019,Kansas,,,
Andrew Parchment,WR,Iowa City,IA,6'3'',180,77.0,Kansas,,10,,,2019,Kansas,,,
Thomas MacVittie,QB-PP,Cincinnati,OH,6'4'',225,77.0,Kansas,,2, NR, NR,2019,Kansas,,,
Velton Gardner,ATH,Dallas,TX,5'9'',175,76.0,Kansas,,108,219,160,2019,Kansas,,,
Valerian Agbaw,WR,Powder Springs,GA,5'10'',185,75.0,Kansas,,137,530,115,2019,Kansas,,,
Jayden Russell,S,Overland Park,KS,6'1'',178,75.0,Kansas,,84,246,11,2019,Kansas,,,
Justin Ford,S,Concord,NC,6'1'',180,73.0,Kansas,,,,,2019,Kansas,,,
Dajon Terry,DT,Meridian,MS,6'3'',320,72.0,Kansas,,113,,,2019,Kansas,,,
Mason Fairchild,TE-Y,Andale,KS,6'4'',250,71.0,Kansas,,39,,,2019,Kansas,,,
Ezra Naylor,WR,Atlanta,GA,6'4'',205,70.0,Kansas,,NR, NR, NR,2019,Kansas,,,
Jereme Robinson,DE,Birmingham,AL,6'3'',215,,Kansas,,, None, None,2019,Kansas,,,
Marcus Harris,DE,Montgomery,AL,6'2'',245,,Kansas,,, NR, NR,2019,Kansas,,,
Jordan Medley,ATH,Kannapolis,NC,6'3'',195,,Kansas,,,,,2019,Kansas,,,
JaCobee Bryant,CB,Evergreen,AL,6'1'',170,,78,Kansas,44,256,27,2020,Kansas,,,
Kenean Caldwell,DT,Oak Grove,LA,6'2'',297,,77,Kansas,51,,,2020,Kansas,,,
