Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,University 
Lucas Heyer,OT,Maplewood,MN,6'5'',310.0,,Stanford,44,,,2022,Stanford,79,,,
Elic Ayomanor,WR,Deerfield,MA,6'2'',210.0,,Stanford,110,,,2022,Stanford,78,,,
Ashton Daniels,QB-PP,Buford,GA,6'3'',205.0,,Stanford,33,340,84,2022,Stanford,78,,,
Mudia Reuben,WR,Kansas City,MO,6'3'',190.0,,Stanford,113,,,2022,Stanford,78,,,
Kenji Swanson,OT,Chatsworth,CA,6'5'',310.0,,Stanford,67,116,57,2022,Stanford,77,,,
Zach Rowell,DE,Del Mar,CA,6'5'',260.0,,Stanford,77,118,59,2022,Stanford,77,,,
Matt Rose,ILB,Broadview Heights,OH,6'2'',205.0,,Stanford,27,87,26,2022,Stanford,77,,,
Jason Thompson,WR,North Hollywood,CA,6'0'',175.0,,Stanford,148,147,79,2022,Stanford,76,,,
Pat Caughey,DE,Morristown,NJ,6'5'',235.0,,Stanford,132,156,27,2022,Stanford,74,,,
Benjamin Hudson,OLB,Las Vegas,NV,6'2'',215.0,,Stanford,141,277,18,2022,Stanford,72,,,
Patrick Field,S,Tulsa,OK,6'0'',200.0,,Stanford,,,,2022,Stanford,TR,,,
Simione Pale,OG,Elk Grove,CA,6'3'',310.0,Stanford,,12,32,18,2023,Stanford,81.0,,,
Ahmari Borden,WR,Quincy,FL,,,Stanford,,36,150,63,2023,Stanford,80.0,,,
Jshawn Frausto-Ramos,CB,Bellflower,CA,6'0'',170.0,Stanford,,39,,,2023,Stanford,80.0,,,
Sedrick Irvin Jr.,RB,Miami,FL,5'10'',180.0,Stanford,,29,,,2023,Stanford,80.0,,,
Jackson Harris,ATH,Berkeley,CA,6'3'',195.0,Stanford,,29,55,34,2023,Stanford,80.0,,,
Luke Baklenko,OT,Westlake Village,CA,6'5'',300.0,Stanford,,37,70,39,2023,Stanford,79.0,,,
Zak Yamauchi,OG,Las Vegas,NV,6'4'',280.0,Stanford,,31,93,8,2023,Stanford,78.0,,,
Myles Jackson,QB,Long Beach,CA,6'2'',205.0,Stanford,,24,,,2023,Stanford,78.0,,,
Tiger Bachmeier,WR,Murrieta,CA,6'1'',185.0,Stanford,,98,,,2023,Stanford,77.0,,,
Charlie Symonds,OT,Watertown,CT,6'7'',280.0,Stanford,,108, None,4,2023,Stanford,77.0,,,
Omar Staples,DE,Oakland,CA,6'3'',220.0,Stanford,,124,152,94,2023,Stanford,76.0,,,
Tre Williams,OLB,Dallas,TX,6'1'',215.0,Stanford,,74,,,2023,Stanford,76.0,,,
Aaron Morris,CB,Lowell,MA,6'0'',185.0,Stanford,,, None, None,2023,Stanford,76.0,,,
Ismael Cisse,WR,Englewood,CO,6'1'',185.0,Stanford,,173,280,11,2023,Stanford,75.0,,,
Che Ojarikre,S,Alpharetta,GA,6'1'',180.0,Stanford,,108,533,128,2023,Stanford,75.0,,,
Aidan Flintoft,K,Westlake Village,CA,6'1'',185.0,Stanford,,5,219,129,2023,Stanford,75.0,,,
Gavin Geweniger,DE,Scottsdale,AZ,6'4'',235.0,Stanford,,159,,,2023,Stanford,74.0,,,
Braden Marceau-Olayinka,DT,Melrose,MA,6'3'',260.0,Stanford,,116,194,15,2023,Stanford,73.0,,,
Gaethan Bernadel,OLB,Hallandale Beach,FL,6'1'',210.0,Stanford,,,,,2023,Stanford,,,,
