Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,University  , State_rank 
Joe Otting,OG,Topeka,KS,6'3'',265,78.0,,,34,,,2023,Notre Dame,,,,,
Armel Mukam,DE,Woodberry Forest,VA,6'3'',250,78.0,,,80,,,2023,Notre Dame,,,,,
Kaleb Smith,WR,Frisco,TX,6'0'',180,78.0,,,,,,2023,Notre Dame,,,,,
Chris Terek,OG,Glen Ellyn,IL,6'5'',290,77.0,,,56,,,2023,Notre Dame,,,,,
Kaleb Smith,WR,Roanoke,VA,6'2'',222,,78.0,,,,,2023,Notre Dame,,,,,
Sam Hartman,QB-PP,Charlotte,NC,6'1'',201,,,,,,,2023,Notre Dame,,,,,
Thomas Harper,S,Knoxville,TN,5'11'',180,,,,,,,2023,Notre Dame,,,,,
Javontae Jean-Baptiste,DE,Spring Valley,NY,6'5'',249,,,,,,,2023,Notre Dame,,,,,
Antonio Carter,CB,Orlando,FL,6'1'',195,,,,,,,2023,Notre Dame,,,,,
C.J. Carr,QB-PP,Saline,MI,6'3'',200,86.0,,Notre Dame,36th,4,1,2024,Notre Dame,,,,,
Cam Williams,WR,Glen Ellyn,IL,6'2'',185,86.0,,Notre Dame,47th,,,2024,Notre Dame,,,,,
Kyngstonn Viliamu-Asa,OLB,Bellflower,CA,6'2'',225,84.0,,Notre Dame,5,,,2024,Notre Dame,,,,,
