Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University 
Marquis Black,DT,McDonough,GA,6'4'',280,3,77,Nebraska,52,,,2020,Nebraska,306,74,
Jimari Butler,DE,Mobile,AL,6'5'',220,3,77,Nebraska,68,,,2020,Nebraska,314,32,
Alex Conn,OT,Derby,KS,6'6'',280,3,77,Nebraska,,,,2020,Nebraska,,,
William Nixon,WR,Waco,TX,5'10'',180,3,77,Nebraska,115,,,2020,Nebraska,134,101,
Blaise Gunnerson,DT,Carroll,IA,6'4'',245,3,76,Nebraska,59,,,2020,Nebraska,,,
Niko Cooper,DE,Memphis,TN,6'5'',220,3,76,Nebraska,6,,,2020,Nebraska, None, None,
Eteva Mauga-Clements,OLB,American Samoa,AS,6'2'',220,3,75,Nebraska,10,,,2020,Nebraska,,,
Ronald Delancy III,CB,Miami,FL,6'0'',165,3,74,Nebraska,95,,,2020,Nebraska,546,181,
Jordon Riley,DT,Durham,NC,6'5'',330,3,73,Nebraska,19,,,2020,Nebraska, NR, NR,
Tamon Lynum,CB,Orlando,FL,6'2'',175,3,72,Nebraska,152,,,2020,Nebraska,818,277,
Isaac Gifford,S,Lincoln,NE,6'0'',175,3,70,Nebraska,171,,,2020,Nebraska,436,6,
Zach Schlager,ILB,McCook,NE,6'0'',210,TR,Nebraska,,,,,2020,Nebraska, None, None,
Wynden Ho'ohuli,ILB,Mililani,HI,6'3'',220,83.0,Nebraska,,17,,,2021,Nebraska,33,1,
Randolph Kpai,OLB,Sioux Falls,SD,6'3'',190,83.0,Nebraska,,5,,,2021,Nebraska,27,3,
Thomas Fidone Jr.,TE-H,Council Bluffs,IA,6'5'',210,81.0,Nebraska,,55,,,2021,Nebraska,131,49,
Kamonte Grimes,WR,Naples,FL,6'2'',190,80.0,Nebraska,,32,,,2021,Nebraska,,,
Teddy Prochazka,OT,Elkhorn,NE,6'8'',275,79.0,Nebraska,,28,,,2021,Nebraska,,,
Gabe Ervin,RB,Buford,GA,5'11'',180,79.0,Nebraska,,,,,2021,Nebraska, None, None,
Shawn Hardy,WR,Kingsland,GA,6'3'',190,79.0,Nebraska,,31,,,2021,Nebraska,58,5,
Henry Lutovsky,OG,Mount Pleasant,IA,6'6'',320,78.0,Nebraska,,13,,,2021,Nebraska,,,
Ru'Quan Buckley,OT,Wyoming,MI,6'5'',260,78.0,Nebraska,,94,,,2021,Nebraska,,,
Heinrich Haarberg,QB-DT,Kearney,NE,6'5'',185,78.0,Nebraska,,,,,2021,Nebraska,,,
Latrell Neville,WR,Missouri City,TX,6'3'',195,78.0,Nebraska,,17,,,2021,Nebraska,198,5,
Branson Yager,OT,Grantsville,UT,6'7'',330,76.0,Nebraska,,,,,2021,Nebraska, None, None,
James Carnie,TE-H,Firth,NE,6'5'',210,76.0,Nebraska,,30,,,2021,Nebraska,209,6,
Marques Buford,ATH,Cedar Hill,TX,6'0'',190,76.0,Nebraska,,91,,,2021,Nebraska,124,18,
A.J. Rollins,TE-Y,Omaha,NE,6'6'',220,76.0,Nebraska,,160,,,2021,Nebraska,,,
Mikai Gbayor,OLB,Irvington,NJ,6'2'',210,76.0,Nebraska,,136,,,2021,Nebraska,,,
Jailen Weaver,DE,Antioch,CA,6'7'',220,74.0,Nebraska,,124,,,2021,Nebraska,343,7,
Malik Williams,CB,Buford,GA,6'0'',185,73.0,Nebraska,,157,,,2021,Nebraska,216,20,
Koby Bretz,S,Omaha,NE,6'2'',185,73.0,Nebraska,,,,,2021,Nebraska, None, None,
Seth Malcom,OLB,Tabor,IA,6'2'',195,73.0,Nebraska,,,,,2021,Nebraska, None, None,
Chris Kolarevic,ILB,Traverse City,MI,6'1'',225,,Nebraska,,,,,2021,Nebraska, None, None,
