Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank, Pos, City, State, Height, Weight, Stars, Grade, University
Ethan O'Connor,ATH,Los Alamitos,CA,Los Alamitos High School,170,77,UCLA,,,,,2023,UCLA,,,,,,,,,,
Luke Duncan,QB-PP,Orinda,CA,6'6'',190,76,UCLA,,82,,,2023,UCLA,199,12,,,,,,,,
A.J. Fuimaono,DT,Henderson,NV,Liberty High School,280,75,UCLA,,13,,,2023,UCLA,,,,,,,,,,
Caleb Walker,OT,Visalia,CA,College of Sequoias,280,75,UCLA,,,,,2023,UCLA,,,,,,,,,,
Femi Oladejo,OLB,Elk Grove,CA,University of California, Berkeley,230,UCLA,,,,,2023,UCLA,,,,,,,,,,
Jake Heimlicher,DE,Aurora,CO,University of Pennsylvania,245,UCLA,,,,,,2023,UCLA,,,,,,,,,,
Collin Schlee,QB-DT,Ijamsville,MD,Kent State University,213,UCLA,,,,,,2023,UCLA,,,,,,,,,,
Spencer Holstege,OG,Grand Rapids,MI,Purdue University,310,UCLA,,,,,,2023,UCLA,,,,,,,,,,
Carson Steele,RB,Greenwood,IN,Ball State University,215,UCLA,,,,,,2023,UCLA,,,,,,,,,,
Anthony Adkins,RB,Hodgenville,KY,United States Military Academy,245,UCLA,,,,,,2023,UCLA,,,,,,,,,,
Moliki Matavao,TE-Y,Henderson,NV,University of Oregon,256,UCLA,,,,,,2023,UCLA,,,,,,,,,,
