Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,University , Pos, City, State, Height, Weight, Stars, Grade, University
Bershard Glaspie,OLB,Mesquite,TX,6'1'',205.0,,Tulsa,NR,,,2019,Tulsa,,,,,,,,,,,,,
Dorian Hopkins,ILB,Memphis,TN,5'11'',225.0,,Tulsa,NR, NR, NR,2019,Tulsa,,,,,,,,,,,,,
La'Darrion Florez,WR,Friendswood,TX,5'11'',170.0,,Tulsa,NR, NR, NR,2019,Tulsa,,,,,,,,,,,,,
Jeremy Jones,OT,Lewisville,TX,6'5'',301.0,,Tulsa,,,,2019,Tulsa,,,,,,,,,,,,,
Carson Collins,QB-PP,Allen,TX,6'1'',180.0,,Tulsa,NR,,,2019,Tulsa,,,,,,,,,,,,,
Ethan Hall,ATH,Bixby,OK,6'2'',215.0,,Tulsa,NR, NR, NR,2019,Tulsa,,,,,,,,,,,,,
Tyler Smith,OG,Fort Worth,TX,6'4'',315.0,,Tulsa,,,,2019,Tulsa,,,,,,,,,,,,,
Stanley Wynn,CB,Sanford,FL,6'0'',190.0,,Tulsa,NR, NR, NR,2019,Tulsa,,,,,,,,,,,,,
Mike Garrett Jr.,CB,Brenham,TX,6'0'',175.0,,Tulsa,, NR, NR,2019,Tulsa,,,,,,,,,,,,,
Denzel Carter,TE-Y,Perkinston,MS,6'4'',270.0,,Tulsa,, None, None,2019,Tulsa,,,,,,,,,,,,,
Lamar Mullins,S,Atlanta,GA,6'2'',190.0,,Tulsa,8,,,2019,Tulsa,,,,,,,,,,,,,
Ryan Nixon,S,Torrance,CA,6'2'',190.0,,Tulsa,,,,2019,Tulsa,,,,,,,,,,,,,
Tyquez Hampton,WR,El Paso,TX,6'2'',210,75.0,,15, None, None,2020,Tulsa,,,,Tulsa,,,,,,,,,
Jacob Kainer,TE-Y,Cypress,TX,6'4'',240,75.0,,4, None, None,2020,Tulsa,,,,Tulsa,,,,,,,,,
Tyler Tipton,K,Little Elm,TX,6'1'',175,74.0,,36,,,2020,Tulsa,,,,Tulsa,,,,,,,,,
Roman Fuller,QB-PP,Decatur,TX,6'3'',185,73.0,,54,296,218,2020,Tulsa,,,,Tulsa,,,,,,,,,
L.J. Wallace,S,Atwater,CA,6'3'',185,73.0,,11.0, None, None,2020,Tulsa,,,,Tulsa,,,,,,,,,
Jalen Paxton,WR,Manvel,TX,5'11'',170,73.0,,260,320,239,2020,Tulsa,,,,Tulsa,,,,,,,,,
Everitt Rogers,DT,Killeen,TX,6'2'',290,72.0,,115,344,260,2020,Tulsa,,,,Tulsa,,,,,,,,,
Bayne Tryon,TE-H,Cypress,TX,6'2'',205,72.0,,39,,,2020,Tulsa,,,,Tulsa,,,,,,,,,
Dillon Wade,OG,Houston,TX,6'4'',285,71.0,,165,378,283,2020,Tulsa,,,,Tulsa,,,,,,,,,
Malachi Jones,WR,Houston,TX,6'0'',170,71.0,,309,386,288,2020,Tulsa,,,,Tulsa,,,,,,,,,
James Middleton,OT,North Charleston,SC,6'5'',310,70.0,,31,,,2020,Tulsa,,,,Tulsa,,,,,,,,,
