Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,Grade  ,University  
Mister Jones,RB,Littleton,CO,6'2'',210,,,,, None, None,2012,Colorado State,,,,
Charles Ragland,OT,Denver,CO,6'7'',295,,,,,,,2012,Colorado State,,,,
RB,Houston,TX,5'10'',196,77.0,,Colorado State,,,,,2013,Colorado State,,,,
OLB,Beaverton,OR,6'3'',210,77.0,,Colorado State,,,,,2013,Colorado State,,,,
QB,Murrieta,CA,6'4'',184,76.0,,Colorado State,,,,,2013,Colorado State,,,,
OT,Castle Rock,CO,6'5'',285,76.0,,Colorado State,,,,,2013,Colorado State,,,,
TE,Carbondale,CO,6'4'',260,71.0,,Colorado State,,,,,2013,Colorado State,,,,
WR,Lakewood,WA,6'2'',190,70.0,,Colorado State,,,,,2013,Colorado State,,,,
DE,Grand Junction,CO,6'5'',223,70.0,,Colorado State,,,,,2013,Colorado State,,,,
CB,Las Vegas,NV,5'10'',174,69.0,,Colorado State,,,,,2013,Colorado State,,,,
TE,Kennedale,TX,6'5'',250,67.0,,Colorado State,,,,,2013,Colorado State,,,,
OG,Lakewood,CO,6'3'',265,,,Colorado State,,,,,2013,Colorado State,,,,
ILB,Louisville,KY,6'0'',214,,,Colorado State,,,,,2013,Colorado State,,,,
CB,Gardena,CA,5'10'',174,,,Colorado State,,,,,2013,Colorado State,,,,
OLB,San Marcos,CA,6'1'',191,,,Colorado State,,,,,2013,Colorado State,,,,
OT,Aurora,CO,6'5'',260,,,Colorado State,,,,,2013,Colorado State,,,,
WR,Peoria,AZ,6'3'',205,,,Colorado State,,,,,2013,Colorado State,,,,
WR,Mesquite,TX,6'2'',168,,,Colorado State,,,,,2013,Colorado State,,,,
DE,Clovis,CA,6'4'',250,,,Colorado State,,,,,2013,Colorado State,,,,
DE,Charlotte,NC,6'4'',235,,,Colorado State,,,,,2013,Colorado State,,,,
S,McCook,NE,6'0'',195,,,Colorado State,,,,,2013,Colorado State,,,,
TE,Houston,TX,6'5'',280,,,Colorado State,,,,,2013,Colorado State,,,,
WR,San Diego,CA,6'4'',205,,,Colorado State,,,,,2013,Colorado State,,,,
RB,Plainfield,IL,5'10'',200,,,Colorado State,,,,,2013,Colorado State,,,,
DT,Tulsa,OK,6'2'',260,,,Colorado State,,,,,2013,Colorado State,,,,
TE,Starkville,MS,6'5'',260,,,Colorado State,,,,,2013,Colorado State,,,,
DT,Vacaville,CA,6'2'',290,,,Colorado State,,,,,2013,Colorado State,,,,
ATH,Orlando,FL,5'8'',164.0,80.0,,Colorado State,,,,,2014,Colorado State,,,,
DE,Dallas,TX,6'3'',214.0,78.0,,Colorado State,,,,,2014,Colorado State,,,,
RB,Wichita,KS,5'9'',175.0,77.0,,Colorado State,,,,,2014,Colorado State,,,,
QB-PP,Broken Arrow,OK,6'4'',199.0,75.0,,Colorado State,,,,,2014,Colorado State,,,,
S,Dallas,TX,6'1'',180.0,74.0,,Colorado State,,,,,2014,Colorado State,,,,
ATH,Highlands Ranch,CO,6'0'',185.0,72.0,,Colorado State,,,,,2014,Colorado State,,,,
ATH,La Porte,TX,6'0'',179.0,,,Colorado State,,,,,2014,Colorado State,,,,
RB,Fresno,CA,5'11'',176.0,,,Colorado State,,,,,2014,Colorado State,,,,
RB,Castle Rock,CO,6'1'',170.0,,,Colorado State,,,,,2014,Colorado State,,,,
ILB,Blue Springs,MO,6'1'',233.0,,,Colorado State,,,,,2014,Colorado State,,,,
DT,Bakersfield,CA,6'3'',273.0,,,Colorado State,,,,,2014,Colorado State,,,,
CB,Woodland,CA,5'10'',148.0,,,Colorado State,,,,,2014,Colorado State,,,,
OLB,Aurora,CO,6'1'',191.0,,,Colorado State,,,,,2014,Colorado State,,,,
OT,Blue Springs,MO,6'4'',275.0,,,Colorado State,,,,,2014,Colorado State,,,,
ATH,Loveland,CO,6'4'',195.0,,,Colorado State,,,,,2014,Colorado State,,,,
OT,Arvada,CO,6'5'',270.0,,,Colorado State,,,,,2014,Colorado State,,,,
S,Denver,CO,5'11'',165.0,,,Colorado State,,,,,2014,Colorado State,,,,
OLB,Denton,TX,5'11'',185.0,,,Colorado State,,,,,2014,Colorado State,,,,
RB,Aurora,CO,5'11'',205.0,,,Colorado State,,,,,2014,Colorado State,,,,
ILB,San Jose,CA,6'2'',230.0,,,Colorado State,,,,,2014,Colorado State,,,,
K,Castle Rock,CO,6'0'',170.0,,,Colorado State,,,,,2014,Colorado State,,,,
LS,Colorado Springs,CO,6'2'',195.0,,,Colorado State,,,,,2014,Colorado State,,,,
TE-Y,Wichita,KS,6'3'',245.0,,,Colorado State,,,,,2014,Colorado State,,,,
TE-Y,Garden Grove,CA,6'4'',250.0,,,Colorado State,,,,,2014,Colorado State,,,,
OG,Honolulu,HI,6'4'',270.0,,,Colorado State,,,,,2014,Colorado State,,,,
RB,Bakersfield,CA,6'0'',190.0,,,Colorado State,,,,,2014,Colorado State,,,,
,,,,,,,,,,,,2014,Colorado State,,,,
,,,,,,,,,166,,,2014,Colorado State,,,,
Kamilo Tongamoa,DT,Monroe,CA,6'5'',290,79.0,,,8, None, None,2016,Colorado State,,,,
Devron Davis,CB,Merced,CA,6'0'',210,79.0,,,7, None, None,2016,Colorado State,,,,
Christian Colon,DT,Charlotte,NC,6'3'',309,78.0,,,47,279,26,2016,Colorado State,,,,
Darneail Jenkins,TE-Oakland,CA,6'5'',245,75,,,,2, NR, NR,2016,Colorado State,,,,
Dalton Fackrell,TE-H,South Jordan,UT,6'4'',240,74.0,,,1, NR, NR,2016,Colorado State,,,,
Joseph Jackson,CB,Sterling,VA,5'10'',180,74.0,,,,16, None,2016,Colorado State,,,,
Collin Hill,QB-PP,Roebuck,SC,6'5'',202,74.0,,,43,,,2016,Colorado State,,,,
A'Keitheon Whitner,CB,Thatcher,AZ,5'11'',180,73.0,,,,225,172,2016,Colorado State,,,,
Hunter Donnelly,OLB,Arlington,TX,6'1'',213,73.0,,,9, None, None,2016,Colorado State,,,,
Nicho Garcia,OG,Shawnee,KS,6'4'',295,73.0,,,105,233,8,2016,Colorado State,,,,
Isiah Pannunzio,ATH,Pueblo,CO,6'1'',210,72.0,,,110,203,131,2016,Colorado State,,,,
Jamal Hicks,S,Harbor City,CA,6'1'',174,72.0,,,, None, None,2016,Colorado State,,,,
Rashaad Boddie,RB,Sammamish,WA,6'0'',220,72.0,,,96,,,2016,Colorado State,,,,
James Sutton III,OLB,Miami,FL,6'0'',210,72.0,,,108,631,206,2016,Colorado State,,,,
Rocco Marucci,CB,Pembroke Pines,FL,6'0'',165,71.0,,,101,,,2016,Colorado State,,,,
