Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,Stars,University, Reg_rank, State_rank,University    
Jaylen Blackwell,S,McDonough,GA,6'2'',190,,,139,,,2021,Boston College,72.0,,792,172,
Jaden Williams,WR,Pflugerville,TX,5'10'',175,,,258,,,2021,Boston College,72.0,,,,
Quintavious Hutchins,DE,Bessemer,AL,6'4'',250,,,208,,,2021,Boston College,71.0,,875,94,
Jaiden Lars-Woodbey,S,Bellflower,CA,6'2'',205,Boston College,,,,,2021,Boston College,,, None, None,
Jake Byczko,DE,Groton,MA,6'3'',250,Boston College,,,,,2021,Boston College,,,,,
Isaiah Graham-Mobley,ILB,King of Prussia,PA,6'2'',220,Boston College,,,,,2021,Boston College,,, None, None,
Khris Banks,DT,Wayne,NJ,6'4'',290,Boston College,,,,,2021,Boston College,,, None, None,
Peter Delaportas,QB-PPO,Oak Ridge,NJ,6'3'',200,81,,13,,,2022,Boston College,1,Boston College,29,5,
Kwan Williams,DT,Owings Mills,MD,6'1'',285,80,,32,,,2022,Boston College,1,Boston College,,,
Amari Jackson,CB,McDonough,GA,5'10'',170,80,,48,,,2022,Boston College,1,Boston College,192,43,
Cam Barfield,RB,Las Vegas,NV,5'11'',180,79,,34,,,2022,Boston College,1,Boston College,68,7,
Sione Hala,S,Bellflower,CA,6'2'',190,79,,37,,,2022,Boston College,1,Boston College,,,
Joseph Griffin Jr.,WR,Springfield,MA,6'4'',190,79,,95,,,2022,Boston College,1,Boston College,,,
Alex Broome,RB,Nashville,TN,5'9'',185,78,,49,,,2022,Boston College,1,Boston College,303,23,
Edwin Kolenge,ILB,Windsor,CT,6'3'',235,78,,23,,,2022,Boston College,1,Boston College,,,
Matt Ragan,TE-Y,Groton,MA,6'5'',220,78,,19,,,2022,Boston College,1,Boston College,,,
Gilbert Tongrongou,DT,Woodbridge,VA,6'4'',260,77,,67,,,2022,Boston College,1,Boston College,,,
Jude Bowry,OG,Baltimore,MD,6'5'',280,77,,39,,,2022,Boston College,1,Boston College,95,22,
Jeremiah Franklin,TE-Y,Walkersville,MD,6'4'',225,77,,26,,,2022,Boston College,1,Boston College,,,
Ishmael Zamor,WR,Everett,MA,6'1'',170,77,,140,,,2022,Boston College,1,Boston College,,,
Jack Funke,OT,Westwood,MA,6'6'',290,76,,92,,,2022,Boston College,1,Boston College,124,9,
C.J. Clinkscales,ATH,Buford,GA,5'9'',180,75,,116,,,2022,Boston College,1,Boston College,,,
Isaiah Farris,CB,Fort Lauderdale,FL,5'11'',160,75,,119,,,2022,Boston College,1,Boston College,567,175,
Kivon Wright,DE,Manvel,TX,6'4'',220,75,,120,,,2022,Boston College,1,Boston College,,,
Daveon Crouch,OLB,Tampa,FL,6'2'',210,75,,99,,,2022,Boston College,1,Boston College,,,
Josh Hardy,DE,Annapolis,MD,6'3'',230,74,,137,,,2022,Boston College,1,Boston College,162,32,
Noah Clifford,OT,Oakdale,CT,6'5'',280,74,,147,,,2022,Boston College,1,Boston College,165,5,
Sam Candotti,K,Melbourne,AUS,6'1'',180,73,,28,,,2022,Boston College,1,Boston College,9,5,
Clive Wilson,DE,Youngstown,OH,6'4'',235,72,,172,,,2022,Boston College,1,Boston College,225,67,
Regen Terry,DE (TR),Florence,AZ,6'3'',250,72,,,,,2022,Boston College,1,Boston College, None, None,
Dino Tomlin,WR (TR),Pittsburgh,PA,6'0'',180,72,,,,,2022,Boston College,1,Boston College,,,
Nate Johnson,ATH,Clearwater,FL,5'10'',170,,,,,,2023,Boston College,81,,136,59,
Jacobe Robinson,QB-DT,Henderson,TX,6'4'',225,,,10,,,2023,Boston College,80,,,,
Datrell Jones,RB,West Roxbury,MA,5'10'',175,,,36,,,2023,Boston College,79,,44,7,
Shawn Battle,CB,Philadelphia,PA,5'11'',175,,,,,,2023,Boston College,79,,47,10,
Kahlil Ali,S,Pennsauken,NJ,6'1'',180,,,39,,,2023,Boston College,79,,52,9,
Reed Harris,ATH,Great Falls,MT,6'4'',205,,,46,,,2023,Boston College,79,,78,1,
Montrell Wade,WR,Tyler,TX,6'1'',185,,,121,,,2023,Boston College,77,,207,152,
Ryan Mickow,OG,Fort Lauderdale,FL,6'5'',285,,,65,,,2023,Boston College,76,,,,
Carter Davis,S,Baltimore,MD,6'1'',175,,,,,,2023,Boston College,76,, None, None,
K.P. Price,S,Baltimore,MD,6'2'',190,,,134,,,2023,Boston College,76,,,,
Jaed'n Skeete,ATH,West Roxbury,MA,6'1'',180,,,46,,,2023,Boston College,76,,,,
Palaie Faoa,ILB,Las Vegas,NV,6'2'',220,,,91,,,2023,Boston College,75,,,,
Michael Crounse,OG,Hyattsville,MD,6'4'',320,,,101,,,2023,Boston College,74,,152,21,
Eryx Daugherty,DT,Bloomfield Hills,MI,6'3'',275,,,146,,,2023,Boston College,74,,,,
Max Tucker,CB,West Roxbury,MA,6'0'',188,,,176,,,2023,Boston College,74,,,,
Josiah Griffin,DE,Springfield,MA,6'3'',245,,,44,,,2023,Boston College,73,,,,
Holden Symonds,TE-Y,Byfield,MA,6'5'',240,,,,,,2023,Boston College,72,, None, None,
Ryan O'Keefe,WR,Round Rock,TX,5'10'',175,,,,,,2023,Boston College,TR,, None, None,
Kyle Hergel,OG,Toronto,ON,6'2'',305,,,,,,2023,Boston College,TR,, None, None,
Khari Johnson,CB,Boston,MA,6'0'',192,,,,,,2023,Boston College,TR,,,,
George Rooks,DE,Jersey City,NJ,6'5'',278,,,,,,2023,Boston College,TR,,,,
Turbo Richard,RB,Rock Hill,SC,5'8'',210,Boston College    ,,57,336,10,2024,Boston College,78,,,,
Syair Torrence,WR,Syracuse,NY,6'0'',200,Boston College    ,,108,,,2024,Boston College,77,,,,
Judah Pruitt,OG,Newark,NJ,6'4'',315,Boston College    ,,61,123,20,2024,Boston College,77,,,,
Omar Thornton,OLB,Plantation,FL,6'0'',200,Boston College    ,,462,,138,2024,Boston College,77,,,,
Jadon Lafontant,OG,Greenwich,CT,6'3'',285,Boston College    ,,78,140,6,2024,Boston College,76,,,,
Kemori Dixon,S,Danville,VA,6'1'',200,Boston College    ,,116,,,2024,Boston College,76,,,,
Johnathan Montague Jr.,QB-DT,Clayton,NC,6'2'',200,Boston College    ,,26,,,2024,Boston College,76,,,,
Charlie Comella,ATH,Westwood,MA,6'0'',180,Boston College    ,,115,,,2024,Boston College,76,,,,
Ashton McShane,CB,McKinney,TX,5'11'',170,Boston College    ,,138,283,217,2024,Boston College,75,,,,
Ryan Boultwood,TE-H (JC),La Verne,CA,6'4'',225,Boston College    ,,1,,,2024,Boston College,75,,,,
Cedric Lott Jr.,WR,Mesquite,TX,6'5'',200,Boston College    ,,186,,,2024,Boston College,75,,,,
Jayzen Flint,DE,Philadelphia,PA,6'3'',225,Boston College    ,,168,224,47,2024,Boston College,73,,,,
Papa Abdoulaye Sy,OT,London,England,EUR,6'6'',71,,193,,,2024,Boston College,295,,,,Boston College    
Kamari Morales,TE-H (TR),Tallahassee,FL,6'4'',245,Boston College    ,,,,,2024,Boston College,TR,,,,
Treshaun Ward,RB (TR),Plant City,FL,5'10'',194,Boston College    ,,,,,2024,Boston College,TR,,,,
Jayden McGowan,WR (TR),Laurens,SC,5'8'',181,Boston College    ,,,,,2024,Boston College,TR,,,,
Ryan Turner,CB (TR),Miramar,FL,5'11'',189,Boston College    ,,,,,2024,Boston College,TR,,,,
Jerand Bradley,WR (TR),DeSoto,TX,6'5'',220,Boston College    ,,,,,2024,Boston College,TR,,,,
Jordan McDonald,RB (TR),Alpharetta,GA,6'1'',220,Boston College    ,,,,,2024,Boston College,TR,,,,
Cameron Martinez,S (TR),Muskegon,MI,5'10'',198,Boston College    ,,,,,2024,Boston College,TR,,,,
Sedarius McConnell,DT (TR),Atlanta,GA,6'3'',285,Boston College    ,,,,,2024,Boston College,TR,,,,
Grayson James,QB-PP (TR),Duncanville,TX,6'3'',235,Boston College,,,,,2024,Boston College,TR,,,,
