Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School  ,School
Tyree Gillespie,ATH,Ocala,FL,6'0'',202,Missouri,,629,92,240,2017,Missouri,72,,,,
Kobie Whiteside,DT,Houston,TX,6'1'',304,Missouri,,,,,2017,Missouri,NR,,,,
Caleb Sampson,DE,Covington,LA,6'3'',282,Missouri,,NR,NR,NR,2017,Missouri,NR,,,,
O'shae Clark,WR,Cypress,TX,5'7'',147,Missouri,,,,,2017,Missouri,NR,,,,
Connor Bazelak,QB-PP,Kettering,OH,6'3'',207,Missouri  ,,10,,,2019,Missouri,82.0,12,5,,
Jalani Williams,S,Saint Louis,MO,6'2'',170,Missouri  ,,20,,,2019,Missouri,80.0,47,5,,
Jack Buford,OG,Chicago,IL,6'4'',300,Missouri  ,,15,,,2019,Missouri,80.0,,,,
C.J. Boone,WR,Saint Louis,MO,6'2'',173,Missouri  ,,51,,,2019,Missouri,80.0,59,8,,
Anthony Watkins,ATH,Fort Worth,TX,5'11'',190,Missouri  ,,,,,2019,Missouri,80.0, None, None,,
Ishmael Burdine,S,Slidell,LA,6'1'',177,Missouri  ,,34,,,2019,Missouri,80.0,,,,
Chris Daniels,DT,Euless,TX,6'4'',315,Missouri  ,,4,,,2019,Missouri,79.0,,,,
Shemar Pearl,DE,Plano,TX,6'4'',223,Missouri  ,,78,,,2019,Missouri,78.0,98,71,,
Isaiah McGuire,DE,Tulsa,OK,6'4'',260,Missouri  ,,106,,,2019,Missouri,78.0,82,9,,
Martez Manuel,S,Columbia,MO,6'0'',185,Missouri  ,,43,,,2019,Missouri,78.0,,,,
Luke Griffin,OT,Chatsworth,GA,6'5'',280,Missouri  ,,6,,,2019,Missouri,78.0,313,73,,
Sci Martin,OLB,New Orleans,LA,6'4'',245,Missouri  ,,5,,,2019,Missouri,78.0,,,,
Maurice Massey,WR,Kirkwood,MO,6'4'',185,Missouri  ,,86,,,2019,Missouri,78.0,,,,
Darius Robinson,DE,Canton,MI,6'6'',249,Missouri  ,,105,,,2019,Missouri,77.0,82,20,,
Jamie Pettway,OLB,Albany,GA,6'3'',230,Missouri  ,,66,,,2019,Missouri,77.0,,,,
Z'Core Brooks,DE,Dallas,TX,6'5'',218,Missouri  ,,18,,,2019,Missouri,76.0,NR,NR,,
Angel Matute,OT,Walnut,CA,6'4'',275,Missouri  ,,244,,,2019,Missouri,75.0,82,179,,
Stacy Brown,S,Duncanville,TX,6'2'',194,Missouri  ,,,,,2019,Missouri,75.0, None, None,,
Aidan Harrison,S,Flushing,MI,6'2'',180,Missouri  ,,154,,,2019,Missouri,75.0,254,24,,
Arvell Ferguson,DE,Kirkwood,MO,6'4'',215,Missouri  ,,39,,,2019,Missouri,75.0,,,,
Devin Nicholson,ILB,Detroit,MI,6'2'',205,Missouri  ,,126,,,2019,Missouri,74.0,,,,
Thalen Robinson,OT,Arlington,TX,6'5'',315,Missouri  ,,133,,,2019,Missouri,74.0,665,217,,
Chris Shearin,CB,Bradenton,FL,5'11'',177,Missouri  ,,38,,,2019,Missouri,74.0,305,30,,
Niko Hea,TE-H,Saint Louis,MO,6'4'',220,Missouri  ,,,,,2019,Missouri,73.0, None, None,,
Shawn Robinson,QB-DT,Fort Worth,TX,6'2'',227,Missouri  ,,,,,2019,Missouri,, None, None,,
Kelly Bryant,QB-DT,Clemson,SC,6'3'',225,Missouri  ,,,,,2019,Missouri,, None, None,,
Jonathan Nance,WR,Fayetteville,AR,6'1'',190,Missouri  ,,,,,2019,Missouri,,,,,
Travion Ford,DE,Saint Peters,MO,6'4'',220,84,,16,,,2021,Missouri,84,26,2,,Lutheran North High School
JaDarrius Perkins,CB,Hattiesburg,MS,,6'1'',82,,2,,,2021,Missouri,185, NR, NR,,Mississippi Gulf Coast Comm College
Dameon Wilson,ILB,Kings Mountain,NC,6'1'',210,Lutheran North High School,,11,,,2021,Missouri,80,124,21,,
Daniel Robledo,DE,Tucson,AZ,,6'5'',79,,10th,,,2021,Missouri,280,,,,East Los Angeles College
Dominic Lovett,WR,East Saint Louis,IL,5'10'',175,East St. Louis High School,,71,,,2021,Missouri,79,49,8,,
Connor Tollison,OT,Jackson,MO,6'6'',285,Jackson High School,,6,,,2021,Missouri,79,105,7,,
B.J. Harris,RB,Chattanooga,TN,5'10'',193,The McCallie School For Boys,,35,,,2021,Missouri,78,225,16,,
Arden Walker,DT,Englewood,CO,,6'3'',78,,41,,,2021,Missouri,250,134,6,,Cherry Creek High School
Daylan Carnell,ATH,Indianapolis,IN,6'0'',175,Ben Davis High School,,52,,,2021,Missouri,77,73,9,,
Darius Jackson,CB,Red Oak,TX,,6'1'',77,,51,,,2021,Missouri,175,,,,Red Oak High School
Shemar Pearl,DE,Plano,TX,,6'5'',77,,4,,,2021,Missouri,235, None,23,,Garden City Community College
Jonathan Jones,DE,McKinney,TX,,6'4'',77,,159,,,2021,Missouri,230,123,80,,McKinney High School
Davion Sistrunk,ATH,Melbourne,FL,6'2'',170,Eau Gallie High School,,65,,,2021,Missouri,77,,,,
Kyran Montgomery,DE,Indianapolis,IN,,6'4'',76,,95,,,2021,Missouri,215,,,,Pike High School
Gavin McKay,TE,Memphis,TN,,6'4'',76,,15,,,2021,Missouri,210,,,,Memphis University School
Mekhi Wingo,DT,Saint Louis,MO,6'0'',285,De Smet Jesuit High School,,58,,,2021,Missouri,76,,,,
Tyler Macon,QB,East Saint Louis,IL,,6'0'',76,,21,,,2021,Missouri,180,,,,East St. Louis High School
Taj Butts,RB,Saint Louis,MO,5'11'',185,De Smet Jesuit High School,,,,,2021,Missouri,76, None, None ,,
Tyler Hibbler,Saint Louis,MO,,5'11'',185,Trinity Catholic High School,,16,,,2021,Missouri,75,,16,,
Ryan Hoerstkamp,TE,Washington,MO,,6'4'',75,,39,,,2021,Missouri,225,243,17,,Washington High School
Zachary Lovett,OLB,Rockledge,FL,,6'2'',75,,105,,,2021,Missouri,210,538,174,,Rockledge High School
Zxaequan Reeves,CB,Cocoa,FL,,6'2'',74,,123,,,2021,Missouri,180,,,,Cocoa High School
Realus George,DT,Atlanta,GA,,6'2'',73,,13,,,2021,Missouri,295, NR, NR,,Independence Community College
EJ Ndoma-Ogar,OG,Allen,TX,6'3'',338,University of Oklahoma,,,,,2021,Missouri,TR, None, None,,
Blaze Alldredge,OLB,Kissimmee,FL,,6'2'',TR,,,,,2021,Missouri,215, None, None,,Rice University
Mookie Cooper,WR,Maryland Heights,MO,5'9'',190,Pattonville High School,,,,,2021,Missouri,TR, None, None,,
Brett Norfleet,TE-YS,Saint Charles,MO,6'6'',225,82,Missouri,5,,,2023,Missouri,,46,7,,
Gabarri Johnson,QB-DT,Tacoma,WA,6'0'',205,81,Missouri,7,,,2023,Missouri,,,,,
Jamal Roberts,RB,Saint Louis,MO,5'11'',200,80,Missouri,27,,,2023,Missouri,,79,9,,
Josh Manning,WR,Lee's Summit,MO,6'2'',190,79,Missouri,59,,,2023,Missouri,,102,10,,
Logan Reichert,OT,Raytown,MO,6'6'',360,79,Missouri,46,,,2023,Missouri,,,,,
Jahkai Lang,DE,Troy,MO,6'3'',240,79,Missouri,60,,,2023,Missouri,,,,,
Brandon Solis,OT,Nashville,TN,6'7'',265,79,Missouri,50,,,2023,Missouri,,238,17,,
Marvin Burks,S,Saint Louis,MO,6'2'',190,79,Missouri,45,,,2023,Missouri,,114,13,,
