Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars,School, Reg_rank, State_rank,University  
Jaquan Yulee,ILB,Chesapeake,VA,6'1'',249,Marshall,,10,24,3,2016,Marshall,82.0,,,,
Willie Johnson,WR,Fort Myers,FL,6'0'',170,Marshall,,54,,,2016,Marshall,80.0,,,,
Xavier Gaines,QB-DT,Lake Wales,FL,6'3'',210,Marshall,,12,,,2016,Marshall,80.0,,,,
JaQua Daniels,RB,Athens,GA,6'1'',219,Marshall,,29,,,2016,Marshall,80.0,,,,
Sir Patrick Scott,CB,Upper Marlboro,MD,6'1'',170,Marshall,,42,91,20,2016,Marshall,77.0,,,,
Jeremiah Maddox,S,Hilton Head,SC,6'0'',178,Marshall,,97,,,2016,Marshall,73.0,,,,
Cody Mitchell,TE-H,Point Pleasant,WV,6'3'',228,Marshall,,24,,,2016,Marshall,73.0,,,,
Omari Cobb,OLB,Port Saint Lucie,FL,6'4'',210,Marshall,,108,643,212,2016,Marshall,71.0,,,,
Will Ulmer,OT,Richmond,KY,6'5'',288,Marshall,,122,,,2016,Marshall,70.0,,,,
Jestin Morrow,ATH,Hilton Head,SC,5'10'',157,Marshall,,125,,,2016,Marshall,69.0,,,,
Garet Morrell,QB-PP,Leesburg,GA,6'2'',195,Marshall,,68,,,2016,Marshall,68.0,,,,
Christopher Jackson,WR,Tallahassee,FL,5'10'',156,Marshall,,221,,,2016,Marshall,68.0,,,,
Pro Wells,TE-H,Saint Petersburg,FL,6'4'',210,Marshall,,,,,2016,Marshall,,,,,
Tyler King,RB,Fort Meade,FL,5'11'',182,Marshall,,NR,,,2016,Marshall,,,,,
Sean Behrens,OG,Lithia,FL,6'3'',284,Marshall,,,,,2016,Marshall,,,,,
Keon Singleton,RB,Washington,DC,6'1'',214,Marshall,,,,,2016,Marshall,,,,,
Rodney Croom,DE,Cincinnati,OH,6'2'',245,Marshall,,,,,2016,Marshall,,,,,
Brandon Rodgers,ATH,Prichard,AL,5'10'',168,Marshall,,,,,2016,Marshall,,,,,
Tarik Adams,OG,Valdosta,GA,6'2'',260,Marshall,,,,,2016,Marshall,,,,,
Alex Mollette,OG,Suwanee,GA,6'2'',260,Marshall,,NR,NR,NR,2016,Marshall,,,,,
Jaylon Sapp,CB,Jacksonville,FL,5'11'',170,Marshall,,,,,2016,Marshall,,,,,
Alex Salguero,OG,Bradenton,FL,6'3'',305,Marshall,,,,,2016,Marshall,,,,,
Peyton Scott,S,Burke,VA,6'1'',180,Marshall,,,,,2016,Marshall,,,,,
Antwan Wright,WR,Shelby,NC,5'11'',170,Marshall,,,,,2016,Marshall,,,,,
Larry Aaron,DT,Columbia,MD,6'4'',250,Marshall,,,,,2016,Marshall,,,,,
Raymond Flanders,WR,Miami,FL,5'10'',175,Marshall,,5,,,2016,Marshall,,,,,
Jake McCrary,WR (JC),Miami,FL,6'0'',183,Marshall,,NR,,,2016,Marshall,,,,,
