Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  ,University 
Trey Green,S,Belle Glade,FL,6'0'',175,,,,,,,2018,U of Central Florida,,,,UCF  ,
Chris Deloach,TE,Decatur,MS,6'3'',245,,,,,,,2018,U of Central Florida,,,,UCF,
Parker Navarro,QB-PP,Phoenix,AZ,6'0'',195,79,UCF,,27,,,2020,U of Central Florida,82,13,,,
Cornelius Forrest Jr,TE-Y,Jacksonville,FL,6'4'',235,77,UCF,,16,,,2020,U of Central Florida,,,,,
Ja'Cyais Credle,WR,Columbus,GA,6'4'',200,77,UCF,,12,,,2020,U of Central Florida,,,,,
Emmanuel Appiah-Takyi,CB (JC),Oradell,NJ,6'0'',175,77,UCF,,114,,,2020,U of Central Florida,7,4,,,
Paul Rubelt,OT,Alsbach,Germany,6'9'',285,75,UCF,,114,,,2020,U of Central Florida,497,164,,,
Joshua Celiscar,DE,Winter Haven,FL,6'3'',230,75,UCF,,3,,,2020,U of Central Florida, None, None,,,
Zach Marsh-Wojan,TE-Y (JC),Vacaville,CA,6'5'',245,75,UCF,,35,,,2020,U of Central Florida,,,,,
Keenan Cupit,ILB,Forest,VA,6'2'',225,74,UCF,,131,,,2020,U of Central Florida,560,189,,,
Kervins Choute,DE,Deerfield Beach,FL,6'3'',250,74,UCF,,97,,,2020,U of Central Florida,,,,,
Justin Hodges,S,Fort Lauderdale,FL,6'1'',160,74,UCF,,42,,,2020,U of Central Florida,669,11,,,
Quade Mosier,ILB,Fayetteville,AR,6'2'',225,74,UCF,,,,,2020,U of Central Florida,,,,,
Devunte Dawson,CB (JC),Hurst,TX,5'11'',185,74,UCF,,,,,2020,U of Central Florida,,,,,
Quadric Bullard,S,Hollywood,FL,6'0'',165,73,UCF,,117,,,2020,U of Central Florida,,,,,
Patrick Barnett,OG,Key West,FL,6'5'',305,73,UCF,,120,,,2020,U of Central Florida,727,247,,,
Mike Lofton,OG,Fort Lauderdale,FL,6'2'',295,73,UCF,,139,,,2020,U of Central Florida,,,,,
Corey Thornton,CB,Miami,FL,6'1'',170,73,UCF,,182,,,2020,U of Central Florida,,,,,
Kendrick Wilson,DE,Miami,FL,6'5'',230,73,UCF,,48,,,2020,U of Central Florida,,,,,
Jordan Davis,TE-YSanford,FL,6'4'',230,72,UCF,,,140,,,2020,U of Central Florida,900,303,,,
Johnny Richardson,RB,Lake Wales,FL,5'7'',175,72,UCF,,178,,,2020,U of Central Florida,911,306,,,
Davonte Brown,CB,,,6'2'',160,71,UCF,,,,,2020,U of Central Florida, None, None,,,
Marcus Tatum,OT,Daytona Beach,FL,6'6'',316,,UCF,,,,,2020,U of Central Florida,,,,,
Keahnist Thompson,DE,Lakeland,FL,6'4'',235,,80,UCF,33,,,2022,U of Central Florida,166,52,,,
Nikai Martinez,CB,Apopka,FL,5'10'',170,,80,UCF,44,,,2022,U of Central Florida,184,59,,,
Thomas Castellanos,ATH,Waycross,GA,5'10'',190,,78,UCF,57,,,2022,U of Central Florida,280,65,,,
Tyler Griffin,ATH,Brooklet,GA,6'4'',205,,77,UCF,82,,,2022,U of Central Florida,374,94,,,
Caden Kitler,OG,Plano,TX,6'3'',285,,77,UCF,40,,,2022,U of Central Florida,174,130,,,
Quan Lee,WR,Gainesville,FL,5'11'',170,,77,UCF,133,,,2022,U of Central Florida,401,128,,,
Ja'Cari Henderson,CB,Sanford,FL,6'0'',160,,77,UCF,81,,,2022,U of Central Florida,,,,,
Jamaal Johnson,DE,Miramar,FL,6'1'',240,,77,UCF,96,,,2022,U of Central Florida,433,136,,,
Demari Henderson,CB,Sanford,FL,6'0'',155,,76,UCF,91,,,2022,U of Central Florida,437,107,,,
Jordan McDonald,ATH,Milton,GA,6'1'',220,,76,UCF,494,,,2022,U of Central Florida,,,,,
Kameron Moore,OLB,Sanford,FL,6'1'',205,,76,UCF,67,,,2022,U of Central Florida,566,174,,,
Miguel Maldonado,OG,Lakeland,FL,6'5'',320,,75,UCF,41,,,2022,U of Central Florida,,,,,
Grant Stevens,TE-H,Saint Augustine,FL,6'3'',215,,73,UCF,,,,2022,U of Central Florida,,,,,
John Walker,DT,Seminole,FL,6'3'',300,84.0,UCF   ,,9,,,2023,U of Central Florida,45,21,,,
Andrew Harris,ILB,Altamonte Springs,FL,6'1'',200,82.0,UCF  ,,196,,,2023,U of Central Florida,103,45,,,
Isaiah Nixon,DE,Saint Petersburg,FL,6'4'',225,81.0,UCF   ,,36,,,2023,U of Central Florida,128,56,,,
Braeden Marshall,CB,Lake Mary,FL,5'10'',175,79.0,UCF   ,,50,,,2023,U of Central Florida,211,88,,,
Kaven Call,DE,Apopka,FL,6'2'',240,79.0,UCF  ,,58,,,2023,U of Central Florida,232,91,,,
Troy Ford,DE,Savannah,GA,6'1'',240,78.0,UCF  ,,66,,,2023,U of Central Florida,250,52,,,
Randy Pittman,TE-H,Lynn Haven,FL,6'2'',230,78.0,UCF  ,,20,,,2023,U of Central Florida,,,,,
Ja'Maric Morris,CB (JC),Timmonsville,SC,6'1'',205,78.0,UCF  ,,48,,,2023,U of Central Florida,,,,,
Johnathan Cline,OG,Cartersville,GA,6'3'',265,77.0,UCF  ,,32,,,2023,U of Central Florida,388,136,,,
Dylan Rizk,QB-PP,Fort Lauderdale,FL,6'1'',205,77.0,UCF  ,,84,,,2023,U of Central Florida,392,138,,,
Jason Duclona,ATH,Estero,FL,5'11'',175,77.0,UCF  ,,164,,,2023,U of Central Florida,,,,,
Tyree Patterson,WR,Eustis,FL,6'1'',175,76.0,UCF  ,,3,,,2023,U of Central Florida,,,,,
Grant Reddick,K,Orlando,FL,5'10'',190,76.0,UCF  ,,88,,,2023,U of Central Florida,,,,,
Andrew Rumph,DT,Palmetto,FL,6'5'',250,75.0,UCF  ,,115,,,2023,U of Central Florida,603,51,,,
Keyon Cox,OT,Phenix City,AL,6'6'',260,74.0,UCF  ,,,,,2023,U of Central Florida, None, None,,,
Fred Davis II,CB (TR),Jacksonville,FL,6'0'',200,,UCF   ,,,,,2023,U of Central Florida,,,,,
Jordan Mask,S (TR),Texarkana,TX,5'11'',190,,UCF   ,,,,,2023,U of Central Florida, None, None,,,
Chauncey Magwood,WR (TR),Albany,GA,6'0'',198,,UCF  ,,,,,2023,U of Central Florida,,,,,
