Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank,Pos_Rank,Reg_Rank,State_Rank
Tod Centeio,QB,Royal Palm Beach,FL,6'0'',193,76.0,Temple,,138,,,2017,Temple,,185,27,,,
Jeremy Jennings,CB,Exton,PA,5'10'',161,70.0,Temple,,46,,,2017,Temple,,,,,,
Griffin Sestili,TE,Wexford,PA,6'3'',230,67.0,Temple,,,,,2017,Temple,, None, None,,,
Ifeanyi Maijeh,NY,New York,NY,6'1'',245,,Temple,,NR,,,2017,Temple,,,,,,
Audley Isaacs,OLB,Wayne,PA,6'1'',210,,Temple,,NR,,,2017,Temple,,,,,,
Malik Burns,OLB,Indian Head,MD,6'2'',224,,Temple,,,,,2017,Temple,, None, None,,,
Christian Braswell,CB,Baltimore,MD,5'10'',161,,Temple,,,,,2017,Temple,, None, None,,,
Collin Washington,WR,Philadelphia,PA,6'1'',178,,Temple,,NR,,,2017,Temple,,,,,,
George Reid,WR,Abington,PA,6'0'',170,,Temple,,,,,2017,Temple,,,,,,
L'Jeron Holder,WR,Englishtown,NJ,6'2'',200,,Temple,,NR,,,2017,Temple,, NR, NR,,,
James Makszin,DT,Norwalk,CT,6'3'',260,,Temple,,,,,2017,Temple,,,,,,
Dearage Mason,CB,Silver Spring,MD,5'10'',170,,Temple,,,,,2017,Temple,, None, None,,,
Chris Jimenez,OT,Collegeville,PA,6'4'',260,,Temple,,,,,2017,Temple,, None, None,,,
Emil Moody,TE-H,Philadelphia,PA,6'5'',210,,Temple,,,,,2017,Temple,, None, None,,,
Jadan Blue,WR,Hightstown,NJ,5'11'',175,,Temple,,,,,2017,Temple,, None, None,,,
Arnold Ebiketie,OLB,Kensington,MD,6'3'',210,,Temple,,NR,,,2017,Temple,, NR, NR,,,
Casey Williams,OLB,Philadelphia,PA,6'2'',220,,Temple,,,,,2017,Temple,,,,,,
Ty Mason,CB,Silver Spring,MD,5'10'',172,,Temple,,,,,2017,Temple,,,,,,
Mike Jones,CB,Baltimore,MD,5'11'',187,,Temple,,,,,2017,Temple,,,,,,
Sean Ryan,WR,Brooklyn,NY,6'3'',187.0,78,Temple,,135,,,2018,Temple,,80,5,,,
Trad Beatty,QB-PP,Chapin,SC,6'6'',210.0,77,Temple,,43,,,2018,Temple,,380,15,,,
David Nwaogwugwu,DE,Bronx,NY,6'5'',240.0,77,Temple,,91,,,2018,Temple,,106,11,,,
Travon King,OLB,Camden,NJ,6'4'',205.0,77,Temple,,60,,,2018,Temple,,108,21,,,
Khristopher Banks,OG,Wayne,NJ,6'4'',291.0,76,Temple,,59,,,2018,Temple,,,22,,,
Nickolos Madourie,DE,Sunrise,FL,6'4'',255.0,75,Temple,,12,,,2018,Temple,, None, None,,,
Kyle Dobbins,RB,Richland,NJ,5'10'',190.0,73,Temple,,90,,,2018,Temple,,153,32,,,
Dante Burke,DE,Virginia Beach,VA,6'3'',250.0,73,Temple,,141,,,2018,Temple,,161,27,,,
David Martin-Robinson,ATH,Landisville,PA,6'3'',215.0,72,Temple,,118,,,2018,Temple,,170,35,,,
Daesean Winston,OLB,Severn,MD,6'2'',181.0,,Temple,,,,,2018,Temple,, None, None,,,
Chauncey Moore,CB,Washington,DC,5'11'',179.0,,Temple,,,,,2018,Temple,,,,,,
Onasis Neely,RB,Enola,PA,6'0'',195.0,,Temple,,,,,2018,Temple,,,,,,
Amir Gillis,ATH,Philadelphia,PA,5'10'',185.0,,Temple,,,,,2018,Temple,,,,,,
Ronnie Stevenson,WR,Mckees Rocks,PA,6'4'',197.0,,Temple,,NR,,,2018,Temple,,,,,,
Jean Paul Rodriguez,OT,Lakewood,NJ,6'4'',275.0,,Temple,,,,,2018,Temple,,,,,,
Antonio Colclough,DE,Bronx,NY,6'4'',215.0,,Temple,,,,,2018,Temple,,,,,,
Kadas Reams,WR,New Berlin,NY,6'0'',175.0,,Temple,,,,,2018,Temple,,,,,,
Evan Boozer,DT,Baltimore,MD,6'3'',240.0,,Temple,,,,,2018,Temple,, None, None,,,
Adam Klein,OT,Merion,PA,6'4'',265.0,,Temple,,,,,2018,Temple,,,,,,
Aaron Jarman,TE-Y,La Grange,NC,6'4'',245.0,,Temple,,,,,2018,Temple,, None, None,,,
Oskar Andersson,OT,Stockholm,Sweden,6'5'',290.0,,Temple,,,,,2018,Temple,, None, None,,,
Elijah Clark,CB,Parlin,NJ,6'2'',170.0,,Temple,,,,,2018,Temple,,,,,,
