Name,Pos,City,State,Height,Weight,Grade,University,Year,Team,Stars,Pos_rank,Reg_rank,State_rank, Reg_rank, State_rank,University 
Markaviest Bryant,DE,Cordele,GA,6'4'',225,84.0,,2017,Auburn,4.0,9,,,,,Auburn 
Malcolm Askew,ATH,McCalla,AL,5'11'',183,83.0,,2017,Auburn,4.0,8,58,3,,,Auburn 
Nick Brahms,OG,Navarre,FL,6'4'',286,82.0,,2017,Auburn,4.0,13,74,30,,,Auburn 
Austin Troxell,OT,Madison,AL,6'7'',285,81.0,,2017,Auburn,4.0,25,96,11,,,Auburn 
Chandler Wooten,OLB,Kennesaw,GA,6'3'',227,81.0,,2017,Auburn,4.0,14,109,32,,,Auburn 
Alaric Williams,RB,Gadsden,AL,6'0'',200,81.0,,2017,Auburn,4.0,21,111,12,,,Auburn 
Tadarian Moultry,OLB,Birmingham,AL,6'2'',223,80.0,,2017,Auburn,4.0,19,,,,,Auburn 
Devan Barrett,ATH,Tampa,FL,6'1'',195,80.0,,2017,Auburn,4.0,23,,,,,Auburn 
Kenney Britt,ILB,Oxford,AL,6'0'',232,80.0,,2017,Auburn,4.0,12,,,,,Auburn 
Noah Igbinoghene,WR,Trussville,AL,5'11'',190,80.0,,2017,Auburn,4.0,55,,,,,Auburn 
Tyrone Truesdell,DT,Augusta,GA,6'3'',334,80.0,,2017,Auburn,4.0,32,,,,,Auburn 
Sal Cannella,TE,Chicago,IL,6'5'',225,80.0,,2017,Auburn,4.0,36,,,,,Auburn 
Jordyn Peters,S,Muscle Shoals,AL,6'1'',181,79.0,,2017,Auburn,4.0,33,,,,,Auburn 
Alec Jackson,DT,Montgomery,AL,6'4'',270,79.0,,2017,Auburn,4.0,43,242,27,,,Auburn 
Carlito Gonzalez,S,Stone Mountain,GA,6'1'',188,78.0,,2017,Auburn,4.0,35,265,62,,,Auburn 
Traivon Leonard,CB,West Palm Beach,FL,5'11'',175,78.0,,2017,Auburn,4.0,47,,,,,Auburn 
Malik Willis,ATH,Roswell,GA,6'1'',185,78.0,,2017,Auburn,4.0,59,310,70,,,Auburn 
Anders Carlson,K,Colorado Springs,CO,6'3'',185,78.0,,2017,Auburn,4.0,1,,,,,Auburn 
John Samuel Shenker,TE,Moultrie,GA,6'4'',245,74.0,,2017,Auburn,3.0,20,,,,,Auburn 
Bill Taylor,LS,Tuscaloosa,AL,6'3'',235,69.0,,2017,Auburn,2.0,2,727,62,,,Auburn 
JaTarvious Whitlow,RB,Lafayette,AL,5'11'',175,,,2017,Auburn,0.0,,,,,,Auburn
Owen Pappoe,OLB,Loganville,GA,6'1'',209,91,Auburn,2019,Auburn,,1.0,5.0,2.0,,,
