Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School
Ben Johnson,OLB,Pickerington,OH,6'1'',190,,Ohio,,,,,2019,Ohio,,,
Tyler Foster,TE-YPickerington,OH,6'5'',235,,Ohio,,,NR,NR,NR,2019,Ohio,,,
Kyle Kelly,OLB,Newport,KY,6'1'',200,,Ohio,,,,,2019,Ohio,,,
Jett Elad,S,Cleveland,OH,5'11'',180,,Ohio,,NR,NR,NR,2019,Ohio,,,
Casey Clanton,TE-Y,Phoenix,AZ,6'4'',225,,Ohio,,,,,2019,Ohio,,,
Joe Oakes,OG,Cincinnati,OH,6'2'',260,,Ohio,,NR,,,2019,Ohio,,,
De'Montre Tuggle,RB,Channelview,TX,5'11'',195,,Ohio,,,,,2019,Ohio,,,
Gary Hoover,OG,Brooklyn,NY,ASA College,6'3'',320,,Ohio,,,,2019,Ohio,,,
Bryce McNair,OG,Deerfield Beach,FL,6'3'',275,74,Ohio,,106,664,230,2020,Ohio,,,
Jack Wilson,K,Melbourne,AUS,,73,Ohio,,,40,17,8,2020,Ohio,,,
Joseph Habinowski,OT,Hollywood,FL,6'4'',275,73,Ohio,,147,751,253,2020,Ohio,,,
Roman Parodie,CB,Fort Lauderdale,FL,6'1'',170,73,Ohio,,145,772,263,2020,Ohio,,,
Peter Kemeni,CB,Mississauga,CAN,6'2'',195,72,Ohio,,72,,,2020,Ohio,,,
Demond Arter,OG,Washington,DC,6'3'',305,72,Ohio,,157,236,17,2020,Ohio,,,
Cam Dorsey,OLB,Alpharetta,GA,6'1'',200,71,Ohio,,165,,,2020,Ohio,,,
C.J. Harris,QB-DT,West Bloomfield,MI,6'4'',205,71,Ohio,,48,,,2020,Ohio,,,
Shedrick Rhodes Jr.,OT,McDonough,GA,6'4'',285,71,Ohio,,187,,,2020,Ohio,,,
Keegan Wilburn,ATH,Nelsonville,OH,5'9'',185,70,Ohio,,181,257,85,2020,Ohio,,,
Wyatt Walton,OC,Johnstown,OH,6'3'',300,70,Ohio,,24,,,2020,Ohio,,,
Dane Middlebrook,DT,Brownsburg,IN,6'0'',328,68,Ohio,,165,318,41,2020,Ohio,,,
Bryce Kitrell,RB,Ashland,NE,5'11'',180,67,Ohio,,180,,,2020,Ohio,,,
Joey Woolard,DT,Grove City,OH,6'1'',265,67,Ohio,,171,,,2020,Ohio,,,
Cleotis Anglin,TE-H,Lakeland,FL,6'2'',205,,Ohio,,,,,2020,Ohio,,,
Rodney Mathews,DT (JC),Memphis,TN,6'2'',275,,Ohio,,,,,2020,Ohio,,,
Shakari Denson,CB,Claxton,GA,,175,80.0,Ohio,,19,,,2021,Ohio,141,33,
Sieh Bangura,RB,Hyattsville,MD,,180,75.0,Ohio,,,,,2021,Ohio,133,33,
Aramoni Rhone,WR,Plant City,FL,,190,74.0,Ohio,,192,,,2021,Ohio,,,
David Patterson,DE,Lilburn,GA,,230,74.0,Ohio,,138,,,2021,Ohio,,,
Bryce Butler,TE-Y,Washington,DC,,225,74.0,Ohio,,46,,,2021,Ohio,,,
Davion Weatherspoon,OC,Harper Woods,MI,,300,74.0,Ohio,,14,,,2021,Ohio,,,
Kaden Rogers,OG,Hamilton,OH,,265,72.0,Ohio,,107,,,2021,Ohio,225,68,
Quintell Quinn,RB,Columbus,OH,,190,72.0,Ohio,,129,,,2021,Ohio,,,
Bradley Weaver,DE,Hilliard,OH,,235,72.0,Ohio,,190,,,2021,Ohio,234,72,
Miles Cross,WR,Wheaton,MD,,190,72.0,Ohio,,261,,,2021,Ohio,226,49,
Torrie Cox,CB,Hollywood,FL,,170,72.0,Ohio,,173,,,2021,Ohio,848,279,
Giovonni Scales,ATH,Columbus,OH,,180,71.0,Ohio,,164,,,2021,Ohio,,,
Tillman Weaver,DE,Atlanta,GA,,240,71.0,Ohio,,213,,,2021,Ohio,883,192,
Isaiah Davis,WR,Apoka,FL,,190,70.0,Ohio,,309,,,2021,Ohio,940,303,
Jake Skelly,OT,Columbus,OH,,260,69.0,Ohio,,197,,,2021,Ohio,,,
John Motton,CB,Groveport,OH,,180,68.0,Ohio,,215,,,2021,Ohio,,,
Shay Taylor,OLB,Thornville,OH,,210,68.0,Ohio,,194,,,2021,Ohio,343,112,
T.J. Jackson,OT,Cumberland,VA,,325,,Ohio,,,,,2021,Ohio,,,
Nathanial Vakos,K,Avon,OH,6'0'',170,,74,Ohio,19,,,2022,Ohio,166,47,
Dontierre Fisher,RB,Checotah,OK,5'9'',185,,74,Ohio,97,,,2022,Ohio,302,26,
