Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,University  ,Reg_rank,State_rank,School,School  
Zacharyus WilliamsWRGardena,CA,6'1'',190,77,Junipero Serra High School  ,,,,110,,,2024,Utah,,79,18,,
Sammie Hunter,CBChandler,AZ,5'10'',175,77,,Chandler High School  ,,194,,,2024,Utah,,,,,
Latristan Thompson,CBMount Pleasant,TX,6'0'',165,77,,Mount Pleasant High School  ,,44,,,2024,Utah,,147,12,,
Elijah Elliss,ILBLayton,UT,6'2'',200,76,,Layton Christian Academy  ,,79,,,2024,Utah,,150,81,,
Ashtin Kekahuna-Lopes,OLBBellflower,CA,6'3'',215,76,,St. John Bosco High School  ,,111,,,2024,Utah,,159,16,,
Kash Dillon,DEDraper,UT,6'5'',210,76,,Corner Canyon High School  ,,126,,,2024,Utah,,177,90,,
Quimari Shemwell,CBLong Beach,CA,6'0'',175,76,,Long Beach Polytechnic High School  ,,,,,2024,Utah,,,,,
Maurice EvansS (JC)Houston,TX,6'2'',200,75,Blinn College  ,,,,17,,,2024,Utah,,255,137,,
Luke Bryant,SSalt Lake City,UT,6'1'',190,75,,Olympus High School  ,,,,,2024,Utah,,,,,
Trey Coleman,KCrescent City,CA,6'0'',190,74,,Del Norte High School  ,,,,,2024,Utah,,,,,
Carsen Ryan,TE-Y (TR)Orem,UT,6'4'',255,TR,,University of California at Los Angeles  ,,,,,2024,Utah,,,,,
Kenan Johnson,CB (TR)Minneola,FL,6'1'',183,TR,,Georgia Institute of Technology  ,,,,,2024,Utah,,,,,
Anthony Woods,RB (TR)Palmdale,CA,5'11'',185,TR,,University of Idaho  ,,,,,2024,Utah,,,,,
John Henry Daley,DE (TR)American Fork,UT,6'5'',230,TR,,Brigham Young University  ,,,,,2024,Utah,,,,,
Taeshaun Lyons,WR (TR)Hayward,CA,6'1'',170,TR,,University of Washington  ,,,,,2024,Utah,,,,,
Dorian Singer,WR (TR)Saint Paul,MN,6'0'',180,TR,,University of Southern California  ,,,,,2024,Utah,,,,,
Alaka'i Gilman,S (TR)Laie,HI,5'10'',194,TR,,Stanford University  ,,,,,2024,Utah,,,,,
Cameron Calhoun,CB (TR)Cincinnati,OH,6'0'',173,TR,,University of Michigan  ,,,,,2024,Utah,,,,,
Kanious Vaughn,DE (TR)San Clemente,CA,6'2'',223,TR,,University of Texas at El Paso  ,,,,,2024,Utah,,,,,
Paul Fitzgerald,DE (TR)Idaho Falls,ID,6'3'',255,TR,,Utah State University  ,,,,,2024,Utah,,,,,
