Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  ,School  
Nick England,RB,Suwanee,GA,5'11'',170,74,Florida International,,747,,,2012,Florida International,,,,,
Davison Colimon,S,Riviera Beach,FL,6'1'',185,73,Florida International,,132,,,2012,Florida International,,,,,
Elgin Hilliard,QB,Miami,FL,6'2'',180,73,Florida International,,,,,2012,Florida International,,,,,
Jordan Davis,CB,Tampa,FL,6'1'',183,73,Florida International,,5,,,2012,Florida International,,,,,
Leonard Washington,DT,New Orleans,LA,5'11'',275,72,Florida International,,134,,,2012,Florida International,,,,,
Jeremiah McKinnon,CB,Miami,FL,6'0'',175,72,Florida International,,174,,,2012,Florida International,857,307,,,
Lamarq Caldwell,RB,Tampa,FL,5'11'',200,72,Florida International,,73,,,2012,Florida International,882,319,,,
Chris Ayers,K,Hollywood,FL,6'0'',160,72,Florida International,,,,,2012,Florida International,,,,,
Favian Upshaw,ATH,Titusville,FL,6'0'',175,71,Florida International,,235,,,2012,Florida International,954,178,,,
Bryan Attaway,DE,Kingsland,GA,6'4'',245,70,Florida International,,,,,2012,Florida International,,,,,
Jerry Baker,OLB,Miami,FL,6'2'',210,68,Florida International,,267,,,2012,Florida International,1000,354,,,
Jeremy Smith,WR,Pembroke Pines,FL,5'9'',165,68,Florida International,,,,,2012,Florida International,,,,,
Darrian Dyson,DT,New Orleans,LA,6'3'',295,NR,Florida International,,,,,2012,Florida International, None, None,,,
Denzel Conyers,Gulfport,FL,6'2'',184,NR,Florida International,,,,,,2012,Florida International, None, None,,,
Adrian Jenkins,WR,Tampa,FL,6'2'',191,NR,Florida International,,NR,,,2012,Florida International,,,,,
Johnnie Durante,WR,Miami,FL,5'11'',180,NR,Florida International,,,,,2012,Florida International,,,,,
Deonte Wilson,CB,Daytona Beach,FL,5'11'',185,NR,Florida International,,,,,2012,Florida International,,,,,
Raymond Jackson,OLB,New Orleans,LA,6'1'',210,NR,Florida International,,,,,2012,Florida International,,,,,
Edens Sineace,OT,Wellington,FL,6'5'',300,NR,Florida International,,,,,2012,Florida International, None, None,,,
Dieugot Joseph,DE,Orlando,FL,6'5'',230,NR,Florida International,,,,,2012,Florida International,,,,,
Fadol Brown,DE,Charleston,SC,6'4'',265,NR,Florida International,,,,,2012,Florida International,,,,,
Delmar Taylor,OT,Miami Beach,FL,6'4'',295,NR,Florida International,,,,,2012,Florida International,,,,,
Vontarius West,CB,Bartow,FL,5'11'',174,4.0,76.0,Florida International,69,404,148,2013,Florida International,,,,,
Travis Wright,QB,Louisville,KY,6'0'',185,4.0,75.0,Florida International,49,441,8,2013,Florida International,,,,,
Christopher Flaig,OT,Vero Beach,FL,6'5'',269,4.0,74.0,Florida International,497,,,2013,Florida International,,,,,
Jordan Budwig,OG,Fort Lauderdale,FL,6'2'',270,3.0,69.0,Florida International,114,675,261,2013,Florida International,,,,,
Willie Smith,S,Bradenton,FL,6'0'',175,3.0,68.0,Florida International,104,705,270,2013,Florida International,,,,,
Treyvon Williams,OLB,Miami,FL,5'10'',185,3.0,66.0,Florida International,153,,,2013,Florida International,,,,,
Xavier Hines,,Miami,FL,5'11'',176,,,,,,,2013,Florida International,,,,,
