Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
Madison Cone,CB,Kernersville,NC,5'9'',178,,76.0,,448,,28,2017,Wisconsin,Wisconsin,,
Alex Fenton,OG,Menominee,WI,6'4'',285,,74.0,,126,79,7,2017,Wisconsin,Wisconsin,,
Deron Harrell,ATH,Denver,CO,6'2'',170,,73.0,,,,,2017,Wisconsin,Wisconsin,,
Scott Nelson,S,Detroit,MI,6'2'',184,,72.0,,104,,,2017,Wisconsin,Wisconsin,,
Emmet Perry,WR,DeSoto,TX,6'2'',175,,71.0,,204,,,2017,Wisconsin,Wisconsin,,
Faion Hicks,CB,Pembroke Pines,FL,5'10'',176,,70.0,,135,687,265,2017,Wisconsin,Wisconsin,,
Adam Bay,LS,Mesa,AZ,6'1'',210,,69.0,,1,,,2017,Wisconsin,Wisconsin,,
Danny Vanden Boom,QB-PP,Kimberly,WI,6'5'',197,,,,,,,2017,Wisconsin,Wisconsin,,
Trey Wedig,OT,Wales,WI,6'7'',301,,84,,8,,,2020,Wisconsin,Wisconsin,3,1
Nick Herbig,OLB,Honolulu,HI,6'2'',202,,83,,,,,2020,Wisconsin,Wisconsin, None, None
Jack Nelson,OT,Stoughton,WI,6'6'',245,,83,,18,,,2020,Wisconsin,Wisconsin,,
Jalen Berger,ATH,Ramsey,NJ,6'0'',187,,83,,12,,,2020,Wisconsin,Wisconsin,,
Kaden Johnson,OLB,Minneapolis,MN,6'3'',200,,81,,230,,,2020,Wisconsin,Wisconsin,15,1
Aaron Witt,DE,Winona,MN,6'4'',230,,79,,44,,,2020,Wisconsin,Wisconsin,44,3
Ben Barten,OT,Stratford,WI,6'7'',255,,78,,62,,,2020,Wisconsin,Wisconsin,49,4
Malik Reed,OLB,Chandler,AZ,6'1'',215,,77,,53,,,2020,Wisconsin,Wisconsin,,
Cam Large,TE,Dedham,MA,6'5'',240,,77,,13,,,2020,Wisconsin,Wisconsin,,
Cole Dakovich,OLB,Waukesha,WI,6'4'',220,,77,,59,,,2020,Wisconsin,Wisconsin,66,5
Chimere Dike,WR,Wausesha,WI,6'1'',165,,76,,139,,,2020,Wisconsin,Wisconsin,87,8
Tanor Bortolini,OG,Kewaunee,WI,6'4'',265,,76,,94,,,2020,Wisconsin,Wisconsin,58,10
Dylan Barrett,OG,Saint Charles,IL,6'4'',280,,76,,65,,,2020,Wisconsin,Wisconsin,100,18
Max Lofy,CB,Colorado Springs,CO,5'11'',170,,76,,,,,2020,Wisconsin,Wisconsin,185,7
Preston Zachman,OLB,Catawissa,PA,6'2'',205,,75,,,,,2020,Wisconsin,Wisconsin, None, None
Jordan Turner,OLB,Farmington,MI,6'3'',220,,75,,104,,,2020,Wisconsin,Wisconsin,122,27
Devin Chandler,WR,Cornelius,NC,5'11'',170,,75,,197,,,2020,Wisconsin,Wisconsin,,
Isaac Smith,WR,Memphis,TN,6'3'',185,,73,,248,,,2020,Wisconsin,Wisconsin,717,47
James Thompson Jr.,DE,Cincinnati,OH,6'6'',255,,72,,199,,,2020,Wisconsin,Wisconsin,,
Cade McDonald,DE,Hudson,WI,6'6'',240,,69,,250,,,2020,Wisconsin,Wisconsin,301,30
Joe Brunner,OT,Whitefish Bay,WI,6'5'',285,85,,,9,9,1,2022,Wisconsin,,,
Curtis Neal,DT,Davidson,NC,6'1'',305,80,,,27,,,2022,Wisconsin,,,
Isaac Hamm,DE,Sun Prairie,WI,6'5'',260,80,,,32,,,2022,Wisconsin,,,
Myles Burkett,QB-DT,Franklin,WI,6'2'',205,78,,,22,,,2022,Wisconsin,,,
Aidan Vaughan,OLB,Walled Lake,MI,6'2'',215,78,,,50,73,16,2022,Wisconsin,,,
A'Khoury Lyde,CB,Wayne,NJ,5'10'',175,78,,,120,82,17,2022,Wisconsin,,,
Tommy McIntosh,WR,De Witt,MI,6'4'',190,77,,,139,417,8,2022,Wisconsin,,,
Vinny Anthony,WR,Louisville,KY,6'0'',170,77,,,,,,2022,Wisconsin,,,
Austin Brown,S,Johnston City,IL,6'1'',195,76,,,98,,,2022,Wisconsin,,,
Cade Yacamelli,ATH,Trafford,PA,6'0'',185,76,,,101,162,17,2022,Wisconsin,,,
Tristan Monday,DE,Scottsdale,AZ,6'4'',240,76,,,116,,,2022,Wisconsin,,,
Avyonne Jones,CB,Southlake,TX,5'11'',180,75,,,36,,,2022,Wisconsin,,,
J.T. Seagreaves,TE-Y,Monroe,WI,6'5'',220,75,,,127,,,2022,Wisconsin,,,
Barrett Nelson,OT,Fall River,WI,6'5'',250,75,,,213,320,24,2022,Wisconsin,,,
Chris Brooks Jr.,WR,Saint Louis,MO,6'2'',210,73,,,,,,2022,Wisconsin,,,
Justin Clark,CB,West Bloomfield,MI,5'11'',175,0,Toledo,,,,,2022,Wisconsin,,,
Vito Calvaruso,K,Jefferson City,MO,6'2'',200,0,Arkansas,,,,,2022,Wisconsin,,,
Cedrick Dort,CB,Palm Beach Gardens,FL,6'1'',180,0,Kentucky,,,,,2022,Wisconsin,,,
Jay Shaw,CB,Corona,CA,5'11'',195,0,UCLA,,,,,2022,Wisconsin,,,
Keontez Lewis,WR,East Saint Louis,IL,6'2'',190,0,UCLA,,,,,2022,Wisconsin,,,
