Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University,University  , Reg_rank, State_rank,School,School  
Prophet Brown,ATH,Elk Grove,CA,5'11'',180,80.0,USC  ,,28,,,2021,Southern California,,,53,30,,
Xamarion Gordon,S,Downey,CA,6'2'',190,80.0,USC  ,,27,,,2021,Southern California,,,,,,
Colin Mobley,DE,Hyattsville,MD,6'3'',244,79.0,USC  ,,53,,,2021,Southern California,,,,,,
Calen Bullock,WR,Pasadena,CA,6'2'',175,78.0,USC  ,,87,,,2021,Southern California,,,76,42,,
Joseph Manjack,WR,Tomball,TX,6'3'',200,78.0,USC  ,,88,,,2021,Southern California,,,122,94,,
Jaylin Smith,ATH,Mission Hills,CA,5'11'',180,78.0,USC  ,,44,,,2021,Southern California,,,80,45,,
Mason Murphy,OT,San Juan Capistrano,CA,6'5'',290,78.0,USC  ,,58,,,2021,Southern California,,,,,,
Ty Buchanan,OT,Corpus Christi,TX,6'5'',280,78.0,USC  ,,61,,,2021,Southern California,,,135,103,,
Michael Jackson III,WR,Las Vegas,NV,6'0'',190,75.0,USC  ,,157,,,2021,Southern California,,,137,6,,
Maximus Gibbs,OG,Bellflower,CA,6'5'',370,75.0,USC  ,,65,,,2021,Southern California,,,,,,
Ishmael Sopsher,DT (TR),Amite,LA,6'4'',335,,USC  ,,,,,2021,Southern California,,, None, None,,
Keaontay Ingram,RB (TR),Carthage,TX,6'1'',215,,USC  ,,,,,2021,Southern California,,, None, None,,
K.D. Nixon,WR (TR),DeSoto,TX,5'8'',190,,USC  ,,,,,2021,Southern California,,, None, None,,
Xavion Alford,S (TR),Pearland,TX,6'0'',190,,USC,,,,,2021,Southern California,,,,,,
Domani Jackson,CB,Santa Ana,CA,6'1'',190,92.0,,,2,1,1,2022,Southern California,USC,,,,,
Raleek Brown,RB,Santa Ana,CA,5'7'',170,86.0,,,5,,,2022,Southern California,USC,,,,,
Zion Branch,S,Las Vegas,NV,6'2'',198,85.0,,,5,,,2022,Southern California,USC,,,,,
C.J. Williams,WR,Santa Ana,CA,6'1'',185,83.0,,,17,,,2022,Southern California,USC,,,,,
Fabian Ross,CB,Las Vegas,NV,6'0'',195,82.0,,,25,,,2022,Southern California,USC,,,,,
Devan Thompkins,DE,Stockton,CA,6'5'',200,77.0,,,67,110,52,2022,Southern California,USC,,,,,
Garrison Madden,OLB,Hampton,GA,6'3'',190,77.0,,,77,,,2022,Southern California,USC,,,,,
Attricus Bertrams,K,Melbourne,AUS,,215,73.0,,,29,10,6,2022,Southern California,USC,,,,,
