Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,University ,School
Myron Gailliard,WR,Arlington,TX,5'9'',160,SMU ,,NR,NR,NR,2015,Southern Methodist,,,,,
Rodney Clemons,S,Katy,TX,6'0'',172,SMU ,,NR,NR,NR,2015,Southern Methodist,,,,,
Delontae Scott,OLB,Houston,TX,6'4'',205,SMU ,,,,,2015,Southern Methodist,,,,,
Xavier Jones,RB,Spring,TX,5'9'',180,SMU ,,NR,,,2015,Southern Methodist,,,,,
Mitchell Kaufman,OLB,Dallas,TX,6'3'',220,SMU ,,,,,2015,Southern Methodist,,,,,
Alex Honey,WR,Denton,TX,6'3'',195,SMU ,,,,,2015,Southern Methodist,,,,,
Keaton Bates,OG,Arlington,TX,6'3'',265,SMU ,,,,,2015,Southern Methodist,,,,,
Matt McNew,OLB,Robinson,TX,6'2'',220,SMU ,,,,,2015,Southern Methodist,,,,,
Ray Crockett,CB (JC),Southlake,TX,6'0'',175,SMU,,,,,2015,Southern Methodist,,,,,
Tyler Page,ATH,Friendswood,TX,5'11'',180,SMU,,35,,,2017,Southern Methodist,79.0,81,67,,
Alan Ali,OT,Fort Worth,TX,6'5'',275,SMU,,43,,,2017,Southern Methodist,79.0,,,,
D.J. Gillins,QB-DT,Jacksonville,FL,6'3'',200,SMU,,3,,,2017,Southern Methodist,79.0,,,,
Hayden Howerton,OT,Katy,TX,6'4'',260,SMU,,141,,,2017,Southern Methodist,77.0,,,,
Matthew Huhn,OT,San Antonio,TX,6'7'',270,SMU,,76,,,2017,Southern Methodist,76.0,171,133,,
Kayce Medlock,RB,Arp,TX,5'9'',190,SMU,,,,,2017,Southern Methodist,74.0, None, None,,
Toby Ndukwe,DE,Richmond,TX,6'2'',220,SMU,,143,,,2017,Southern Methodist,69.0,,,,
Austin Upshaw,QB-DT,La Porte,TX,6'1'',188,SMU,,54,,,2017,Southern Methodist,68.0,296,232,,
Justin Guy-Robinson,CB,Pearland,TX,5'10'',160,SMU,,145,,,2017,Southern Methodist,68.0,299,235,,
Harrison Loveless,DT,Cypress,TX,6'3'',255,SMU,,120,,,2017,Southern Methodist,68.0,,,,
Judah Bell,WR,Tyler,TX,6'3'',189,SMU,,,,,2017,Southern Methodist,, None, None,,
Elijah McQueen,S,Terrell,TX,5'9'',173,SMU,,NR,,,2017,Southern Methodist,,,,,
Jordan Mishone Gipson,DE,Bay City,TX,6'1'',247,SMU,,,,,2017,Southern Methodist,,,,,
Ar'mani Johnson,CB,Missouri City,TX,5'11'',165,SMU,,,,,2017,Southern Methodist,,,,,
Shaine Hailey,OLB,Dallas,TX,6'0'',205,SMU,,,,,2017,Southern Methodist,,,,,
Delano Robinson,S,Denton,TX,5'11'',185,SMU,,,,,2017,Southern Methodist,,,,,
Turner Coxe,DE,Dallas,TX,6'2'',248,SMU,,,,,2017,Southern Methodist,,,,,
Tyeson Neals,DE,Miami,OK,6'3'',235,SMU,,,,,2017,Southern Methodist,, None, None,,
Raymond Epps,TE-Y,Indianapolis,IN,6'4'',247,SMU,,,,,2017,Southern Methodist,,,,,
Treveon Johnson,WR,Brenham,TX,6'1'',179.0,SMU,,84,83,66,2018,Southern Methodist,80.0,,,,
Shabazz Dotson,DT,Cedar Hill,TX,6'4'',258.0,SMU,,53,125,96,2018,Southern Methodist,78.0,,,,
Jared Miles,WR,New Orleans,LA,6'0'',184.0,SMU,,133,,,2018,Southern Methodist,78.0,,,,
Marcus Mosley,CB,Colleyville,TX,6'0'',175.0,SMU,,64,,,2018,Southern Methodist,77.0,,,,
William Brown,QB,Rosenberg,TX,6'5'',193.0,SMU,,44,,,2018,Southern Methodist,77.0,,,,
Jaylon Thomas,OC,Lubbock,TX,6'4'',275.0,SMU,,12,,,2018,Southern Methodist,73.0,,,,
Tamerik Williams,RB,Angleton,TX,6'0'',194.0,SMU,,105,,,2018,Southern Methodist,72.0,,,,
Jimmy Phillips Jr.,OLB,Mesquite,TX,,,SMU,,,,,2018,Southern Methodist,,,,,
Ben Redding,TE,Friendswood,TX,6'3'',215.0,SMU,,,,,2018,Southern Methodist,,,,,
Darrenn Brown,DT,Converse,TX,6'3'',280.0,SMU,,,,,2018,Southern Methodist,,,,,
Terrence Newman,DT,Duncanville,TX,5'11'',282.0,SMU,,,,,2018,Southern Methodist,,,,,
Jalen Rispress,S,Fort Worth,TX,6'0'',180.0,SMU,,,,,2018,Southern Methodist,,,,,
Terry Keys,CB,Dickinson,TX,5'11'',165.0,SMU,,,,,2018,Southern Methodist,,,,,
Preston Ellison,S,Odessa,TX,6'2'',205.0,SMU,,,,,2018,Southern Methodist,,,,,
Gary Wiley,OLB,Longview,TX,6'2'',225.0,SMU,,,,,2018,Southern Methodist,,,,,
