Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School,University 
Jon Ford,DT,Fort Lauderdale,FL,6'5'',250,79,Miami,,49,,,2017,Miami (FL),,,,
Zach Dykstra,OT,Spirit Lake,IA,6'5'',290,79,Miami,,,,,2017,Miami (FL),,,,
Zalontae Hillery,OT,Brunswick,GA,6'5'',275,78,Miami,,426,,,2017,Miami (FL),,,,
Bradley Jennings Jr.,OLB,Jacksonville,FL,6'1'',218,78,Miami,,8,,,2017,Miami (FL),,,,
Derrick Smith,ATH,Jacksonville,FL,6'2'',196,76,Miami,,460.0,,,2017,Miami (FL),,,,
Zach Feagles,K,Ridgewood,NJ,6'1'',210,76,Miami,,,,,2017,Miami (FL),,,,
Waynmon Steed,OLB,Miami,FL,6'0'',221,75,Miami,,,,,2017,Miami (FL),,,,
Corey Gaynor,OG,Parkland,FL,6'4'',280,74,Miami,,,,,2017,Miami (FL),,,,
Brevin Jordan,TE, , ,6'3'',250,88, ,,1,3,2,2018,Miami (FL),,,,
Nesta Silvera,DT, , ,6'2'',307,85, ,,3,27,14,2018,Miami (FL),,,,
Lorenzo Lingard,RB,Orange City,FL,6'0'',190,85,University High School,,4,34,18,2018,Miami (FL),,,,
Al Blades Jr.,CB,Fort Lauderdale,FL,6'0'',173,85,Saint Thomas Aquinas High School,,8,37,20,2018,Miami (FL),,,,
Jarren Williams,QB-DT,Lawrenceville,GA,6'3'',201,84,Central Gwinnett High School,,6,56,17,2018,Miami (FL),,,,
Brian Hightower,WR,Bradenton,FL,6'3'',202,83,IMG Academy,,20,69,29,2018,Miami (FL),,,,
Cleveland Reed,OG,Fort Meade,FL,6'3'',327,83,Fort Meade Senior High School,,143,70,30,2018,Miami (FL),,,,
Camron Davis,RB,Miami,FL,5'10'',190,83,Carol City High School,,167,81,36,2018,Miami (FL),,,,
Gurvan Hall,S,Palm Beach Gardens,FL,5'11'',173,82,Palm Beach Gardens High School,,14,86,38,2018,Miami (FL),,,,
Gilbert Frierson,CB,Coral Gables,FL,6'0'',175,82,Coral Gables High School,,41,92,41,2018,Miami (FL),,,,
Will Mallory,TE,Jacksonville,FL,6'5'',207,82,Providence School of Jacksonville,,3,93,42,2018,Miami (FL),,,,
Delone Scaife,OG,Miami,FL,6'3'',305,82,Miami Southridge Senior High School,,11,,,2018,Miami (FL),,,,
Mark Pope,WR,Miami,FL,6'0'',163,82,Miami Southridge Senior High School,,35,110,51,2018,Miami (FL),,,,
Marquez Ezzard,WR,Stockbridge,GA,6'2'',213,81,Stockbridge High School,,41,,,2018,Miami (FL),,,,
Daquris Wiggins,WR,Miami,FL,6'3'',175,80,Miami Southridge Senior High School,,71,187,72,2018,Miami (FL),,,,
Patrick Joyner,OLB,Homestead,FL,6'3'',212,80,South Dade High School,,23,,,2018,Miami (FL),,,,
John Campbell,OT,Orlando,FL,6'5'',291,79,Dr. Phillips High School,,36,,,2018,Miami (FL),,,,
Gregory Rousseau,ATH,Miami,FL,6'6'',209,79,Champagnat Catholic High School,,43,,,2018,Miami (FL),,,,
