Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University  , Reg_rank, State_rank,University,School
Juwuan Briscoe,ATH,Waldorf,MD,6'0'',182,Not Rated,80,,24,,,2015,Georgia,,,,Georgia,
Gary McCrae,OLB,Cuthbert,GA,6'4'',220,Not Rated,80,,39,,,2015,Georgia,,,,Georgia,
Michael Chigbu,WR,New Orleans,LA,6'1'',205,Not Rated,80,,45,,,2015,Georgia,,183,66,Georgia,
Shaquery Wilson,WR,Coral Gables,FL,6'1'',191,Not Rated,80,,4,,,2015,Georgia,, NR, NR,Georgia,
DeVondre Seymour,OT,Suwanee,GA,6'6'',310,Not Rated,80,,50,,,2015,Georgia,,,,Georgia,
Da'Quan Hawkins,DT,Atlanta,GA,6'4'',295,Not Rated,79,,62,,,2015,Georgia,,,,Georgia,
Sam Madden,OT,Barnegat,NJ,6'7'',340,Not Rated,79,,44,,,2015,Georgia,,340,111,Georgia,
Johnathan Abram,ATH,Columbia,MS,6'1'',205,Not Rated,78,,5,,,2015,Georgia,,,,Georgia,
Juwan Taylor,OLB,Hallandale Beach,FL,6'1'',191,Not Rated,77,,57,,,2015,Georgia,,391,127,Georgia,
Chuks Amaechi,OLB,Avondale,AZ,6'3'',230,Not Rated,77,,93,,,2015,Georgia,,,,Georgia,
Deandre Baker,CB,Miami,FL,5'11'',167,Not Rated,77,,501,,,2015,Georgia,,,,Georgia,
Jarvis Wilson,ATH,Tupelo,MS,6'1'',190,Not Rated,77,,,,,2015,Georgia,,,,Georgia,
Justin Young,DT,Loganville,GA,6'3'',255,Not Rated,75,,NR,,,2015,Georgia,, NR, NR,Georgia,
Tae Crowder,TE-H,Hamilton,GA,6'2'',220,Not Rated,Not Rated,,,,,2015,Georgia,,,,Georgia,
Kirby Choates,E,East Point,GA,6'0'',185,Not Rated,Not Rated,,,,,2015,Georgia,,,,Georgia,
Jake Ganus,ILB,Chelsea,AL,6'2'',225,Not Rated,Not Rated,,,,,2015,Georgia,,,,Georgia,
Isaiah Wilson,OT,Brooklyn,NY,6'7'',354,93,Georgia,,2,1,1,2017,Georgia,,,,,
DeAngelo Gibbs,ATH,Loganville,GA,6'2'',205,90,Georgia,,2,,,2017,Georgia,,,,,
Richard LeCounte III,S,Hinesville,GA,5'11'',178,90,Georgia,,2,,,2017,Georgia,,,,,
Robert Beal,DE,Suwanee,GA,6'4'',230,90,Georgia,,,,,2017,Georgia,,,,,
Andrew Thomas,OT,Atlanta,GA,6'5'',326,86,Georgia,,40,,,2017,Georgia,,,,,
D'Andre Swift,RB,Philadelphia,PA,5'10'',214,84,Georgia,,8,,,2017,Georgia,,,,,
William Poole III,CB,Atlanta,GA,6'0'',179,84,Georgia,,6,,,2017,Georgia,,,,,
