Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,State_rank ,State_rank  
Troy Lewis,WR,Chesterfield,VA,6'3'',195,East Carolina,,201,,,2021,East Carolina,74,,,,
Theodore Lockley,WR,Daytona Beach,FL,6'0'',175,East Carolina,,210,,,2021,East Carolina,74,,,,
Richard Pearce,OG,Hueytown,AL,6'3'',285,East Carolina,,90,,,2021,East Carolina,73,674,,,
Jayden Chalmers,CB, Sanford,NC,6'0'',175, East Carolina,,,,,2021,East Carolina,73,,,,
Kyjuan Phillips,OG,Orlando,FL,6'4'',285,East Carolina,,101,,,2021,East Carolina,73,,,,
Canaan Clark,OT,Cumming,GA,6'6'',310,East Carolina,,154,,,2021,East Carolina,72,,,,
Jacoby Simpson,ILB,Houston,TX,6'0'',225,East Carolina,,4,,,2021,East Carolina,72,,,,
Laith Marjan,K, Raleigh,NC,6'3'',194,East Carolina,,44,,,2021,East Carolina,72,,,,
Kingston McKinstry,S, Grove City,OH,6'1'',190,East Carolina,,7,,,2021,East Carolina,72,,,,
Julius Wood,S, Columbus,OH,6'2'',195,East Carolina,,8,,,2021,East Carolina,71,,,,
Avery Durham,DT, East Bend,NC,6'6'',300,East Carolina,,,,,2021,East Carolina, NR,,,,
D.J. Ford,S, Chapel Hill,NC,6'3'',210,East Carolina,,,,,2021,East Carolina, TR,,,,
Ryan Jones,TE-H, Charlotte,NC,6'2'',230,East Carolina,,,,,2021,East Carolina, TR,,,,
Wistar Allen,ILB, High Point,NC,6'2'',220,East Carolina,,,,,2021,East Carolina, TR,,,,
Eric Fletcher,ATH,Fort Myers,FL,6'1'',190.0,78,East Carolina,362,,,2024,East Carolina,,68,109,,
Shaikh Thompson,DE,Hilton Head,SC,6'4'',235.0,77,East Carolina,99,,,2024,East Carolina,,,,,
Ja'Marley Riddle,S,Kingsland,GA,6'0'',180.0,77,East Carolina,140,,,2024,East Carolina,,503,20,,
Yannick Smith,WR,Summerville,SC,6'2'',190.0,76,East Carolina,156,,,2024,East Carolina,,,,,
Trenton Cloud,WR,Greensboro,NC,6'1'',175.0,76,East Carolina,33,,,2024,East Carolina,,578,11,,
Cole Hodge,QB,Louisville,KY,6'1'',195.0,75,East Carolina,129,,,2024,East Carolina,,,,,
Zack Boehly,OT,Fort Lauderdale,FL,6'5'',270.0,75,East Carolina,123,,,2024,East Carolina,,163,56,,
T.J. Engleman,ATH,Cincinnati,OH,5'9'',180.0,75,East Carolina,142,,,2024,East Carolina,,648,45,,
Peyton Reeder,OT,Indian Trail,NC,6'5'',290.0,75,East Carolina,143,,,2024,East Carolina,,650,24,,
Samuel Riddy,DE,North Charleston,SC,6'4'',240.0,75,East Carolina,46,,,2024,East Carolina,,216,45,,
Da'Mare Williams,ATH,Sylva,NC,6'1'',180.0,74,East Carolina,165,,,2024,East Carolina,,,,,
Nick Slogik,TE-Y,Harrisburg,PA,6'4'',235.0,74,East Carolina,113,,,2024,East Carolina,,,,,
DeMarius Hines,S,Atlanta,GA,5'11'',180.0,74,East Carolina,214,,,2024,East Carolina,,,,,
Kevon Merrell,OLB,Cordele,GA,6'1'',195.0,74,East Carolina,218,,,2024,East Carolina,,,,,
Dillon Lorick,WR,Nashville,TN,6'0'',180.0,73,East Carolina,181,,,2024,East Carolina,,239,48,,
Jyron Waiters,WR,Florence,SC,5'11'',180.0,73,East Carolina,195,,,2024,East Carolina,,,,,
Kenny Walz,OT,Midlothian,VA,6'5'',280.0,72,East Carolina,12,,,2024,East Carolina,, None, None,,
Omarion Lewis,S,Tarboro,NC,6'2'',180.0,71,East Carolina,192,,,2024,East Carolina,,867,271,,
Kendarius Small,OT,Northport,AL,6'5'',300.0,71,East Carolina,,,,2024,East Carolina,,,,,
Torin Brazell,DE,Starke,FL,6'2'',245.0,71,East Carolina,14,,,2024,East Carolina,,,,,
Javon Williams,DT,Largo,FL,6'2'',280.0,70,East Carolina,,,,2024,East Carolina,,,,,
Jayson Tarpeh,OT,Woodbridge,VA,6'5'',315.0,69,East Carolina,,,,2024,East Carolina,,,,,
Katin Houser,QB-Los Angeles,CA,6'3'',215,,East Carolina,,,,,2024,East Carolina,,,,,
Ryheem Craig,DE,Taylorsville,NC,6'3'',235.0,,East Carolina,,,,2024,East Carolina,,,,,
Casey Kelly,TE-Y,Niagara Falls,NY,6'3'',245.0,,East Carolina,,,,2024,East Carolina,,,,,
Jake Garcia,QB-Whittier,CA,6'3'',194,,East Carolina,,,,,2024,East Carolina,,,,,
Jaden McKenzie,DT,Wake Forest,NC,6'2'',286.0,,East Carolina,,,,2024,East Carolina,,,,,
