Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School
Christian Ellis,S,Jacksonville,FL,6'0'',200,,74.0,New Mexico,100,,,2022,New Mexico,650,208,
David Rowaiye,DT,Oklahoma City,OK,6'4'',260,,74.0,New Mexico,113,,,2022,New Mexico,317,28,
D.J. Wingfield,OG,Los Angeles,CA,6'4'',320,,74.0,New Mexico,5,,,2022,New Mexico,,,
Marquis Jones,OLB,Ocala,FL,6'1'',210,,73.0,New Mexico,136,,,2022,New Mexico,744,235,
Donald Dixon III,OG,Oxnard,CA,6'3'',290,,72.0,New Mexico,99,,,2022,New Mexico,271,133,
Jah'mar Sanders,WR,Port Arthur,TX,5'9'',175,,72.0,New Mexico,112,,,2022,New Mexico,280,138,
Christian Washington,RB,San Diego,CA,5'9'',190,,72.0,New Mexico,150,,,2022,New Mexico,775,188,
Bryson Taylor,CB,Hoschton,GA,6'1'',170,,72.0,New Mexico,17,,,2022,New Mexico, NR, NR,
J.C. Davis,OT,Oakland,CA,6'5'',305,,72.0,New Mexico,4,,,2022,New Mexico, NR, NR,
T.J. Zimmerman,TE-Y,Albany,OR,6'4'',250,,71.0,New Mexico,5,,,2022,New Mexico,,,
Will Dennis,TE-Y,Coffeyville,KS,6'4'',240,,71.0,New Mexico,160,,,2022,New Mexico,,,
Zach Morris,CB,Flower Mound,TX,6'0'',170,,71.0,New Mexico,175,,,2022,New Mexico,,,
Jer'Marius Lewis,ATH,Summit,MS,5'11'',180,,71.0,New Mexico,177,,,2022,New Mexico,303,152,
Tristan White,ATH,Fort Worth,TX,5'9'',185,,71.0,New Mexico,186,,,2022,New Mexico,392,287,
Kalen Woods,ATH,Oakland,CA,6'3'',175,,70.0,New Mexico,123,,,2022,New Mexico,,,
Max Elkman,DE,Dallas,TX,6'5'',230,,70.0,New Mexico,134,,,2022,New Mexico,312,2,
Myron Carter,RB,Spring,TX,5'9'',185,,70.0,New Mexico,72,,,2022,New Mexico,313,3,
Cayden Romero,OG,Rio Rancho,NM,6'4'',330,,69.0,New Mexico,126,,,2022,New Mexico,314,4,
Hunter Haemker,ILB,Albuquerque,NM,6'1'',215,,69.0,New Mexico,136,,,2022,New Mexico,,,
Zach Vigil,RB,Rio Rancho,NM,5'10'',180,,69.0,New Mexico,315,,,2022,New Mexico, None,157,
Lane Williams,OG,Shawnee,OK,6'4'',285,,69.0,New Mexico,,,,2022,New Mexico,,,
Tate Zimmerman,ILB,Irvine,CA,6'1'',205,,68.0,New Mexico,,,,2022,New Mexico, NR, NR,
Joshua Lane,Houston,TX,,6'5'',300,,,New Mexico,,,,2022,New Mexico, None, None,
Kvon Sherman,OLB,Pearland,TX,6'2'',215,,,New Mexico,NR,,,2022,New Mexico,,,
Landon Williams,DE,Albuquerque,NM,6'4'',215,,,New Mexico,,,,2022,New Mexico,,,
Collin James,OG,Scranton,PA,6'3'',300,,,New Mexico,,,,2022,New Mexico, None, None,
Sherod White,RB,Menifee,CA,5'9'',194,,,New Mexico,,,,2022,New Mexico, None, None,
Tyler Kiehne,DE,Los Lunas,NM,6'3'',250,,,New Mexico,,,,2022,New Mexico,,,
Miles Kendrick,QB-DT,San Jose,CA,5'10'',195,,,New Mexico,,,,2022,New Mexico, None, None,
Jordan Nichols,S,Austin,TX,6'1'',195,,,New Mexico,,,,2022,New Mexico,,,
Geordon Porter,WR,Etiwanda,CA,6'1'',193,,,New Mexico,,,,2022,New Mexico,,,
Hunter Sellers,CB,College Park,GA,6'0'',180,,,New Mexico,,,,2022,New Mexico,,,
Desna Washington,WR,Belle Glade,FL,6'5'',210,76,New Mexico,,5.0,,,2023,New Mexico, None, None,
Devon Dampier,QB-DT,Scottsdale,AZ,6'0'',190,73,New Mexico,,36,,,2023,New Mexico,261,28,
Jayden Wilson,ILB,El Paso,TX,6'1'',215,NR,New Mexico,,NR,,,2023,New Mexico, NR, NR,
Evan Wysong,ATH,Rio Rancho,NM,5'10'',170,NR,New Mexico,,,,,2023,New Mexico, None, None,
Aidan Armenta,QB-PP,Albuquerque,NM,6'3'',190,NR,New Mexico,,NR,,,2023,New Mexico,,,
Skylar Cook,S,El Centro,CA,6'0'',195,NR,New Mexico,,NR,,,2023,New Mexico,,,
Dereck Moore,S,Irvine,CA,6'3'',187,NR,New Mexico,,NR,,,2023,New Mexico,,,
Matthew Toilolo,OG,East Orem,UT,6'3'',305,NR,New Mexico,,NR,,,2023,New Mexico,,,
Nic Trujillo,WR,Rio Rancho,NM,6'1'',180,NR,New Mexico,,NR,,,2023,New Mexico, NR, NR,
Austin Ackel,OLB,River Ridge,LA,6'2'',210,NR,New Mexico,,,,,2023,New Mexico, None, None,
Edward Blacklock,CB,Houston,TX,5'11'',175,NR,New Mexico,,,,,2023,New Mexico,,,
Duke Miller,WR,Raleigh,MS,6'1'',170,NR,New Mexico,,,,,2023,New Mexico, None, None,
Alex Murrell,WR,San Jose,CA,6'3'',200,NR,New Mexico,,NR,,,2023,New Mexico,,,
Devon Smith,OT,Biloxi,MS,6'6'',290,NR,New Mexico,,,,,2023,New Mexico,,,
Everett Hunter,TE-Y,Modesto,CA,6'5'',230,NR,New Mexico,,NR,,,2023,New Mexico, NR, NR,
Marvin Covington,CB,Mansfield,TX,5'11'',185,TR,New Mexico,,,,,2023,New Mexico,,,
D'Arco Perkins-McAllister,S,Nashville,TN,6'1'',190,TR,New Mexico,,,,,2023,New Mexico,,,
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,,55.0,Georgia,,,,2024,New Mexico,,,
Brett Skene,WR,Denver,CO,6'1'',190.0,,78.0,Colorado,,,,2024,New Mexico,,,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,,UT,,,,2024,New Mexico,,,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,,64.0,Rice,,,,2024,New Mexico,,,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,,Texas,,,,2024,New Mexico,,,
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,,69.0,Florida,,,,2024,New Mexico,,,
Steve Jones,CB,Kansas City,MO,,,,,,,,,2024,New Mexico,,,
Chad Gross,K,Suwanee,GA,,,,,,,,,2024,New Mexico,,,
Irvin George,RB,Orlando,FL,5'11'',190.0,,,UCF,,,,2024,New Mexico,,,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,,64.0,Oklahoma,,,,2024,New Mexico,,,
Jeff Abt,QB,Houston,TX,6'2'',190.0,,75.0,Texas,,,,2024,New Mexico,,,
