Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School,Grade  
Steve Jenkins,WR,Harbor City,CA,5'11'',155.0,,UNLV,,,,,2019,UNLV,,,,,
Courtney Reese,RB,Miami,FL,5'7'',153.0,,UNLV,,,,,2019,UNLV,, None, None,,
Austin Fiaseu,S,Henderson,NV,5'11'',195.0,,UNLV,,NR,,,2019,UNLV,,,,,
Kyle Beaudry,ILB,Henderson,NV,6'0'',226.0,,UNLV,,NR,,,2019,UNLV,,,,,
Malik Wesley,WR,Columbia,SC,6'2'',199.0,,UNLV,,NR,,,2019,UNLV,,,,,
Sir Oliver Everett,ATH,Las Vegas,NV,6'3'',180.0,,UNLV,,,,,2019,UNLV,, NR, NR,,
Garrett Beckman,OG,Greeley,CO,6'3'',310.0,,UNLV,,,,,2019,UNLV,,,,,
Leif Fautanu,OC,Honolulu,HI,6'2'',,,UNLV,,,,,2019,UNLV,,,,,
Jacoby Windmon,ILB,Marrero,LA,6'0'',215.0,,UNLV,,,,,2019,UNLV,, None, None,,
Naki Fahina,DT,Lawndale,CA,6'0'',265.0,,UNLV,,,,,2019,UNLV,,,,,
Gamon Howard,S,San Francisco,CA,6'3'',205.0,,UNLV,,,,,2019,UNLV,,,,,
Eliel Ehimare,DT,Katy,TX,6'2'',280.0,,UNLV,,,,,2019,UNLV,,,,,
Aaron Lewis,CB,Rancho Cucamonga,CA,5'10'',180.0,,UNLV,,,,,2019,UNLV,,,,,
Ryan Tantum,OG,Rocklin,CA,6'3'',310.0,,UNLV,,,,,2019,UNLV,,,,,
Tavai Tuitasi,DE,San Francisco,CA,6'2'',255.0,,UNLV,,,,,2019,UNLV,, None, None,,
Noah McGregor,DE,Valencia,CA,6'4'',255.0,,UNLV,,,,,2019,UNLV,, None, None,,
Jeremiah Houston,CB,Long Beach,CA,5'11'',200.0,,UNLV,,NR,,,2019,UNLV,,,,,
Jackson McCullough,OT,Arcata,CA,6'6'',307.0,,UNLV,,,,,2019,UNLV,, None, None,,
Jordan McCray,WR,Marietta,GA,6'4'',200.0,,UNLV,,,,,2019,UNLV,, None, None,,
Brennon Scott,OLB,Dallas,TX,6'0'',230,80.0,,UNLV,,,,2020,UNLV,, None, None,,
Ricky Johnson,S,,Cypress Falls High School,6'2'',170,73.0,,UNLV,125,,,2020,UNLV,,,,,
Tyson Player,Columbia,SC,Ridge View High School,6'1'',175,72.0,,UNLV,127,,,2020,UNLV,,816,42,,
Spencer Briggs,RB,Gallatin,TN,Gallatin High School,5'10'',195.0,,UNLV,,,,2020,UNLV,, None, None,,
Ose Egbase,DE,Encino,CA,Crespi Carmelite High School,6'3'',213.0,,UNLV,,,,2020,UNLV,,,,,
Kyle Williams,WR,Hawthorne,CA,St. Monica Catholic High School,6'0'',175.0,,UNLV,,,,2020,UNLV,, None, None,,
Charlton Butt,K,Victoria,AUS,6'2'',205,,UNLV,,,,,2020,UNLV,,,,,
Jeremiah Houston,CB,Long Beach,CA,Long Beach City College,6'0'',200.0,,UNLV,,,,2020,UNLV,, None, None,,
Kue Olotoa,DE,Orange,CA,Riverside Community College,6'3'',220.0,,UNLV,NR,,,2020,UNLV,, NR, NR,,
Adam Plant,DE,Las Vegas,NV,Texas Christian University,6'5'',250.0,,UNLV,,,,2020,UNLV,, None, None,,
Justin Rogers,QB,Bossier City,LA,Texas Christian University,6'4'',210.0,,UNLV,,,,2020,UNLV,, None, None,,
Randy Masters,WR,Houston,TX,6'0'',165,79.0,,,79,,,2022,UNLV,,103,78,,
Jayden Maiava,QB,Honolulu,HI,6'4'',205,79.0,,,23,,,2022,UNLV,,75,2,,
Anthony Costanzo,ATH,Monument,CO,6'2'',210,76.0,,,107,,,2022,UNLV,,224,8,,
Tanner Salisbury,OLB,Danville,CA,6'1'',215,76.0,,,88,,,2022,UNLV,,,,,
Noah McKinney,OT,Henderson,NV,6'5'',290,74.0,,,148,,,2022,UNLV,,,,,
Jeffrey Weimer,WR,San Francisco,CA,6'2'',205,74.0,,,9,,,2022,UNLV,, None, None,,
Fred Thompkins,ILB,San Francisco,CA,6'1'',235,74.0,,,4,,,2022,UNLV,,,,,
Darius Johnson,DT,Spokane,WA,6'3'',290,73.0,,,14,,,2022,UNLV,,,,,
Isaiah Sayles,DE,San Antonio,TX,6'3'',230,73.0,,,10,,,2022,UNLV,,,,,
Fisher Camac,DE,Gilbert,AZ,6'6'',230,70.0,,,190,,,2022,UNLV,,305,30,,
Trenton Holloway,S,Clovis,CA,6'1'',195,,,,NR,,,2022,UNLV,,,,,
Cobe Bryant,OG,Auburn Hills,MI,6'4'',315,,,,,,,2022,UNLV,, None, None,,
Jordan Eubanks,OLB,Denton,TX,6'2'',220,,,,,,,2022,UNLV,, None, None,,
Harrison Bailey,QB,Marietta,GA,6'5'',220,,,,,,,2022,UNLV,, None, None,,
Ricky White,WR,Marietta,GA,6'0'',185,,,,,,,2022,UNLV,,,,,
Senika McKie,WR,Columbia,SC,6'2'',185,,,,,,,2022,UNLV,, None, None,,
Preston Nichols,OG,Charlotte,NC,6'3'',275,,,,,,,2022,UNLV,,,,,
Bo Edmundson,QB-PP,Austin,TX,6'2'',195,,,,28,,,2023,UNLV,,194,144,,77.0
